Country,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,H7_Vaccination policy,history,lower,average,upper,ISO,Population
China,2020-01-22,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,3.8073434893461297e-07,,,,CHN,1439323774.0
China,2020-01-23,0.0,0.0,2.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,4.4673756635940894e-07,,,,CHN,1439323774.0
China,2020-01-24,0.0,0.0,2.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,6.391890529559196e-07,,,,CHN,1439323774.0
China,2020-01-25,0.0,0.0,2.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,9.768476178869815e-07,,,,CHN,1439323774.0
China,2020-01-26,3.0,3.0,2.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,1.4416492226994924e-06,,,,CHN,1439323774.0
China,2020-01-27,3.0,3.0,2.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,1.998855331906718e-06,,,,CHN,1439323774.0
China,2020-01-28,3.0,3.0,2.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,3.827491839928436e-06,,,,CHN,1439323774.0
China,2020-01-29,3.0,3.0,2.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,4.2290693101550915e-06,,,,CHN,1439323774.0
China,2020-01-30,3.0,3.0,2.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,5.6561283479501545e-06,,,,CHN,1439323774.0
China,2020-01-31,3.0,3.0,2.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,6.810142496819483e-06,,,,CHN,1439323774.0
China,2020-02-01,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,8.26151850945526e-06,,,,CHN,1439323774.0
China,2020-02-02,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,1.155403690288798e-05,,,,CHN,1439323774.0
China,2020-02-03,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,1.369809931312925e-05,,,,CHN,1439323774.0
China,2020-02-04,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,1.6470929215680414e-05,,,,CHN,1439323774.0
China,2020-02-05,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,1.906450827512004e-05,,,,CHN,1439323774.0
China,2020-02-06,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,2.1250951698655123e-05,,,,CHN,1439323774.0
China,2020-02-07,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,2.369862890905045e-05,,,,CHN,1439323774.0
China,2020-02-08,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,2.557728890817307e-05,,,,CHN,1439323774.0
China,2020-02-09,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,2.767202259802317e-05,,,,CHN,1439323774.0
China,2020-02-10,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,2.942631864010328e-05,,,,CHN,1439323774.0
China,2020-02-11,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,3.083809272228418e-05,,,,CHN,1439323774.0
China,2020-02-12,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,3.109724219701522e-05,,,,CHN,1439323774.0
China,2020-02-13,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,4.161329165955957e-05,,,,CHN,1439323774.0
China,2020-02-14,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,4.6103594756574904e-05,,,,CHN,1439323774.0
China,2020-02-15,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,4.753134856507971e-05,,,,CHN,1439323774.0
China,2020-02-16,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,4.8990367055522556e-05,,,,CHN,1439323774.0
China,2020-02-17,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.0325021588922914e-05,,,,CHN,1439323774.0
China,2020-02-18,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.155962914012146e-05,,,,CHN,1439323774.0
China,2020-02-19,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.1843095589693216e-05,,,,CHN,1439323774.0
China,2020-02-20,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.216130057475171e-05,,,,CHN,1439323774.0
China,2020-02-21,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.248992712045622e-05,,,,CHN,1439323774.0
China,2020-02-22,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.3498039420281264e-05,,,,CHN,1439323774.0
China,2020-02-23,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.351262960518571e-05,,,,CHN,1439323774.0
China,2020-02-24,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.366478439061759e-05,,,,CHN,1439323774.0
China,2020-02-25,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.40212017647115e-05,,,,CHN,1439323774.0
China,2020-02-26,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.430744729712218e-05,,,,CHN,1439323774.0
China,2020-02-27,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.460897778514704e-05,,,,CHN,1439323774.0
China,2020-02-28,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.483686257794002e-05,,,,CHN,1439323774.0
China,2020-02-29,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.513422444170647e-05,,,,CHN,1439323774.0
China,2020-03-01,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.5534412370513645e-05,,,,CHN,1439323774.0
China,2020-03-02,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.567614559529952e-05,,,,CHN,1439323774.0
China,2020-03-03,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.576299193401637e-05,,,,CHN,1439323774.0
China,2020-03-04,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.5849838272733204e-05,,,,CHN,1439323774.0
China,2020-03-05,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.595474864990314e-05,,,,CHN,1439323774.0
China,2020-03-06,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.606104856849257e-05,,,,CHN,1439323774.0
China,2020-03-07,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.6116630225271326e-05,,,,CHN,1439323774.0
China,2020-03-08,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.615345307288727e-05,,,,CHN,1439323774.0
China,2020-03-09,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.617915958914745e-05,,,,CHN,1439323774.0
China,2020-03-10,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.619791839831029e-05,,,,CHN,1439323774.0
China,2020-03-11,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.622154060244129e-05,,,,CHN,1439323774.0
China,2020-03-12,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.622918308024835e-05,,,,CHN,1439323774.0
China,2020-03-13,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.62382150994749e-05,,,,CHN,1439323774.0
China,2020-03-14,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.626044776218641e-05,,,,CHN,1439323774.0
China,2020-03-15,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.627851180063951e-05,,,,CHN,1439323774.0
China,2020-03-16,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.629935492193156e-05,,,,CHN,1439323774.0
China,2020-03-17,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.6316724189674924e-05,,,,CHN,1439323774.0
China,2020-03-18,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.6347294100903246e-05,,,,CHN,1439323774.0
China,2020-03-19,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.6384811719228916e-05,,,,CHN,1439323774.0
China,2020-03-20,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.645012016594399e-05,,,,CHN,1439323774.0
China,2020-03-21,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.6488332554979396e-05,,,,CHN,1439323774.0
China,2020-03-22,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.65786527472449e-05,,,,CHN,1439323774.0
China,2020-03-23,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,5.662242330195819e-05,,,,CHN,1439323774.0
China,2020-03-24,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,5.668703697796351e-05,,,,CHN,1439323774.0
China,2020-03-25,3.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,5.6735670927644935e-05,,,,CHN,1439323774.0
China,2020-03-26,3.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,5.681973818352284e-05,,,,CHN,1439323774.0
China,2020-03-27,3.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,5.689963681514233e-05,,,,CHN,1439323774.0
China,2020-03-28,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,5.6970503427535266e-05,,,,CHN,1439323774.0
China,2020-03-29,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,5.705596022483264e-05,,,,CHN,1439323774.0
China,2020-03-30,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,5.710876279877247e-05,,,,CHN,1439323774.0
China,2020-03-31,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,5.716503922626097e-05,,,,CHN,1439323774.0
China,2020-04-01,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,5.722201042445923e-05,,,,CHN,1439323774.0
China,2020-04-02,3.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,5.72713391448504e-05,,,,CHN,1439323774.0
China,2020-04-03,3.0,2.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,5.732622603091943e-05,,,,CHN,1439323774.0
China,2020-04-04,3.0,2.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,5.7348458693630944e-05,,,,CHN,1439323774.0
China,2020-04-05,3.0,2.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,5.7389450165505284e-05,,,,CHN,1439323774.0
China,2020-04-06,3.0,2.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,5.743322072021858e-05,,,,CHN,1439323774.0
China,2020-04-07,3.0,2.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,5.747004356783453e-05,,,,CHN,1439323774.0
China,2020-04-08,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,5.753326770242037e-05,,,,CHN,1439323774.0
China,2020-04-09,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,5.758468073494074e-05,,,,CHN,1439323774.0
China,2020-04-10,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,5.7624977436105337e-05,,,,CHN,1439323774.0
China,2020-04-11,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.767569569791598e-05,,,,CHN,1439323774.0
China,2020-04-12,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.775906818308415e-05,,,,CHN,1439323774.0
China,2020-04-13,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.781395506915319e-05,,,,CHN,1439323774.0
China,2020-04-14,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.787856874515853e-05,,,,CHN,1439323774.0
China,2020-04-15,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.791330728064525e-05,,,,CHN,1439323774.0
China,2020-04-16,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.794596150400278e-05,,,,CHN,1439323774.0
China,2020-04-17,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.819399464737806e-05,,,,CHN,1439323774.0
China,2020-04-18,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.82127534565409e-05,,,,CHN,1439323774.0
China,2020-04-19,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.8225259329316124e-05,,,,CHN,1439323774.0
China,2020-04-20,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.823359657783295e-05,,,,CHN,1439323774.0
China,2020-04-21,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.8258608323383396e-05,,,,CHN,1439323774.0
China,2020-04-22,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.826902988402942e-05,,,,CHN,1439323774.0
China,2020-04-23,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.828014621538517e-05,,,,CHN,1439323774.0
China,2020-04-24,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.829056777603119e-05,,,,CHN,1439323774.0
China,2020-04-25,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.829751548312854e-05,,,,CHN,1439323774.0
China,2020-04-26,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.829959979525774e-05,,,,CHN,1439323774.0
China,2020-04-27,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.830376841951615e-05,,,,CHN,1439323774.0
China,2020-04-28,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.831905337513031e-05,,,,CHN,1439323774.0
China,2020-04-29,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.832183245796925e-05,,,,CHN,1439323774.0
China,2020-04-30,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.833016970648607e-05,,,,CHN,1439323774.0
China,2020-05-01,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.833225401861528e-05,,,,CHN,1439323774.0
China,2020-05-02,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.833225401861528e-05,,,,CHN,1439323774.0
China,2020-05-03,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.833572787216394e-05,,,,CHN,1439323774.0
China,2020-05-04,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.8337117413583414e-05,,,,CHN,1439323774.0
China,2020-05-05,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.833850695500288e-05,,,,CHN,1439323774.0
China,2020-05-06,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.833989649642238e-05,,,,CHN,1439323774.0
China,2020-05-07,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.834337034997105e-05,,,,CHN,1439323774.0
China,2020-05-08,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.834406512068076e-05,,,,CHN,1439323774.0
China,2020-05-09,3.0,2.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.835379191061705e-05,,,,CHN,1439323774.0
China,2020-05-10,3.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.836768732481174e-05,,,,CHN,1439323774.0
China,2020-05-11,3.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.8368382095521483e-05,,,,CHN,1439323774.0
China,2020-05-12,3.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.837324549048962e-05,,,,CHN,1439323774.0
China,2020-05-13,3.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.8377414114748034e-05,,,,CHN,1439323774.0
China,2020-05-14,3.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.8380887968296705e-05,,,,CHN,1439323774.0
China,2020-05-15,3.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.838714090468431e-05,,,,CHN,1439323774.0
China,2020-05-16,3.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,5.839130952894272e-05,,,,CHN,1439323774.0
