Country,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,H7_Vaccination policy,history,lower,average,upper,ISO,Population
Cote d'Ivoire (Ivory Coast),2020-01-22,3.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,4.0,0.0,,,,CIV,26378275.0
Cote d'Ivoire (Ivory Coast),2020-01-23,3.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,4.0,0.0,,,,CIV,26378275.0
Cote d'Ivoire (Ivory Coast),2020-01-24,3.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,4.0,0.0,,,,CIV,26378275.0
Cote d'Ivoire (Ivory Coast),2020-01-25,3.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,4.0,0.0,,,,CIV,26378275.0
Cote d'Ivoire (Ivory Coast),2020-01-26,3.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,4.0,0.0,,,,CIV,26378275.0
Cote d'Ivoire (Ivory Coast),2020-01-27,3.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,4.0,0.0,,,,CIV,26378275.0
Cote d'Ivoire (Ivory Coast),2020-01-28,3.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,4.0,0.0,,,,CIV,26378275.0
Cote d'Ivoire (Ivory Coast),2020-01-29,3.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,4.0,0.0,,,,CIV,26378275.0
Cote d'Ivoire (Ivory Coast),2020-01-30,3.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,4.0,0.0,,,,CIV,26378275.0
Cote d'Ivoire (Ivory Coast),2020-01-31,3.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,4.0,0.0,,,,CIV,26378275.0
Cote d'Ivoire (Ivory Coast),2020-02-01,3.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,4.0,0.0,,,,CIV,26378275.0
Cote d'Ivoire (Ivory Coast),2020-02-02,3.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,4.0,0.0,,,,CIV,26378275.0
Cote d'Ivoire (Ivory Coast),2020-02-03,3.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,4.0,0.0,,,,CIV,26378275.0
Cote d'Ivoire (Ivory Coast),2020-02-04,3.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,4.0,0.0,,,,CIV,26378275.0
Cote d'Ivoire (Ivory Coast),2020-02-05,3.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,4.0,0.0,,,,CIV,26378275.0
Cote d'Ivoire (Ivory Coast),2020-02-06,3.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,4.0,0.0,,,,CIV,26378275.0
Cote d'Ivoire (Ivory Coast),2020-02-07,3.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,4.0,0.0,,,,CIV,26378275.0
Cote d'Ivoire (Ivory Coast),2020-02-08,3.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,4.0,0.0,,,,CIV,26378275.0
Cote d'Ivoire (Ivory Coast),2020-02-09,3.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,4.0,0.0,,,,CIV,26378275.0
