Country,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,H7_Vaccination policy,history,lower,average,upper,ISO,Population
Hong Kong,2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,,,,HKG,7496988.0
Hong Kong,2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,2.667738030259619e-07,,,,HKG,7496988.0
Hong Kong,2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,2.667738030259619e-07,,,,HKG,7496988.0
Hong Kong,2020-01-25,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,6.669345075649047e-07,,,,HKG,7496988.0
Hong Kong,2020-01-26,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0670952121038476e-06,,,,HKG,7496988.0
Hong Kong,2020-01-27,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0670952121038476e-06,,,,HKG,7496988.0
Hong Kong,2020-01-28,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0670952121038476e-06,,,,HKG,7496988.0
Hong Kong,2020-01-29,3.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.3338690151298097e-06,,,,HKG,7496988.0
Hong Kong,2020-01-30,3.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.3338690151298097e-06,,,,HKG,7496988.0
Hong Kong,2020-01-31,3.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.6006428181557711e-06,,,,HKG,7496988.0
Hong Kong,2020-02-01,3.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.7340297196687524e-06,,,,HKG,7496988.0
Hong Kong,2020-02-02,3.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0008035226947142e-06,,,,HKG,7496988.0
Hong Kong,2020-02-03,3.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0008035226947142e-06,,,,HKG,7496988.0
Hong Kong,2020-02-04,3.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,2.2675773257206763e-06,,,,HKG,7496988.0
Hong Kong,2020-02-05,3.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,2.8011249317726e-06,,,,HKG,7496988.0
Hong Kong,2020-02-06,3.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,3.2012856363115427e-06,,,,HKG,7496988.0
Hong Kong,2020-02-07,3.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,3.334672537824524e-06,,,,HKG,7496988.0
Hong Kong,2020-02-08,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,3.4680594393375047e-06,,,,HKG,7496988.0
Hong Kong,2020-02-09,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,3.868220143876448e-06,,,,HKG,7496988.0
Hong Kong,2020-02-10,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,5.068702257493276e-06,,,,HKG,7496988.0
Hong Kong,2020-02-11,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,6.535958174136066e-06,,,,HKG,7496988.0
Hong Kong,2020-02-12,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,6.669345075649048e-06,,,,HKG,7496988.0
Hong Kong,2020-02-13,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,7.069505780187991e-06,,,,HKG,7496988.0
Hong Kong,2020-02-14,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,7.469666484726933e-06,,,,HKG,7496988.0
Hong Kong,2020-02-15,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,7.469666484726933e-06,,,,HKG,7496988.0
Hong Kong,2020-02-16,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,7.603053386239914e-06,,,,HKG,7496988.0
Hong Kong,2020-02-17,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,8.003214090778857e-06,,,,HKG,7496988.0
Hong Kong,2020-02-18,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,8.269987893804819e-06,,,,HKG,7496988.0
Hong Kong,2020-02-19,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,8.4033747953178e-06,,,,HKG,7496988.0
Hong Kong,2020-02-20,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,9.070309302882703e-06,,,,HKG,7496988.0
Hong Kong,2020-02-21,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,9.070309302882703e-06,,,,HKG,7496988.0
Hong Kong,2020-02-22,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,9.203696204395685e-06,,,,HKG,7496988.0
Hong Kong,2020-02-23,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,9.87063071196059e-06,,,,HKG,7496988.0
Hong Kong,2020-02-24,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0537565219525497e-05,,,,HKG,7496988.0
Hong Kong,2020-02-25,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.12044997270904e-05,,,,HKG,7496988.0
Hong Kong,2020-02-26,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.2138208037681266e-05,,,,HKG,7496988.0
Hong Kong,2020-02-27,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.2271594939194248e-05,,,,HKG,7496988.0
Hong Kong,2020-02-28,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.2538368742220209e-05,,,,HKG,7496988.0
Hong Kong,2020-02-29,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.267175564373319e-05,,,,HKG,7496988.0
Hong Kong,2020-03-01,3.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.280514254524617e-05,,,,HKG,7496988.0
Hong Kong,2020-03-02,3.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.3338690151298097e-05,,,,HKG,7496988.0
Hong Kong,2020-03-03,3.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.3338690151298097e-05,,,,HKG,7496988.0
Hong Kong,2020-03-04,3.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.4005624658863e-05,,,,HKG,7496988.0
Hong Kong,2020-03-05,3.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.4005624658863e-05,,,,HKG,7496988.0
