Country,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,H7_Vaccination policy,history,lower,average,upper,ISO,Population
Japan,2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.5813219563754704e-08,,,,JPN,126476458.0
Japan,2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.5813219563754704e-08,,,,JPN,126476458.0
Japan,2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.5813219563754704e-08,,,,JPN,126476458.0
Japan,2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.5813219563754704e-08,,,,JPN,126476458.0
Japan,2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.162643912750941e-08,,,,JPN,126476458.0
Japan,2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.162643912750941e-08,,,,JPN,126476458.0
Japan,2020-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.5346268473141465e-08,,,,JPN,126476458.0
Japan,2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.5346268473141465e-08,,,,JPN,126476458.0
Japan,2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.697270760065088e-08,,,,JPN,126476458.0
Japan,2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.1859914672816027e-07,,,,JPN,126476458.0
Japan,2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.5813219563754703e-07,,,,JPN,126476458.0
Japan,2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.5813219563754703e-07,,,,JPN,126476458.0
Japan,2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.5813219563754703e-07,,,,JPN,126476458.0
Japan,2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.739454152013017e-07,,,,JPN,126476458.0
Japan,2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.8185202498317908e-07,,,,JPN,126476458.0
Japan,2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.8185202498317908e-07,,,,JPN,126476458.0
Japan,2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.8185202498317908e-07,,,,JPN,126476458.0
Japan,2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.8975863476505643e-07,,,,JPN,126476458.0
Japan,2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.8975863476505643e-07,,,,JPN,126476458.0
Japan,2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0557185432881113e-07,,,,JPN,126476458.0
Japan,2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.1347846411068848e-07,,,,JPN,126476458.0
Japan,2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.2138507389256586e-07,,,,JPN,126476458.0
Japan,2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.609181228019526e-07,,,,JPN,126476458.0
Japan,2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.399842206207261e-07,,,,JPN,126476458.0
Japan,2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,4.2695692822137696e-07,,,,JPN,126476458.0
Japan,2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,4.7439658691264107e-07,,,,JPN,126476458.0
Japan,2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,5.297428553857825e-07,,,,JPN,126476458.0
Japan,2020-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,6.246221727683107e-07,,,,JPN,126476458.0
Japan,2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,6.720618314595749e-07,,,,JPN,126476458.0
Japan,2020-02-20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,7.511279292783481e-07,,,,JPN,126476458.0
Japan,2020-02-21,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,8.855402955702633e-07,,,,JPN,126476458.0
Japan,2020-02-22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0832055401171972e-06,,,,JPN,126476458.0
Japan,2020-02-23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.1780848574997249e-06,,,,JPN,126476458.0
Japan,2020-02-24,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.2650575651003762e-06,,,,JPN,126476458.0
Japan,2020-02-25,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.3678434922647815e-06,,,,JPN,126476458.0
Japan,2020-02-26,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.5180690781204515e-06,,,,JPN,126476458.0
Japan,2020-02-27,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.7236409324492626e-06,,,,JPN,126476458.0
Japan,2020-02-28,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.865959908523055e-06,,,,JPN,126476458.0
Japan,2020-02-29,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.937119396559951e-06,,,,JPN,126476458.0
Japan,2020-03-01,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,2.047811933506234e-06,,,,JPN,126476458.0
Japan,2020-03-02,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,2.198037519361904e-06,,,,JPN,126476458.0
Japan,2020-03-03,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,2.3561697149994498e-06,,,,JPN,126476458.0
Japan,2020-03-04,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,2.632901057365158e-06,,,,JPN,126476458.0
Japan,2020-03-05,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,2.8859125703852334e-06,,,,JPN,126476458.0
Japan,2020-03-06,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,3.320776108388488e-06,,,,JPN,126476458.0
Japan,2020-03-07,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,3.684480158354845e-06,,,,JPN,126476458.0
Japan,2020-03-08,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,3.945398281156798e-06,,,,JPN,126476458.0
Japan,2020-03-09,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,4.1667833550493654e-06,,,,JPN,126476458.0
Japan,2020-03-10,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,4.6253667223982495e-06,,,,JPN,126476458.0
Japan,2020-03-11,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,5.060230260401505e-06,,,,JPN,126476458.0
Japan,2020-03-12,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,5.503000408186636e-06,,,,JPN,126476458.0
Japan,2020-03-13,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,5.795544970116099e-06,,,,JPN,126476458.0
Japan,2020-03-14,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,6.285754776592495e-06,,,,JPN,126476458.0
Japan,2020-03-15,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,6.530859679830692e-06,,,,JPN,126476458.0
Japan,2020-03-16,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,6.665272046122607e-06,,,,JPN,126476458.0
