Country,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,H7_Vaccination policy,history,lower,average,upper,ISO,Population
South Korea,2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.9504894392407227e-08,,,,KOR,51269183.0
South Korea,2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.9504894392407227e-08,,,,KOR,51269183.0
South Korea,2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.9009788784814455e-08,,,,KOR,51269183.0
South Korea,2020-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.9009788784814455e-08,,,,KOR,51269183.0
South Korea,2020-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.851468317722169e-08,,,,KOR,51269183.0
South Korea,2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.801957756962894e-08,,,,KOR,51269183.0
South Korea,2020-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.801957756962894e-08,,,,KOR,51269183.0
South Korea,2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.801957756962894e-08,,,,KOR,51269183.0
South Korea,2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.801957756962894e-08,,,,KOR,51269183.0
South Korea,2020-01-31,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.1455383831647949e-07,,,,KOR,51269183.0
South Korea,2020-02-01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.3405873270888682e-07,,,,KOR,51269183.0
South Korea,2020-02-02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.925734158861084e-07,,,,KOR,51269183.0
South Korea,2020-02-03,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.925734158861084e-07,,,,KOR,51269183.0
South Korea,2020-02-04,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.1207831027851575e-07,,,,KOR,51269183.0
South Korea,2020-02-05,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.705929934557373e-07,,,,KOR,51269183.0
South Korea,2020-02-06,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,4.486125710253663e-07,,,,KOR,51269183.0
South Korea,2020-02-07,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,4.6811746541777364e-07,,,,KOR,51269183.0
South Korea,2020-02-08,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,4.6811746541777364e-07,,,,KOR,51269183.0
South Korea,2020-02-09,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,4.876223598101807e-07,,,,KOR,51269183.0
South Korea,2020-02-10,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,5.266321485949951e-07,,,,KOR,51269183.0
South Korea,2020-02-11,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,5.461370429874026e-07,,,,KOR,51269183.0
South Korea,2020-02-12,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,5.461370429874026e-07,,,,KOR,51269183.0
South Korea,2020-02-13,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,5.461370429874026e-07,,,,KOR,51269183.0
South Korea,2020-02-14,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,5.461370429874026e-07,,,,KOR,51269183.0
South Korea,2020-02-15,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,5.461370429874026e-07,,,,KOR,51269183.0
South Korea,2020-02-16,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,5.656419373798096e-07,,,,KOR,51269183.0
South Korea,2020-02-17,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,5.851468317722168e-07,,,,KOR,51269183.0
South Korea,2020-02-18,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,6.04651726164624e-07,,,,KOR,51269183.0
South Korea,2020-02-19,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,6.04651726164624e-07,,,,KOR,51269183.0
South Korea,2020-02-20,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,2.028509016810352e-06,,,,KOR,51269183.0
South Korea,2020-02-21,3.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,3.978998456051073e-06,,,,KOR,51269183.0
South Korea,2020-02-22,3.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,8.445619271912331e-06,,,,KOR,51269183.0
South Korea,2020-02-23,3.0,0.0,2.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,1.1741946424229151e-05,,,,KOR,51269183.0
South Korea,2020-02-24,3.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,1.6247577028875218e-05,,,,KOR,51269183.0
South Korea,2020-02-25,3.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,1.9056281821381866e-05,,,,KOR,51269183.0
South Korea,2020-02-26,3.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,2.459567182882552e-05,,,,KOR,51269183.0
South Korea,2020-02-27,3.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,3.4445643496991166e-05,,,,KOR,51269183.0
South Korea,2020-02-28,3.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,4.5582938195055686e-05,,,,KOR,51269183.0
South Korea,2020-02-29,3.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,6.144041733608277e-05,,,,KOR,51269183.0
South Korea,2020-03-01,3.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,7.287028545003341e-05,,,,KOR,51269183.0
South Korea,2020-03-02,3.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,8.455371719108533e-05,,,,KOR,51269183.0
South Korea,2020-03-03,3.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.00010115238231902388,,,,KOR,51269183.0
