Country,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,H7_Vaccination policy,history,lower,average,upper,ISO,Population
Singapore,2020-01-22,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,,,,SGP,5850343.0
Singapore,2020-01-23,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.7093014888186894e-07,,,,SGP,5850343.0
Singapore,2020-01-24,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,5.12790446645607e-07,,,,SGP,5850343.0
Singapore,2020-01-25,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,5.12790446645607e-07,,,,SGP,5850343.0
Singapore,2020-01-26,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,6.83720595527476e-07,,,,SGP,5850343.0
Singapore,2020-01-27,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,8.546507444093449e-07,,,,SGP,5850343.0
Singapore,2020-01-28,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.1965110421730826e-06,,,,SGP,5850343.0
Singapore,2020-01-29,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.1965110421730826e-06,,,,SGP,5850343.0
Singapore,2020-01-30,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.7093014888186897e-06,,,,SGP,5850343.0
Singapore,2020-01-31,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.222091935464297e-06,,,,SGP,5850343.0
Singapore,2020-02-01,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.734882382109904e-06,,,,SGP,5850343.0
Singapore,2020-02-02,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.076742679873642e-06,,,,SGP,5850343.0
Singapore,2020-02-03,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.076742679873642e-06,,,,SGP,5850343.0
Singapore,2020-02-04,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,4.102323573164856e-06,,,,SGP,5850343.0
Singapore,2020-02-05,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,4.7860441686923306e-06,,,,SGP,5850343.0
Singapore,2020-02-06,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,4.7860441686923306e-06,,,,SGP,5850343.0
Singapore,2020-02-07,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,5.127904466456068e-06,,,,SGP,5850343.0
Singapore,2020-02-08,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,5.640694913101676e-06,,,,SGP,5850343.0
Singapore,2020-02-09,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,6.837205955274759e-06,,,,SGP,5850343.0
Singapore,2020-02-10,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,7.691856699684102e-06,,,,SGP,5850343.0
Singapore,2020-02-11,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,8.033716997447841e-06,,,,SGP,5850343.0
Singapore,2020-02-12,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,8.54650744409345e-06,,,,SGP,5850343.0
Singapore,2020-02-13,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,9.9139486351484e-06,,,,SGP,5850343.0
Singapore,2020-02-14,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.1452319975085222e-05,,,,SGP,5850343.0
Singapore,2020-02-15,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.2306970719494568e-05,,,,SGP,5850343.0
Singapore,2020-02-16,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.2819761166140172e-05,,,,SGP,5850343.0
Singapore,2020-02-17,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.3161621463903913e-05,,,,SGP,5850343.0
Singapore,2020-02-18,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.3845342059431387e-05,,,,SGP,5850343.0
Singapore,2020-02-19,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.4358132506076993e-05,,,,SGP,5850343.0
Singapore,2020-02-20,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.4358132506076993e-05,,,,SGP,5850343.0
Singapore,2020-02-21,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.4529062654958862e-05,,,,SGP,5850343.0
Singapore,2020-02-22,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.4529062654958862e-05,,,,SGP,5850343.0
Singapore,2020-02-23,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.521278325048634e-05,,,,SGP,5850343.0
Singapore,2020-02-24,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.521278325048634e-05,,,,SGP,5850343.0
Singapore,2020-02-25,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.5554643548250077e-05,,,,SGP,5850343.0
Singapore,2020-02-26,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.5896503846013815e-05,,,,SGP,5850343.0
Singapore,2020-02-27,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.5896503846013815e-05,,,,SGP,5850343.0
Singapore,2020-02-28,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.5896503846013815e-05,,,,SGP,5850343.0
