rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C1_School closing,Bhutan,BTN,48.1064,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C1_School closing,Bhutan,BTN,68.0,score,2020.0
3,Health,Prevalence of COVID-19,C1_School closing,Bhutan,BTN,443.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Demographics,Secure Internet servers ,C1_School closing,Bhutan,BTN,478.3171622818743,per 1 million people,2019.0
5,Economics,Stock market capitalization (US$ million),C1_School closing,Bhutan,BTN,515.12316,percent,2018.0
6,Demographics,Fixed broadband subscriptions,C1_School closing,Bhutan,BTN,1.1498,per 100 people,2019.0
7,Health,Mortality due to COVID-19,C1_School closing,Bhutan,BTN,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Social issues ,Life Ladder ,C1_School closing,Bhutan,BTN,5.082128524780273,score,2015.0
9,Health,Prevalence of anxiety disorders,C1_School closing,Bhutan,BTN,0.034558,percent,2019.0
10,Health,Summary exposure value tobacco,C1_School closing,Bhutan,BTN,12.4347,Rate (risk-weighted prevalence),2019.0
12,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C1_School closing,Bhutan,BTN,2.4,percent,2018.0
13,Health,Prevalence of down syndrome,C1_School closing,Bhutan,BTN,0.000138,percent,2019.0
14,Health,Prevalence of total cancers,C1_School closing,Bhutan,BTN,0.002882,percent,2019.0
15,Environment,Renewable energy consumption ,C1_School closing,Bhutan,BTN,86.9045483179462,percent of total final energy consumption,2015.0
16,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C1_School closing,Bhutan,BTN,2.3900001,percent of total labor force,2020.0
17,Environment,"Adjusted net savings, including particulate emission damage",C1_School closing,Bhutan,BTN,16.7546333237009,percent of GNI,2018.0
18,Social issues ,Net migration,C1_School closing,Bhutan,BTN,1600.0,net total / data are 5 year estimates,2019.0
20,Demographics,Urban population (% of total population),C1_School closing,Bhutan,BTN,41.612,total,2019.0
21,Environment,CO2 emissions (metric tons per capita),C1_School closing,Bhutan,BTN,1.712274,metric tons per capita,2016.0
22,Governance,Rule of law estimate ,C1_School closing,Bhutan,BTN,0.5897077,score,2019.0
23,Governance,Political stability and absence of violence/terrorism estimate,C1_School closing,Bhutan,BTN,1.092505,score,2019.0
24,Health,Prevalence of Hypertensive heart disease,C1_School closing,Bhutan,BTN,0.0006,percent,2019.0
