rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C1_School closing,Cyprus,CYP,86.0636,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C1_School closing,Cyprus,CYP,57.0,score,2020.0
3,Health,Prevalence of COVID-19,C1_School closing,Cyprus,CYP,17057.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Demographics,Secure Internet servers ,C1_School closing,Cyprus,CYP,8221.429614333689,per 1 million people,2019.0
6,Demographics,Fixed broadband subscriptions,C1_School closing,Cyprus,CYP,37.7881,per 100 people,2019.0
7,Health,Mortality due to COVID-19,C1_School closing,Cyprus,CYP,87.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Social issues ,Life Ladder ,C1_School closing,Cyprus,CYP,6.223499774932861,score,2021.0
9,Health,Prevalence of anxiety disorders,C1_School closing,Cyprus,CYP,0.072166,percent,2019.0
10,Health,Summary exposure value tobacco,C1_School closing,Cyprus,CYP,31.52972,Rate (risk-weighted prevalence),2019.0
12,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C1_School closing,Cyprus,CYP,2.9,percent,2018.0
13,Health,Prevalence of down syndrome,C1_School closing,Cyprus,CYP,0.000612,percent,2019.0
14,Health,Prevalence of total cancers,C1_School closing,Cyprus,CYP,0.028626,percent,2019.0
15,Environment,Renewable energy consumption ,C1_School closing,Cyprus,CYP,9.9420660163921,percent of total final energy consumption,2015.0
16,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C1_School closing,Cyprus,CYP,7.23400021,percent of total labor force,2020.0
17,Environment,"Adjusted net savings, including particulate emission damage",C1_School closing,Cyprus,CYP,8.13654050110795,percent of GNI,2018.0
18,Social issues ,Net migration,C1_School closing,Cyprus,CYP,25000.0,net total / data are 5 year estimates,2019.0
19,Environment,Electric power consumption ,C1_School closing,Cyprus,CYP,3624.971252771667,kWh per capita,2014.0
21,Environment,CO2 emissions (metric tons per capita),C1_School closing,Cyprus,CYP,5.662573,metric tons per capita,2016.0
22,Governance,Rule of law estimate ,C1_School closing,Cyprus,CYP,0.7598994,score,2019.0
23,Governance,Political stability and absence of violence/terrorism estimate,C1_School closing,Cyprus,CYP,0.5165108,score,2019.0
24,Health,Prevalence of Hypertensive heart disease,C1_School closing,Cyprus,CYP,0.001163,percent,2019.0
25,Social issues ,Gini index (World Bank estimate),C1_School closing,Cyprus,CYP,31.4,index ,2017.0
27,Governance,Aggregate score for the Political Rights category,C1_School closing,Cyprus,CYP,38.0,score,2021.0
29,Governance,Personal Freedom Score ,C1_School closing,Cyprus,CYP,8.25,score,2018.0
30,Demographics,Fixed telephone subscriptions,C1_School closing,Cyprus,CYP,323914.0,number,2019.0
31,Health,"Nurses and midwives (per 1,000 people)",C1_School closing,Cyprus,CYP,5.2512,Ones,2016.0
32,Health,Prevalence of Respiratory infections and tuberculosis,C1_School closing,Cyprus,CYP,0.122908,percent,2019.0
33,Governance,Economic Freedom Score,C1_School closing,Cyprus,CYP,7.84,score,2018.0
34,Demographics,Mobile cellular subscriptions,C1_School closing,Cyprus,CYP,143.85,per 100 people,2019.0
35,Social issues ,Proportion of women in managerial positions (%),C1_School closing,Cyprus,CYP,16.95,percent,2018.0
36,Health,Prevalence of Diabetes,C1_School closing,Cyprus,CYP,0.097302,percent,2019.0
37,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C1_School closing,Cyprus,CYP,57.757,Percentage of females of the total population,2020.0
38,Health,Prevalence of Depressive disorders,C1_School closing,Cyprus,CYP,0.038063,percent,2019.0
39,Environment,"PM2.5 air pollution, mean annual exposure",C1_School closing,Cyprus,CYP,17.29441,micrograms per cubic meter,2017.0
40,Environment,CO2 emissions (kt),C1_School closing,Cyprus,CYP,6626.269,kt,2016.0
41,Environment,"Electricity production from oil, gas and coal sources",C1_School closing,Cyprus,CYP,91.21994264284139,percent of total,2015.0
42,Economics,Employment in services (% of total employment) (modeled ILO estimate),C1_School closing,Cyprus,CYP,81.7360001,Percentage of total employment,2020.0
43,Social issues ,Proportion of seats held by women in national parliaments (%),C1_School closing,Cyprus,CYP,19.64285714,proportion,2020.0
44,Social issues ,"Intentional homicides (per 100,000 people)",C1_School closing,Cyprus,CYP,1.2612864112,"proportion, pero 100,000 people",2018.0
45,Environment,Energy use ,C1_School closing,Cyprus,CYP,69.93378131805301,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
46,Economics,Volume of imports,C1_School closing,Cyprus,CYP,4.449,percent change,2020.0
49,Health,"Incidence of tuberculosis (per 100,000 people)",C1_School closing,Cyprus,CYP,5.3,Cases,2019.0
50,Health,"Immunization, measles (% of children ages 12-23 months)",C1_School closing,Cyprus,CYP,86.0,percent,2019.0
51,Economics,Volume of exports,C1_School closing,Cyprus,CYP,4.745,percent change,2020.0
52,Governance,Regulatory quality estimate,C1_School closing,Cyprus,CYP,1.012343,score,2019.0
53,Health,Prevalence of obesity,C1_School closing,Cyprus,CYP,21.8,percent,2016.0
55,Environment,Energy use (kg of oil equivalent per capita),C1_School closing,Cyprus,CYP,1712.159752144652,kg of oil equivalent per capita,2014.0
56,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C1_School closing,Cyprus,CYP,62.8569984,Percentage of total population,2020.0
57,Governance,Aggregate score for the Civil Liberties category,C1_School closing,Cyprus,CYP,56.0,score,2021.0
58,Environment,Electricity production from oil sources,C1_School closing,Cyprus,CYP,91.21994264284139,percent of total,2015.0
59,Environment,Fossil fuel energy consumption,C1_School closing,Cyprus,CYP,92.90622,percent of total,2014.0
60,Governance,Government effectiveness estimate,C1_School closing,Cyprus,CYP,0.9924904,score,2019.0
62,Social issues ,Press freedom score,C1_School closing,Cyprus,CYP,20.45,score,2020.0
63,Governance,Serious assault (rate),C1_School closing,Cyprus,CYP,11.1,rate,2018.0
64,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C1_School closing,Cyprus,CYP,100.0,percent of total,2017.0
65,Governance,Voice and accountability estimate,C1_School closing,Cyprus,CYP,1.077345,score,2019.0
67,Environment,Access to electricity ,C1_School closing,Cyprus,CYP,100.0,percent of population,2018.0
68,Environment,Combustible renewables and waste,C1_School closing,Cyprus,CYP,1.287295,percent of total energy,2014.0
72,Health,"Physicians (per 1,000 people)",C1_School closing,Cyprus,CYP,1.9509,Ones,2016.0
75,Governance,Fragile States Index Total ,C1_School closing,Cyprus,CYP,56.05796495249495,score,2020.0
76,Health,Prevalence of chronic kidney disease,C1_School closing,Cyprus,CYP,0.092513,percent,2019.0
77,Environment,"Electricity production from renewable sources, excluding hydroelectric",C1_School closing,Cyprus,CYP,398000000.0,kWh,2015.0
78,Governance,Total freedom in the world score ,C1_School closing,Cyprus,CYP,94.0,score,2021.0
79,Environment,Electricity production from coal sources ,C1_School closing,Cyprus,CYP,0.0,percent of total,2015.0
82,Environment,"Energy imports, net ",C1_School closing,Cyprus,CYP,94.0267505230889,percent of energy use,2014.0
83,Governance,Human Development Index,C1_School closing,Cyprus,CYP,0.887,index,2019.0
89,Environment,Electricity production from nuclear sources ,C1_School closing,Cyprus,CYP,0.0,percent of total,2014.0
97,Governance,Control of corruption estimate,C1_School closing,Cyprus,CYP,0.6048772,score,2019.0
98,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",C1_School closing,Cyprus,CYP,73191.6,international $ in PPP,2020.0
102,Economics,Unemployment rate (%) - Annual,C1_School closing,Cyprus,CYP,7.3,percent,2019.0
109,Governance,Human Freedom Score ,C1_School closing,Cyprus,CYP,8.05,score,2018.0
114,Health,"Immunization, DPT (% of children ages 12-23 months)",C1_School closing,Cyprus,CYP,96.0,percent,2019.0
