rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C1_School closing,Egypt,EGY,57.2829,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,C1_School closing,Egypt,EGY,0.31957,percent,2019.0
3,Demographics,Fixed telephone subscriptions,C1_School closing,Egypt,EGY,8760440.0,number,2019.0
4,Health,Prevalence of COVID-19,C1_School closing,Egypt,EGY,124280.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Environment,CO2 emissions (metric tons per capita),C1_School closing,Egypt,EGY,2.525863,metric tons per capita,2016.0
6,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C1_School closing,Egypt,EGY,17.8,percent,2020.0
7,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C1_School closing,Egypt,EGY,1.4,percent,2018.0
8,Governance,Political stability and absence of violence/terrorism estimate,C1_School closing,Egypt,EGY,-1.066421,score,2019.0
9,Health,"Incidence of tuberculosis (per 100,000 people)",C1_School closing,Egypt,EGY,12.0,Cases,2019.0
10,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C1_School closing,Egypt,EGY,10.1280003,percent of total labor force,2020.0
11,Health,Prevalence of total cancers,C1_School closing,Egypt,EGY,0.0042,percent,2019.0
12,Environment,Fossil fuel energy consumption,C1_School closing,Egypt,EGY,97.92893,percent of total,2014.0
13,Social issues ,Gini index (World Bank estimate),C1_School closing,Egypt,EGY,31.5,index ,2017.0
14,Health,Prevalence of anxiety disorders,C1_School closing,Egypt,EGY,0.048597,percent,2019.0
15,Governance,Government effectiveness estimate,C1_School closing,Egypt,EGY,-0.4235377,score,2019.0
16,Environment,Electricity production from coal sources ,C1_School closing,Egypt,EGY,0.0,percent of total,2015.0
17,Demographics,Fixed broadband subscriptions,C1_School closing,Egypt,EGY,7.56957,per 100 people,2019.0
18,Health,"Nurses and midwives (per 1,000 people)",C1_School closing,Egypt,EGY,1.9262,Ones,2018.0
19,Environment,"Electricity production from renewable sources, excluding hydroelectric",C1_School closing,Egypt,EGY,1598000000.0,kWh,2015.0
20,Social issues ,Proportion of women in managerial positions (%),C1_School closing,Egypt,EGY,6.37,percent,2017.0
21,Social issues ,Net migration,C1_School closing,Egypt,EGY,-190164.0,net total / data are 5 year estimates,2019.0
22,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C1_School closing,Egypt,EGY,22.3,percent,2020.0
23,Demographics,Mobile cellular subscriptions,C1_School closing,Egypt,EGY,94.9717,per 100 people,2019.0
24,Health,"Physicians (per 1,000 people)",C1_School closing,Egypt,EGY,0.4521,Ones,2018.0
25,Environment,CO2 emissions (kt),C1_School closing,Egypt,EGY,238560.4,kt,2016.0
26,Governance,Human Development Index,C1_School closing,Egypt,EGY,0.707,index,2019.0
27,Health,Prevalence of down syndrome,C1_School closing,Egypt,EGY,0.000399,percent,2019.0
29,Governance,Corruption Perceptions Index,C1_School closing,Egypt,EGY,33.0,score,2020.0
30,Governance,Regulatory quality estimate,C1_School closing,Egypt,EGY,-0.827766,score,2019.0
31,Governance,Fragile States Index Total ,C1_School closing,Egypt,EGY,86.00613825029183,score,2020.0
32,Health,Prevalence of Diabetes,C1_School closing,Egypt,EGY,0.046813,percent,2019.0
33,Economics,Employment in services (% of total employment) (modeled ILO estimate),C1_School closing,Egypt,EGY,48.5509987,Percentage of total employment,2020.0
34,Environment,Energy use (kg of oil equivalent per capita),C1_School closing,Egypt,EGY,827.4971668677881,kg of oil equivalent per capita,2014.0
35,Environment,"Energy imports, net ",C1_School closing,Egypt,EGY,-7.391493975802161,percent of energy use,2014.0
36,Health,"Immunization, measles (% of children ages 12-23 months)",C1_School closing,Egypt,EGY,95.0,percent,2019.0
37,Social issues ,Proportion of seats held by women in national parliaments (%),C1_School closing,Egypt,EGY,15.10067114,proportion,2020.0
38,Environment,Combustible renewables and waste,C1_School closing,Egypt,EGY,2.288711,percent of total energy,2014.0
39,Governance,Human Freedom Score ,C1_School closing,Egypt,EGY,4.67,score,2018.0
40,Health,"Immunization, DPT (% of children ages 12-23 months)",C1_School closing,Egypt,EGY,95.0,percent,2019.0
42,Health,Prevalence of obesity,C1_School closing,Egypt,EGY,32.0,percent,2016.0
44,Health,"Prevalence of HIV, total (% of population ages 15-49)",C1_School closing,Egypt,EGY,0.1,percent,2019.0
45,Governance,Rule of law estimate ,C1_School closing,Egypt,EGY,-0.420846,score,2019.0
46,Governance,Voice and accountability estimate,C1_School closing,Egypt,EGY,-1.428673,score,2019.0
47,Environment,"PM2.5 air pollution, mean annual exposure",C1_School closing,Egypt,EGY,86.99945,micrograms per cubic meter,2017.0
48,Demographics,Secure Internet servers ,C1_School closing,Egypt,EGY,35.33288262242069,per 1 million people,2019.0
49,Governance,Economic Freedom Score,C1_School closing,Egypt,EGY,5.38,score,2018.0
50,Health,Summary exposure value tobacco,C1_School closing,Egypt,EGY,35.65798,Rate (risk-weighted prevalence),2019.0
