rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C1_School closing,Micronesia,FSM,35.3041,percent of population,2019.0
3,Health,Prevalence of COVID-19,C1_School closing,Micronesia,FSM,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Demographics,Secure Internet servers ,C1_School closing,Micronesia,FSM,210.8685146948996,per 1 million people,2019.0
6,Demographics,Fixed broadband subscriptions,C1_School closing,Micronesia,FSM,3.38779,per 100 people,2019.0
7,Health,Mortality due to COVID-19,C1_School closing,Micronesia,FSM,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
9,Health,Prevalence of anxiety disorders,C1_School closing,Micronesia,FSM,0.041918,percent,2019.0
10,Health,Summary exposure value tobacco,C1_School closing,Micronesia,FSM,25.30581,Rate (risk-weighted prevalence),2019.0
12,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C1_School closing,Micronesia,FSM,3.3,percent,2018.0
13,Health,Prevalence of down syndrome,C1_School closing,Micronesia,FSM,0.00017,percent,2019.0
14,Health,Prevalence of total cancers,C1_School closing,Micronesia,FSM,0.006194,percent,2019.0
15,Environment,Renewable energy consumption ,C1_School closing,Micronesia,FSM,1.19623786232284,percent of total final energy consumption,2015.0
18,Social issues ,Net migration,C1_School closing,Micronesia,FSM,-2999.0,net total / data are 5 year estimates,2019.0
20,Demographics,Urban population (% of total population),C1_School closing,Micronesia,FSM,22.812,total,2019.0
21,Environment,CO2 emissions (metric tons per capita),C1_School closing,Micronesia,FSM,1.297582,metric tons per capita,2016.0
22,Governance,Rule of law estimate ,C1_School closing,Micronesia,FSM,0.0241157,score,2019.0
23,Governance,Political stability and absence of violence/terrorism estimate,C1_School closing,Micronesia,FSM,0.9964124,score,2019.0
24,Health,Prevalence of Hypertensive heart disease,C1_School closing,Micronesia,FSM,0.001935,percent,2019.0
26,Economics,"Central government debt, total",C1_School closing,Micronesia,FSM,25.39177741153753,percent of GDP,2016.0
27,Governance,Aggregate score for the Political Rights category,C1_School closing,Micronesia,FSM,37.0,score,2021.0
30,Demographics,Fixed telephone subscriptions,C1_School closing,Micronesia,FSM,6947.0,number,2019.0
31,Health,"Nurses and midwives (per 1,000 people)",C1_School closing,Micronesia,FSM,2.0426,Ones,2018.0
32,Health,Prevalence of Respiratory infections and tuberculosis,C1_School closing,Micronesia,FSM,0.414042,percent,2019.0
34,Demographics,Mobile cellular subscriptions,C1_School closing,Micronesia,FSM,20.7377,per 100 people,2019.0
35,Social issues ,Proportion of women in managerial positions (%),C1_School closing,Micronesia,FSM,20.26,percent,2014.0
36,Health,Prevalence of Diabetes,C1_School closing,Micronesia,FSM,0.105494,percent,2019.0
38,Health,Prevalence of Depressive disorders,C1_School closing,Micronesia,FSM,0.028717,percent,2019.0
39,Environment,"PM2.5 air pollution, mean annual exposure",C1_School closing,Micronesia,FSM,11.2834,micrograms per cubic meter,2017.0
40,Environment,CO2 emissions (kt),C1_School closing,Micronesia,FSM,143.013,kt,2016.0
43,Social issues ,Proportion of seats held by women in national parliaments (%),C1_School closing,Micronesia,FSM,0.0,proportion,2020.0
49,Health,"Incidence of tuberculosis (per 100,000 people)",C1_School closing,Micronesia,FSM,100.0,Cases,2019.0
50,Health,"Immunization, measles (% of children ages 12-23 months)",C1_School closing,Micronesia,FSM,78.0,percent,2019.0
52,Governance,Regulatory quality estimate,C1_School closing,Micronesia,FSM,-0.9603013,score,2019.0
53,Health,Prevalence of obesity,C1_School closing,Micronesia,FSM,45.8,percent,2016.0
57,Governance,Aggregate score for the Civil Liberties category,C1_School closing,Micronesia,FSM,55.0,score,2021.0
60,Governance,Government effectiveness estimate,C1_School closing,Micronesia,FSM,-0.1870816,score,2019.0
64,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C1_School closing,Micronesia,FSM,99.9999999837514,percent of total,2017.0
65,Governance,Voice and accountability estimate,C1_School closing,Micronesia,FSM,1.094265,score,2019.0
66,Demographics,"Population, total",C1_School closing,Micronesia,FSM,113815.0,total,2019.0
67,Environment,Access to electricity ,C1_School closing,Micronesia,FSM,82.099723815918,percent of population,2018.0
71,Demographics,Rural population (% of total population),C1_School closing,Micronesia,FSM,77.188,proportion,2019.0
74,Economics,"Foreign direct investment, net",C1_School closing,Micronesia,FSM,800000.0,US Dollar,2015.0
75,Governance,Fragile States Index Total ,C1_School closing,Micronesia,FSM,71.23563007855653,score,2020.0
76,Health,Prevalence of chronic kidney disease,C1_School closing,Micronesia,FSM,0.096116,percent,2019.0
78,Governance,Total freedom in the world score ,C1_School closing,Micronesia,FSM,92.0,score,2021.0
80,Demographics,People using at least basic sanitation services (% of population),C1_School closing,Micronesia,FSM,88.3093315478836,proportion,2017.0
81,Demographics,Refugee population by country or territory of asylum,C1_School closing,Micronesia,FSM,5.0,proportion,2016.0
83,Governance,Human Development Index,C1_School closing,Micronesia,FSM,0.62,index,2019.0
85,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",C1_School closing,Micronesia,FSM,3.5,rating,2019.0
92,Social issues ,"Primary completion rate, total (% of relevant age group)",C1_School closing,Micronesia,FSM,88.4534301757813,proportion,2019.0
93,Demographics,Age dependency ratio (% of working-age population),C1_School closing,Micronesia,FSM,55.39581114660987,proportion,2019.0
96,Demographics,"Age dependency ratio, old (% of working-age population)",C1_School closing,Micronesia,FSM,6.515387346058272,proportion,2019.0
97,Governance,Control of corruption estimate,C1_School closing,Micronesia,FSM,0.7497162,score,2019.0
102,Economics,Unemployment rate (%) - Annual,C1_School closing,Micronesia,FSM,9.1,percent,2014.0
103,Economics,"Trade, total as % of GDP",C1_School closing,Micronesia,FSM,60.89328,percent,2018.0
106,Economics,"International tourism, receipts",C1_School closing,Micronesia,FSM,25000000.0,US Dollar,2015.0
114,Health,"Immunization, DPT (% of children ages 12-23 months)",C1_School closing,Micronesia,FSM,78.0,percent,2019.0
115,Economics,"Lending interest rates, percent per annum",C1_School closing,Micronesia,FSM,15.7,percent per annum,2018.0
