rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C1_School closing,Gibraltar,GIB,94.4445,percent of population,2019.0
3,Health,Prevalence of COVID-19,C1_School closing,Gibraltar,GIB,1153.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Demographics,Secure Internet servers ,C1_School closing,Gibraltar,GIB,16201.29966469838,per 1 million people,2019.0
6,Demographics,Fixed broadband subscriptions,C1_School closing,Gibraltar,GIB,56.2891,per 100 people,2019.0
7,Health,Mortality due to COVID-19,C1_School closing,Gibraltar,GIB,6.0,"Number (cumulative total by Dec 26,2020)",2020.0
15,Environment,Renewable energy consumption ,C1_School closing,Gibraltar,GIB,0.0,percent of total final energy consumption,2015.0
19,Environment,Electric power consumption ,C1_School closing,Gibraltar,GIB,5693.106004447739,kWh per capita,2014.0
21,Environment,CO2 emissions (metric tons per capita),C1_School closing,Gibraltar,GIB,18.80401,metric tons per capita,2016.0
30,Demographics,Fixed telephone subscriptions,C1_School closing,Gibraltar,GIB,16968.0,number,2019.0
34,Demographics,Mobile cellular subscriptions,C1_School closing,Gibraltar,GIB,120.284,per 100 people,2019.0
40,Environment,CO2 emissions (kt),C1_School closing,Gibraltar,GIB,634.391,kt,2016.0
41,Environment,"Electricity production from oil, gas and coal sources",C1_School closing,Gibraltar,GIB,100.0,percent of total,2015.0
55,Environment,Energy use (kg of oil equivalent per capita),C1_School closing,Gibraltar,GIB,5812.453669384729,kg of oil equivalent per capita,2014.0
58,Environment,Electricity production from oil sources,C1_School closing,Gibraltar,GIB,100.0,percent of total,2015.0
59,Environment,Fossil fuel energy consumption,C1_School closing,Gibraltar,GIB,99.51282,percent of total,2014.0
67,Environment,Access to electricity ,C1_School closing,Gibraltar,GIB,100.0,percent of population,2018.0
68,Environment,Combustible renewables and waste,C1_School closing,Gibraltar,GIB,0.0,percent of total energy,2014.0
77,Environment,"Electricity production from renewable sources, excluding hydroelectric",C1_School closing,Gibraltar,GIB,0.0,kWh,2015.0
79,Environment,Electricity production from coal sources ,C1_School closing,Gibraltar,GIB,0.0,percent of total,2015.0
82,Environment,"Energy imports, net ",C1_School closing,Gibraltar,GIB,100.0,percent of energy use,2014.0
89,Environment,Electricity production from nuclear sources ,C1_School closing,Gibraltar,GIB,0.0,percent of total,2014.0
