rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C1_School closing,Israel,ISR,86.7879,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,C1_School closing,Israel,ISR,0.125945,percent,2019.0
3,Demographics,Fixed telephone subscriptions,C1_School closing,Israel,ISR,3040000.0,number,2019.0
4,Health,Prevalence of COVID-19,C1_School closing,Israel,ISR,362861.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Environment,CO2 emissions (metric tons per capita),C1_School closing,Israel,ISR,7.625352,metric tons per capita,2016.0
7,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C1_School closing,Israel,ISR,4.9,percent,2018.0
8,Governance,Political stability and absence of violence/terrorism estimate,C1_School closing,Israel,ISR,-0.7785231,score,2019.0
9,Health,"Incidence of tuberculosis (per 100,000 people)",C1_School closing,Israel,ISR,2.9,Cases,2019.0
10,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C1_School closing,Israel,ISR,3.77900004,percent of total labor force,2020.0
11,Health,Prevalence of total cancers,C1_School closing,Israel,ISR,0.019495,percent,2019.0
12,Environment,Fossil fuel energy consumption,C1_School closing,Israel,ISR,97.38212,percent of total,2015.0
13,Social issues ,Gini index (World Bank estimate),C1_School closing,Israel,ISR,39.0,index ,2016.0
14,Health,Prevalence of anxiety disorders,C1_School closing,Israel,ISR,0.040109,percent,2019.0
15,Governance,Government effectiveness estimate,C1_School closing,Israel,ISR,1.325652,score,2019.0
16,Environment,Electricity production from coal sources ,C1_School closing,Israel,ISR,45.40373057640208,percent of total,2015.0
17,Demographics,Fixed broadband subscriptions,C1_School closing,Israel,ISR,29.1218,per 100 people,2019.0
18,Health,"Nurses and midwives (per 1,000 people)",C1_School closing,Israel,ISR,5.7002,Ones,2017.0
19,Environment,"Electricity production from renewable sources, excluding hydroelectric",C1_School closing,Israel,ISR,1190000000.0,kWh,2015.0
20,Social issues ,Proportion of women in managerial positions (%),C1_School closing,Israel,ISR,34.54,percent,2017.0
21,Social issues ,Net migration,C1_School closing,Israel,ISR,50002.0,net total / data are 5 year estimates,2019.0
23,Demographics,Mobile cellular subscriptions,C1_School closing,Israel,ISR,126.77,per 100 people,2019.0
24,Health,"Physicians (per 1,000 people)",C1_School closing,Israel,ISR,4.6249,Ones,2018.0
25,Environment,CO2 emissions (kt),C1_School closing,Israel,ISR,65166.26,kt,2016.0
26,Governance,Human Development Index,C1_School closing,Israel,ISR,0.919,index,2019.0
27,Health,Prevalence of down syndrome,C1_School closing,Israel,ISR,0.000641,percent,2019.0
