rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C1_School closing,Kiribati,KIR,14.5818,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,C1_School closing,Kiribati,KIR,0.456248,percent,2019.0
3,Demographics,Fixed telephone subscriptions,C1_School closing,Kiribati,KIR,20.0,number,2019.0
4,Health,Prevalence of COVID-19,C1_School closing,Kiribati,KIR,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Environment,CO2 emissions (metric tons per capita),C1_School closing,Kiribati,KIR,0.586595,metric tons per capita,2016.0
6,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C1_School closing,Kiribati,KIR,2.4,percent,2020.0
7,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C1_School closing,Kiribati,KIR,9.3,percent,2018.0
8,Governance,Political stability and absence of violence/terrorism estimate,C1_School closing,Kiribati,KIR,1.204567,score,2019.0
9,Health,"Incidence of tuberculosis (per 100,000 people)",C1_School closing,Kiribati,KIR,436.0,Cases,2019.0
11,Health,Prevalence of total cancers,C1_School closing,Kiribati,KIR,0.00563,percent,2019.0
14,Health,Prevalence of anxiety disorders,C1_School closing,Kiribati,KIR,0.040167,percent,2019.0
15,Governance,Government effectiveness estimate,C1_School closing,Kiribati,KIR,-0.2355355,score,2019.0
17,Demographics,Fixed broadband subscriptions,C1_School closing,Kiribati,KIR,0.0578202,per 100 people,2019.0
18,Health,"Nurses and midwives (per 1,000 people)",C1_School closing,Kiribati,KIR,3.8342,Ones,2018.0
20,Social issues ,Proportion of women in managerial positions (%),C1_School closing,Kiribati,KIR,37.22,percent,2015.0
21,Social issues ,Net migration,C1_School closing,Kiribati,KIR,-3999.0,net total / data are 5 year estimates,2019.0
22,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C1_School closing,Kiribati,KIR,14.9,percent,2020.0
23,Demographics,Mobile cellular subscriptions,C1_School closing,Kiribati,KIR,46.4755,per 100 people,2019.0
25,Environment,CO2 emissions (kt),C1_School closing,Kiribati,KIR,66.006,kt,2016.0
26,Governance,Human Development Index,C1_School closing,Kiribati,KIR,0.63,index,2019.0
