rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C1_School closing,Maldives,MDV,63.1857,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C1_School closing,Maldives,MDV,43.0,score,2020.0
3,Health,Prevalence of COVID-19,C1_School closing,Maldives,MDV,13444.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Demographics,Secure Internet servers ,C1_School closing,Maldives,MDV,725.1112622021158,per 1 million people,2019.0
6,Demographics,Fixed broadband subscriptions,C1_School closing,Maldives,MDV,9.94401,per 100 people,2019.0
7,Health,Mortality due to COVID-19,C1_School closing,Maldives,MDV,48.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Social issues ,Life Ladder ,C1_School closing,Maldives,MDV,5.1975998878479,score,2021.0
9,Health,Prevalence of anxiety disorders,C1_School closing,Maldives,MDV,0.038578,percent,2019.0
10,Health,Summary exposure value tobacco,C1_School closing,Maldives,MDV,29.62951,Rate (risk-weighted prevalence),2019.0
12,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C1_School closing,Maldives,MDV,6.6,percent,2018.0
13,Health,Prevalence of down syndrome,C1_School closing,Maldives,MDV,0.000146,percent,2019.0
14,Health,Prevalence of total cancers,C1_School closing,Maldives,MDV,0.003962,percent,2019.0
15,Environment,Renewable energy consumption ,C1_School closing,Maldives,MDV,1.00959469325713,percent of total final energy consumption,2015.0
16,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C1_School closing,Maldives,MDV,6.43400002,percent of total labor force,2020.0
18,Social issues ,Net migration,C1_School closing,Maldives,MDV,56851.0,net total / data are 5 year estimates,2019.0
20,Demographics,Urban population (% of total population),C1_School closing,Maldives,MDV,40.238,total,2019.0
21,Environment,CO2 emissions (metric tons per capita),C1_School closing,Maldives,MDV,3.038399,metric tons per capita,2016.0
22,Governance,Rule of law estimate ,C1_School closing,Maldives,MDV,-0.4110879,score,2019.0
23,Governance,Political stability and absence of violence/terrorism estimate,C1_School closing,Maldives,MDV,0.013525,score,2019.0
24,Health,Prevalence of Hypertensive heart disease,C1_School closing,Maldives,MDV,0.000875,percent,2019.0
25,Social issues ,Gini index (World Bank estimate),C1_School closing,Maldives,MDV,31.3,index ,2016.0
27,Governance,Aggregate score for the Political Rights category,C1_School closing,Maldives,MDV,19.0,score,2021.0
28,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C1_School closing,Maldives,MDV,14.2,percent,2020.0
30,Demographics,Fixed telephone subscriptions,C1_School closing,Maldives,MDV,16664.0,number,2019.0
31,Health,"Nurses and midwives (per 1,000 people)",C1_School closing,Maldives,MDV,6.4282,Ones,2018.0
32,Health,Prevalence of Respiratory infections and tuberculosis,C1_School closing,Maldives,MDV,0.279758,percent,2019.0
34,Demographics,Mobile cellular subscriptions,C1_School closing,Maldives,MDV,155.954,per 100 people,2019.0
35,Social issues ,Proportion of women in managerial positions (%),C1_School closing,Maldives,MDV,19.58,percent,2016.0
36,Health,Prevalence of Diabetes,C1_School closing,Maldives,MDV,0.038401,percent,2019.0
37,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C1_School closing,Maldives,MDV,41.6489983,Percentage of females of the total population,2020.0
38,Health,Prevalence of Depressive disorders,C1_School closing,Maldives,MDV,0.031537,percent,2019.0
39,Environment,"PM2.5 air pollution, mean annual exposure",C1_School closing,Maldives,MDV,7.795821,micrograms per cubic meter,2017.0
40,Environment,CO2 emissions (kt),C1_School closing,Maldives,MDV,1444.798,kt,2016.0
42,Economics,Employment in services (% of total employment) (modeled ILO estimate),C1_School closing,Maldives,MDV,73.427002,Percentage of total employment,2020.0
43,Social issues ,Proportion of seats held by women in national parliaments (%),C1_School closing,Maldives,MDV,4.597701149,proportion,2020.0
46,Economics,Volume of imports,C1_School closing,Maldives,MDV,0.198,percent change,2020.0
47,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C1_School closing,Maldives,MDV,4.6,percent,2020.0
48,Social issues ,Progression to secondary school (%),C1_School closing,Maldives,MDV,98.8576,proportion,2016.0
49,Health,"Incidence of tuberculosis (per 100,000 people)",C1_School closing,Maldives,MDV,36.0,Cases,2019.0
50,Health,"Immunization, measles (% of children ages 12-23 months)",C1_School closing,Maldives,MDV,99.0,percent,2019.0
51,Economics,Volume of exports,C1_School closing,Maldives,MDV,6.226,percent change,2020.0
52,Governance,Regulatory quality estimate,C1_School closing,Maldives,MDV,-0.4796147,score,2019.0
53,Health,Prevalence of obesity,C1_School closing,Maldives,MDV,8.6,percent,2016.0
54,Economics,Expenditure on health (% of GDP),C1_School closing,Maldives,MDV,3.44379,percent,2019.0
56,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C1_School closing,Maldives,MDV,70.5230026,Percentage of total population,2020.0
57,Governance,Aggregate score for the Civil Liberties category,C1_School closing,Maldives,MDV,21.0,score,2021.0
60,Governance,Government effectiveness estimate,C1_School closing,Maldives,MDV,-0.1942183,score,2019.0
61,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",C1_School closing,Maldives,MDV,97.7349472045898,proportion,2016.0
62,Social issues ,Press freedom score,C1_School closing,Maldives,MDV,29.93,score,2020.0
63,Governance,Serious assault (rate),C1_School closing,Maldives,MDV,71.31,rate,2017.0
64,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C1_School closing,Maldives,MDV,0.0,percent of total,2017.0
65,Governance,Voice and accountability estimate,C1_School closing,Maldives,MDV,-0.4419447,score,2019.0
66,Demographics,"Population, total",C1_School closing,Maldives,MDV,530953.0,total,2019.0
67,Environment,Access to electricity ,C1_School closing,Maldives,MDV,100.0,percent of population,2018.0
69,Social issues ,Women who believe a husband is justified in beating his wife (any of five reasons) (%),C1_School closing,Maldives,MDV,22.0,proportion,2017.0
71,Demographics,Rural population (% of total population),C1_School closing,Maldives,MDV,59.762,proportion,2019.0
72,Health,"Physicians (per 1,000 people)",C1_School closing,Maldives,MDV,4.5627,Ones,2018.0
73,Social issues ,Proportion of people living below 50 percent of median income (%),C1_School closing,Maldives,MDV,9.7,proportion,2016.0
74,Economics,"Foreign direct investment, net",C1_School closing,Maldives,MDV,538536560.0,US Dollar,2018.0
75,Governance,Fragile States Index Total ,C1_School closing,Maldives,MDV,66.2,score,2020.0
76,Health,Prevalence of chronic kidney disease,C1_School closing,Maldives,MDV,0.102554,percent,2019.0
78,Governance,Total freedom in the world score ,C1_School closing,Maldives,MDV,40.0,score,2021.0
80,Demographics,People using at least basic sanitation services (% of population),C1_School closing,Maldives,MDV,99.3729980716322,proportion,2017.0
83,Governance,Human Development Index,C1_School closing,Maldives,MDV,0.74,index,2019.0
85,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",C1_School closing,Maldives,MDV,3.0,rating,2019.0
86,Social issues ,Coverage of social safety net programs (% of population),C1_School closing,Maldives,MDV,24.3464162563929,proportion,2016.0
91,Demographics,People with basic handwashing facilities including soap and water (% of population),C1_School closing,Maldives,MDV,95.8028629366759,proportion,2017.0
92,Social issues ,"Primary completion rate, total (% of relevant age group)",C1_School closing,Maldives,MDV,91.6666717529297,proportion,2019.0
93,Demographics,Age dependency ratio (% of working-age population),C1_School closing,Maldives,MDV,30.80559729989407,proportion,2019.0
94,Economics,Expenditure on social protection (% of GDP),C1_School closing,Maldives,MDV,4.30536,percent,2019.0
96,Demographics,"Age dependency ratio, old (% of working-age population)",C1_School closing,Maldives,MDV,4.762632110566382,proportion,2019.0
97,Governance,Control of corruption estimate,C1_School closing,Maldives,MDV,-0.2625074,score,2019.0
98,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",C1_School closing,Maldives,MDV,27681.6,international $ in PPP,2020.0
102,Economics,Unemployment rate (%) - Annual,C1_School closing,Maldives,MDV,6.2,percent,2016.0
103,Economics,"Trade, total as % of GDP",C1_School closing,Maldives,MDV,63.55137,percent,2018.0
106,Economics,"International tourism, receipts",C1_School closing,Maldives,MDV,3157000000.0,US Dollar,2019.0
114,Health,"Immunization, DPT (% of children ages 12-23 months)",C1_School closing,Maldives,MDV,99.0,percent,2019.0
115,Economics,"Lending interest rates, percent per annum",C1_School closing,Maldives,MDV,11.52286,percent per annum,2019.0
116,Economics,Expenditure on education (% of GDP),C1_School closing,Maldives,MDV,3.6891,percent,2019.0
