rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C1_School closing,Singapore,SGP,88.9493,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,C1_School closing,Singapore,SGP,0.233578,percent,2019.0
3,Demographics,Fixed telephone subscriptions,C1_School closing,Singapore,SGP,1905800.0,number,2019.0
4,Health,Prevalence of COVID-19,C1_School closing,Singapore,SGP,58386.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Environment,CO2 emissions (metric tons per capita),C1_School closing,Singapore,SGP,6.694046,metric tons per capita,2016.0
6,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C1_School closing,Singapore,SGP,4.8,percent,2020.0
7,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C1_School closing,Singapore,SGP,2.2,percent,2018.0
8,Governance,Political stability and absence of violence/terrorism estimate,C1_School closing,Singapore,SGP,1.531602,score,2019.0
9,Health,"Incidence of tuberculosis (per 100,000 people)",C1_School closing,Singapore,SGP,41.0,Cases,2019.0
10,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C1_School closing,Singapore,SGP,4.38000011,percent of total labor force,2020.0
11,Health,Prevalence of total cancers,C1_School closing,Singapore,SGP,0.018786,percent,2019.0
12,Environment,Fossil fuel energy consumption,C1_School closing,Singapore,SGP,90.57887,percent of total,2014.0
14,Health,Prevalence of anxiety disorders,C1_School closing,Singapore,SGP,0.030509,percent,2019.0
15,Governance,Government effectiveness estimate,C1_School closing,Singapore,SGP,2.221086,score,2019.0
16,Environment,Electricity production from coal sources ,C1_School closing,Singapore,SGP,1.196072597441238,percent of total,2015.0
17,Demographics,Fixed broadband subscriptions,C1_School closing,Singapore,SGP,25.81,per 100 people,2019.0
18,Health,"Nurses and midwives (per 1,000 people)",C1_School closing,Singapore,SGP,6.2432,Ones,2017.0
19,Environment,"Electricity production from renewable sources, excluding hydroelectric",C1_School closing,Singapore,SGP,918000000.0,kWh,2015.0
20,Social issues ,Proportion of women in managerial positions (%),C1_School closing,Singapore,SGP,36.4,percent,2018.0
21,Social issues ,Net migration,C1_School closing,Singapore,SGP,135142.0,net total / data are 5 year estimates,2019.0
22,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C1_School closing,Singapore,SGP,2.8,percent,2020.0
23,Demographics,Mobile cellular subscriptions,C1_School closing,Singapore,SGP,156.378,per 100 people,2019.0
24,Health,"Physicians (per 1,000 people)",C1_School closing,Singapore,SGP,2.2936,Ones,2016.0
25,Environment,CO2 emissions (kt),C1_School closing,Singapore,SGP,37535.41,kt,2016.0
26,Governance,Human Development Index,C1_School closing,Singapore,SGP,0.938,index,2019.0
27,Health,Prevalence of down syndrome,C1_School closing,Singapore,SGP,0.000542,percent,2019.0
29,Governance,Corruption Perceptions Index,C1_School closing,Singapore,SGP,85.0,score,2020.0
30,Governance,Regulatory quality estimate,C1_School closing,Singapore,SGP,2.161377,score,2019.0
31,Governance,Fragile States Index Total ,C1_School closing,Singapore,SGP,26.3261946557654,score,2020.0
32,Health,Prevalence of Diabetes,C1_School closing,Singapore,SGP,0.086023,percent,2019.0
33,Economics,Employment in services (% of total employment) (modeled ILO estimate),C1_School closing,Singapore,SGP,84.0930023,Percentage of total employment,2020.0
34,Environment,Energy use (kg of oil equivalent per capita),C1_School closing,Singapore,SGP,5121.804317731571,kg of oil equivalent per capita,2014.0
35,Environment,"Energy imports, net ",C1_School closing,Singapore,SGP,97.68200129245712,percent of energy use,2014.0
36,Health,"Immunization, measles (% of children ages 12-23 months)",C1_School closing,Singapore,SGP,95.0,percent,2019.0
