rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C1_School closing,Tonga,TON,41.2487,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,C1_School closing,Tonga,TON,0.38148,percent,2019.0
3,Demographics,Fixed telephone subscriptions,C1_School closing,Tonga,TON,6637.0,number,2019.0
4,Health,Prevalence of COVID-19,C1_School closing,Tonga,TON,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Environment,CO2 emissions (metric tons per capita),C1_School closing,Tonga,TON,1.269071,metric tons per capita,2016.0
6,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C1_School closing,Tonga,TON,12.6,percent,2020.0
7,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C1_School closing,Tonga,TON,3.2,percent,2018.0
8,Governance,Political stability and absence of violence/terrorism estimate,C1_School closing,Tonga,TON,1.120511,score,2019.0
9,Health,"Incidence of tuberculosis (per 100,000 people)",C1_School closing,Tonga,TON,11.0,Cases,2019.0
10,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C1_School closing,Tonga,TON,1.15699995,percent of total labor force,2020.0
11,Health,Prevalence of total cancers,C1_School closing,Tonga,TON,0.006241,percent,2019.0
13,Social issues ,Gini index (World Bank estimate),C1_School closing,Tonga,TON,37.6,index ,2015.0
14,Health,Prevalence of anxiety disorders,C1_School closing,Tonga,TON,0.04113,percent,2019.0
15,Governance,Government effectiveness estimate,C1_School closing,Tonga,TON,0.1627243,score,2019.0
17,Demographics,Fixed broadband subscriptions,C1_School closing,Tonga,TON,3.54374,per 100 people,2019.0
18,Health,"Nurses and midwives (per 1,000 people)",C1_School closing,Tonga,TON,4.157,Ones,2018.0
21,Social issues ,Net migration,C1_School closing,Tonga,TON,-3999.0,net total / data are 5 year estimates,2019.0
22,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C1_School closing,Tonga,TON,2.6,percent,2020.0
23,Demographics,Mobile cellular subscriptions,C1_School closing,Tonga,TON,59.4331,per 100 people,2019.0
25,Environment,CO2 emissions (kt),C1_School closing,Tonga,TON,128.345,kt,2016.0
26,Governance,Human Development Index,C1_School closing,Tonga,TON,0.725,index,2019.0
27,Health,Prevalence of down syndrome,C1_School closing,Tonga,TON,0.000155,percent,2019.0
28,Social issues ,Proportion of people living below 50 percent of median income (%),C1_School closing,Tonga,TON,12.6,proportion,2015.0
30,Governance,Regulatory quality estimate,C1_School closing,Tonga,TON,-0.3266392,score,2019.0
32,Health,Prevalence of Diabetes,C1_School closing,Tonga,TON,0.090864,percent,2019.0
33,Economics,Employment in services (% of total employment) (modeled ILO estimate),C1_School closing,Tonga,TON,47.0690002,Percentage of total employment,2020.0
36,Health,"Immunization, measles (% of children ages 12-23 months)",C1_School closing,Tonga,TON,99.0,percent,2019.0
37,Social issues ,Proportion of seats held by women in national parliaments (%),C1_School closing,Tonga,TON,7.407407407,proportion,2020.0
40,Health,"Immunization, DPT (% of children ages 12-23 months)",C1_School closing,Tonga,TON,99.0,percent,2019.0
42,Health,Prevalence of obesity,C1_School closing,Tonga,TON,48.2,percent,2016.0
45,Governance,Rule of law estimate ,C1_School closing,Tonga,TON,0.4586692,score,2019.0
46,Governance,Voice and accountability estimate,C1_School closing,Tonga,TON,0.5559595,score,2019.0
47,Environment,"PM2.5 air pollution, mean annual exposure",C1_School closing,Tonga,TON,10.78548,micrograms per cubic meter,2017.0
48,Demographics,Secure Internet servers ,C1_School closing,Tonga,TON,229.6782590387965,per 1 million people,2019.0
50,Health,Summary exposure value tobacco,C1_School closing,Tonga,TON,29.27546,Rate (risk-weighted prevalence),2019.0
51,Economics,"Foreign direct investment, net",C1_School closing,Tonga,TON,1282630.0,US Dollar,2019.0
52,Governance,Aggregate score for the Civil Liberties category,C1_School closing,Tonga,TON,49.0,score,2021.0
56,Health,Mortality due to COVID-19,C1_School closing,Tonga,TON,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
57,Environment,Renewable energy consumption ,C1_School closing,Tonga,TON,1.87975158224647,percent of total final energy consumption,2015.0
58,Health,Prevalence of Hypertensive heart disease,C1_School closing,Tonga,TON,0.002017,percent,2019.0
59,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C1_School closing,Tonga,TON,59.7509995,Percentage of total population,2020.0
60,Environment,Access to electricity ,C1_School closing,Tonga,TON,98.8926010131836,percent of population,2018.0
61,Demographics,Age dependency ratio (% of working-age population),C1_School closing,Tonga,TON,69.53403854889999,proportion,2019.0
63,Demographics,Rural population (% of total population),C1_School closing,Tonga,TON,76.893,proportion,2019.0
65,Governance,Total freedom in the world score ,C1_School closing,Tonga,TON,79.0,score,2021.0
66,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",C1_School closing,Tonga,TON,99.4143676757813,proportion,2018.0
67,Health,Prevalence of Depressive disorders,C1_School closing,Tonga,TON,0.025356,percent,2019.0
71,Demographics,"Population, total",C1_School closing,Tonga,TON,104494.0,total,2019.0
72,Economics,"Central government debt, total",C1_School closing,Tonga,TON,49.41460549808657,percent of GDP,2016.0
73,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C1_School closing,Tonga,TON,45.7579994,Percentage of females of the total population,2020.0
74,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",C1_School closing,Tonga,TON,3.5,rating,2019.0
75,Demographics,Urban population (% of total population),C1_School closing,Tonga,TON,23.107,total,2019.0
77,Economics,"Trade, total as % of GDP",C1_School closing,Tonga,TON,56.54677,percent,2019.0
78,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",C1_School closing,Tonga,TON,15500.1,international $ in PPP,2020.0
79,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C1_School closing,Tonga,TON,99.8125919313455,percent of total,2017.0
80,Social issues ,Press freedom score,C1_School closing,Tonga,TON,27.27,score,2020.0
82,Health,Prevalence of chronic kidney disease,C1_School closing,Tonga,TON,0.097573,percent,2019.0
84,Demographics,"Age dependency ratio, old (% of working-age population)",C1_School closing,Tonga,TON,10.0736582516711,proportion,2019.0
86,Economics,Volume of exports,C1_School closing,Tonga,TON,-0.953,percent change,2017.0
90,Governance,Aggregate score for the Political Rights category,C1_School closing,Tonga,TON,30.0,score,2021.0
91,Governance,Control of corruption estimate,C1_School closing,Tonga,TON,-0.3456802,score,2019.0
92,Economics,Volume of imports,C1_School closing,Tonga,TON,-1.127,percent change,2017.0
93,Demographics,People using at least basic sanitation services (% of population),C1_School closing,Tonga,TON,93.4452709131028,proportion,2017.0
98,Economics,Unemployment rate (%) - Annual,C1_School closing,Tonga,TON,3.2,percent,2018.0
104,Economics,"Lending interest rates, percent per annum",C1_School closing,Tonga,TON,8.06578,percent per annum,2019.0
116,Economics,"International tourism, receipts",C1_School closing,Tonga,TON,57000000.0,US Dollar,2019.0
