rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C1_School closing,Uganda,UGA,23.7065,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,C1_School closing,Uganda,UGA,0.395223,percent,2019.0
3,Demographics,Fixed telephone subscriptions,C1_School closing,Uganda,UGA,186902.0,number,2019.0
4,Health,Prevalence of COVID-19,C1_School closing,Uganda,UGA,30071.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Environment,CO2 emissions (metric tons per capita),C1_School closing,Uganda,UGA,0.143267,metric tons per capita,2016.0
6,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C1_School closing,Uganda,UGA,4.0,percent,2020.0
7,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C1_School closing,Uganda,UGA,1.0,percent,2018.0
8,Governance,Political stability and absence of violence/terrorism estimate,C1_School closing,Uganda,UGA,-0.6457884,score,2019.0
9,Health,"Incidence of tuberculosis (per 100,000 people)",C1_School closing,Uganda,UGA,200.0,Cases,2019.0
10,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C1_School closing,Uganda,UGA,1.91900003,percent of total labor force,2020.0
11,Health,Prevalence of total cancers,C1_School closing,Uganda,UGA,0.00265,percent,2019.0
13,Social issues ,Gini index (World Bank estimate),C1_School closing,Uganda,UGA,42.8,index ,2016.0
14,Health,Prevalence of anxiety disorders,C1_School closing,Uganda,UGA,0.035064,percent,2019.0
15,Governance,Government effectiveness estimate,C1_School closing,Uganda,UGA,-0.5852001,score,2019.0
17,Demographics,Fixed broadband subscriptions,C1_School closing,Uganda,UGA,0.0275667,per 100 people,2019.0
18,Health,"Nurses and midwives (per 1,000 people)",C1_School closing,Uganda,UGA,1.2382,Ones,2018.0
20,Social issues ,Proportion of women in managerial positions (%),C1_School closing,Uganda,UGA,31.76,percent,2017.0
21,Social issues ,Net migration,C1_School closing,Uganda,UGA,843469.0,net total / data are 5 year estimates,2019.0
22,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C1_School closing,Uganda,UGA,27.9,percent,2020.0
23,Demographics,Mobile cellular subscriptions,C1_School closing,Uganda,UGA,57.2726,per 100 people,2019.0
24,Health,"Physicians (per 1,000 people)",C1_School closing,Uganda,UGA,0.168,Ones,2017.0
25,Environment,CO2 emissions (kt),C1_School closing,Uganda,UGA,5680.183,kt,2016.0
26,Governance,Human Development Index,C1_School closing,Uganda,UGA,0.544,index,2019.0
