rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C1_School closing,United States,USA,87.2661,percent of population,2019.0
2,Health,Prevalence of Respiratory infections and tuberculosis,C1_School closing,United States,USA,0.16579,percent,2019.0
3,Demographics,Fixed telephone subscriptions,C1_School closing,United States,USA,107281000.0,number,2019.0
4,Health,Prevalence of COVID-19,C1_School closing,United States,USA,16912564.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Environment,CO2 emissions (metric tons per capita),C1_School closing,United States,USA,15.5022,metric tons per capita,2016.0
6,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C1_School closing,United States,USA,8.8,percent,2020.0
7,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C1_School closing,United States,USA,8.5,percent,2018.0
8,Governance,Political stability and absence of violence/terrorism estimate,C1_School closing,United States,USA,0.2979858,score,2019.0
9,Health,"Incidence of tuberculosis (per 100,000 people)",C1_School closing,United States,USA,3.0,Cases,2019.0
10,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C1_School closing,United States,USA,3.86199999,percent of total labor force,2020.0
11,Health,Prevalence of total cancers,C1_School closing,United States,USA,0.044204,percent,2019.0
12,Environment,Fossil fuel energy consumption,C1_School closing,United States,USA,82.42783,percent of total,2015.0
13,Social issues ,Gini index (World Bank estimate),C1_School closing,United States,USA,41.1,index ,2016.0
14,Health,Prevalence of anxiety disorders,C1_School closing,United States,USA,0.065074,percent,2019.0
15,Governance,Government effectiveness estimate,C1_School closing,United States,USA,1.489182,score,2019.0
16,Environment,Electricity production from coal sources ,C1_School closing,United States,USA,34.23273372789878,percent of total,2015.0
17,Demographics,Fixed broadband subscriptions,C1_School closing,United States,USA,34.6719,per 100 people,2019.0
18,Health,"Nurses and midwives (per 1,000 people)",C1_School closing,United States,USA,14.548,Ones,2017.0
19,Environment,"Electricity production from renewable sources, excluding hydroelectric",C1_School closing,United States,USA,317421000000.0,kWh,2015.0
20,Social issues ,Proportion of women in managerial positions (%),C1_School closing,United States,USA,40.74,percent,2018.0
21,Social issues ,Net migration,C1_School closing,United States,USA,4774029.0,net total / data are 5 year estimates,2019.0
22,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C1_School closing,United States,USA,3.2,percent,2020.0
23,Demographics,Mobile cellular subscriptions,C1_School closing,United States,USA,123.688,per 100 people,2019.0
24,Health,"Physicians (per 1,000 people)",C1_School closing,United States,USA,2.612,Ones,2017.0
25,Environment,CO2 emissions (kt),C1_School closing,United States,USA,5006302.0,kt,2016.0
26,Governance,Human Development Index,C1_School closing,United States,USA,0.926,index,2019.0
27,Health,Prevalence of down syndrome,C1_School closing,United States,USA,0.000326,percent,2019.0
29,Governance,Corruption Perceptions Index,C1_School closing,United States,USA,67.0,score,2020.0
30,Governance,Regulatory quality estimate,C1_School closing,United States,USA,1.345358,score,2019.0
31,Governance,Fragile States Index Total ,C1_School closing,United States,USA,38.27275827818653,score,2020.0
32,Health,Prevalence of Diabetes,C1_School closing,United States,USA,0.124927,percent,2019.0
33,Economics,Employment in services (% of total employment) (modeled ILO estimate),C1_School closing,United States,USA,78.9830017,Percentage of total employment,2020.0
34,Environment,Energy use (kg of oil equivalent per capita),C1_School closing,United States,USA,6806.199939462035,kg of oil equivalent per capita,2015.0
35,Environment,"Energy imports, net ",C1_School closing,United States,USA,7.308743454822769,percent of energy use,2015.0
36,Health,"Immunization, measles (% of children ages 12-23 months)",C1_School closing,United States,USA,90.0,percent,2019.0
37,Social issues ,Proportion of seats held by women in national parliaments (%),C1_School closing,United States,USA,23.43387471,proportion,2020.0
38,Environment,Combustible renewables and waste,C1_School closing,United States,USA,3.621035,percent of total energy,2015.0
39,Governance,Human Freedom Score ,C1_School closing,United States,USA,8.44,score,2018.0
40,Health,"Immunization, DPT (% of children ages 12-23 months)",C1_School closing,United States,USA,94.0,percent,2019.0
42,Health,Prevalence of obesity,C1_School closing,United States,USA,36.2,percent,2016.0
44,Health,"Prevalence of HIV, total (% of population ages 15-49)",C1_School closing,United States,USA,0.4,percent,2018.0
45,Governance,Rule of law estimate ,C1_School closing,United States,USA,1.461094,score,2019.0
46,Governance,Voice and accountability estimate,C1_School closing,United States,USA,0.965248,score,2019.0
47,Environment,"PM2.5 air pollution, mean annual exposure",C1_School closing,United States,USA,7.409442,micrograms per cubic meter,2017.0
48,Demographics,Secure Internet servers ,C1_School closing,United States,USA,124014.1760747075,per 1 million people,2019.0
49,Governance,Economic Freedom Score,C1_School closing,United States,USA,8.22,score,2018.0
50,Health,Summary exposure value tobacco,C1_School closing,United States,USA,22.49515,Rate (risk-weighted prevalence),2019.0
52,Governance,Aggregate score for the Civil Liberties category,C1_School closing,United States,USA,51.0,score,2021.0
53,Social issues ,"Intentional homicides (per 100,000 people)",C1_School closing,United States,USA,4.9569505476,"proportion, pero 100,000 people",2018.0
54,Environment,Electric power consumption ,C1_School closing,United States,USA,12997.44862887773,kWh per capita,2014.0
56,Health,Mortality due to COVID-19,C1_School closing,United States,USA,308403.0,"Number (cumulative total by Dec 26,2020)",2020.0
57,Environment,Renewable energy consumption ,C1_School closing,United States,USA,8.71693586705814,percent of total final energy consumption,2015.0
58,Health,Prevalence of Hypertensive heart disease,C1_School closing,United States,USA,0.004784,percent,2019.0
59,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C1_School closing,United States,USA,61.7840004,Percentage of total population,2020.0
60,Environment,Access to electricity ,C1_School closing,United States,USA,100.0,percent of population,2018.0
62,Environment,"Adjusted net savings, including particulate emission damage",C1_School closing,United States,USA,5.63814795765558,percent of GNI,2018.0
64,Governance,Personal Freedom Score ,C1_School closing,United States,USA,8.66,score,2018.0
65,Governance,Total freedom in the world score ,C1_School closing,United States,USA,83.0,score,2021.0
