rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,Bahrain,BHR,99.7015,percent of population,2019.0
2,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C2_Workplace closing,Bahrain,BHR,0.76300001,percent of total labor force,2020.0
3,Health,Prevalence of COVID-19,C2_Workplace closing,Bahrain,BHR,89883.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C2_Workplace closing,Bahrain,BHR,2.4,percent,2018.0
5,Governance,Voice and accountability estimate,C2_Workplace closing,Bahrain,BHR,-1.412584,score,2019.0
6,Economics,Employment in services (% of total employment) (modeled ILO estimate),C2_Workplace closing,Bahrain,BHR,63.9529991,Percentage of total employment,2020.0
7,Environment,Energy use ,C2_Workplace closing,Bahrain,BHR,219.8404940328386,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
8,Demographics,Mobile cellular subscriptions,C2_Workplace closing,Bahrain,BHR,115.793,per 100 people,2019.0
10,Environment,CO2 emissions (metric tons per capita),C2_Workplace closing,Bahrain,BHR,22.22898,metric tons per capita,2016.0
11,Health,Prevalence of Depressive disorders,C2_Workplace closing,Bahrain,BHR,0.0552,percent,2019.0
12,Health,"Immunization, measles (% of children ages 12-23 months)",C2_Workplace closing,Bahrain,BHR,99.0,percent,2019.0
14,Demographics,Fixed broadband subscriptions,C2_Workplace closing,Bahrain,BHR,12.493,per 100 people,2019.0
15,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C2_Workplace closing,Bahrain,BHR,5.1,percent,2020.0
16,Environment,CO2 emissions (kt),C2_Workplace closing,Bahrain,BHR,31693.88,kt,2016.0
17,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,Bahrain,BHR,10.0,score,2021.0
18,Social issues ,Net migration,C2_Workplace closing,Bahrain,BHR,239000.0,net total / data are 5 year estimates,2019.0
19,Environment,Renewable energy consumption ,C2_Workplace closing,Bahrain,BHR,0.0,percent of total final energy consumption,2015.0
20,Governance,Fragile States Index Total ,C2_Workplace closing,Bahrain,BHR,63.88791153504606,score,2020.0
21,Health,Prevalence of chronic kidney disease,C2_Workplace closing,Bahrain,BHR,0.093145,percent,2019.0
22,Environment,"PM2.5 air pollution, mean annual exposure",C2_Workplace closing,Bahrain,BHR,70.81621,micrograms per cubic meter,2017.0
23,Health,"Physicians (per 1,000 people)",C2_Workplace closing,Bahrain,BHR,0.9257,Ones,2015.0
24,Environment,Electricity production from oil sources,C2_Workplace closing,Bahrain,BHR,0.0315966858587277,percent of total,2015.0
25,Governance,Economic Freedom Score,C2_Workplace closing,Bahrain,BHR,7.16,score,2018.0
26,Governance,Total freedom in the world score ,C2_Workplace closing,Bahrain,BHR,12.0,score,2021.0
27,Health,Prevalence of Diabetes,C2_Workplace closing,Bahrain,BHR,0.138049,percent,2019.0
28,Health,"Immunization, DPT (% of children ages 12-23 months)",C2_Workplace closing,Bahrain,BHR,99.0,percent,2019.0
29,Health,Prevalence of anxiety disorders,C2_Workplace closing,Bahrain,BHR,0.053985,percent,2019.0
30,Governance,Human Freedom Score ,C2_Workplace closing,Bahrain,BHR,6.18,score,2018.0
31,Health,Prevalence of Respiratory infections and tuberculosis,C2_Workplace closing,Bahrain,BHR,0.183494,percent,2019.0
32,Governance,Corruption Perceptions Index,C2_Workplace closing,Bahrain,BHR,42.0,score,2020.0
