rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,Switzerland,CHE,93.1461,percent of population,2019.0
2,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C2_Workplace closing,Switzerland,CHE,4.84899998,percent of total labor force,2020.0
3,Health,Prevalence of COVID-19,C2_Workplace closing,Switzerland,CHE,402264.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C2_Workplace closing,Switzerland,CHE,3.7,percent,2018.0
5,Governance,Voice and accountability estimate,C2_Workplace closing,Switzerland,CHE,1.527955,score,2019.0
6,Economics,Employment in services (% of total employment) (modeled ILO estimate),C2_Workplace closing,Switzerland,CHE,77.1600037,Percentage of total employment,2020.0
7,Environment,Energy use ,C2_Workplace closing,Switzerland,CHE,44.73993210704257,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
8,Demographics,Mobile cellular subscriptions,C2_Workplace closing,Switzerland,CHE,127.189,per 100 people,2019.0
9,Social issues ,Proportion of women in managerial positions (%),C2_Workplace closing,Switzerland,CHE,34.48,percent,2018.0
10,Environment,CO2 emissions (metric tons per capita),C2_Workplace closing,Switzerland,CHE,4.11749,metric tons per capita,2016.0
11,Health,Prevalence of Depressive disorders,C2_Workplace closing,Switzerland,CHE,0.047157,percent,2019.0
12,Health,"Immunization, measles (% of children ages 12-23 months)",C2_Workplace closing,Switzerland,CHE,95.0,percent,2019.0
13,Social issues ,Gini index (World Bank estimate),C2_Workplace closing,Switzerland,CHE,32.7,index ,2017.0
14,Demographics,Fixed broadband subscriptions,C2_Workplace closing,Switzerland,CHE,45.2082,per 100 people,2019.0
16,Environment,CO2 emissions (kt),C2_Workplace closing,Switzerland,CHE,34477.13,kt,2016.0
17,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,Switzerland,CHE,57.0,score,2021.0
18,Social issues ,Net migration,C2_Workplace closing,Switzerland,CHE,259999.0,net total / data are 5 year estimates,2019.0
19,Environment,Renewable energy consumption ,C2_Workplace closing,Switzerland,CHE,25.2919836825127,percent of total final energy consumption,2015.0
20,Governance,Fragile States Index Total ,C2_Workplace closing,Switzerland,CHE,17.094085702623488,score,2020.0
21,Health,Prevalence of chronic kidney disease,C2_Workplace closing,Switzerland,CHE,0.114368,percent,2019.0
22,Environment,"PM2.5 air pollution, mean annual exposure",C2_Workplace closing,Switzerland,CHE,10.3031,micrograms per cubic meter,2017.0
23,Health,"Physicians (per 1,000 people)",C2_Workplace closing,Switzerland,CHE,4.2957,Ones,2017.0
24,Environment,Electricity production from oil sources,C2_Workplace closing,Switzerland,CHE,0.0680817586274717,percent of total,2015.0
25,Governance,Economic Freedom Score,C2_Workplace closing,Switzerland,CHE,8.43,score,2018.0
26,Governance,Total freedom in the world score ,C2_Workplace closing,Switzerland,CHE,96.0,score,2021.0
27,Health,Prevalence of Diabetes,C2_Workplace closing,Switzerland,CHE,0.086262,percent,2019.0
28,Health,"Immunization, DPT (% of children ages 12-23 months)",C2_Workplace closing,Switzerland,CHE,96.0,percent,2019.0
29,Health,Prevalence of anxiety disorders,C2_Workplace closing,Switzerland,CHE,0.075598,percent,2019.0
30,Governance,Human Freedom Score ,C2_Workplace closing,Switzerland,CHE,8.82,score,2018.0
31,Health,Prevalence of Respiratory infections and tuberculosis,C2_Workplace closing,Switzerland,CHE,0.116253,percent,2019.0
32,Governance,Corruption Perceptions Index,C2_Workplace closing,Switzerland,CHE,85.0,score,2020.0
33,Health,"Nurses and midwives (per 1,000 people)",C2_Workplace closing,Switzerland,CHE,17.5357,Ones,2017.0
34,Economics,Volume of imports,C2_Workplace closing,Switzerland,CHE,4.386,percent change,2020.0
35,Health,Prevalence of down syndrome,C2_Workplace closing,Switzerland,CHE,0.000533,percent,2019.0
37,Environment,"Adjusted net savings, including particulate emission damage",C2_Workplace closing,Switzerland,CHE,16.9307076712283,percent of GNI,2018.0
38,Health,"Incidence of tuberculosis (per 100,000 people)",C2_Workplace closing,Switzerland,CHE,5.4,Cases,2019.0
39,Health,Prevalence of total cancers,C2_Workplace closing,Switzerland,CHE,0.035822,percent,2019.0
40,Governance,Government effectiveness estimate,C2_Workplace closing,Switzerland,CHE,1.95212,score,2019.0
41,Health,Summary exposure value tobacco,C2_Workplace closing,Switzerland,CHE,23.59876,Rate (risk-weighted prevalence),2019.0
43,Governance,Human Development Index,C2_Workplace closing,Switzerland,CHE,0.955,index,2019.0
44,Governance,Political stability and absence of violence/terrorism estimate,C2_Workplace closing,Switzerland,CHE,1.336993,score,2019.0
45,Social issues ,Life Ladder ,C2_Workplace closing,Switzerland,CHE,7.571499824523926,score,2021.0
46,Environment,Combustible renewables and waste,C2_Workplace closing,Switzerland,CHE,3.871722,percent of total energy,2015.0
47,Environment,Fossil fuel energy consumption,C2_Workplace closing,Switzerland,CHE,50.16823,percent of total,2015.0
48,Governance,Regulatory quality estimate,C2_Workplace closing,Switzerland,CHE,1.664479,score,2019.0
49,Environment,Electricity production from nuclear sources ,C2_Workplace closing,Switzerland,CHE,34.931993887771,percent of total,2015.0
50,Environment,Electric power consumption ,C2_Workplace closing,Switzerland,CHE,7520.166024945019,kWh per capita,2014.0
