rank,Category,Indicator,Policy,Country,ISO,value,unit,year
3,Health,Prevalence of COVID-19,C2_Workplace closing,Cook Islands,COK,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C2_Workplace closing,Cook Islands,COK,2.4,percent,2018.0
19,Health,Prevalence of total cancers,C2_Workplace closing,Cook Islands,COK,0.014771,percent,2019.0
21,Health,Summary exposure value tobacco,C2_Workplace closing,Cook Islands,COK,24.80129,Rate (risk-weighted prevalence),2019.0
28,Health,Prevalence of anxiety disorders,C2_Workplace closing,Cook Islands,COK,0.044727,percent,2019.0
29,Health,Prevalence of Diabetes,C2_Workplace closing,Cook Islands,COK,0.170428,percent,2019.0
32,Health,Prevalence of Depressive disorders,C2_Workplace closing,Cook Islands,COK,0.036331,percent,2019.0
36,Health,Mortality due to COVID-19,C2_Workplace closing,Cook Islands,COK,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
37,Health,Prevalence of chronic kidney disease,C2_Workplace closing,Cook Islands,COK,0.146013,percent,2019.0
46,Health,Prevalence of obesity,C2_Workplace closing,Cook Islands,COK,55.9,percent,2016.0
68,Health,Prevalence of Respiratory infections and tuberculosis,C2_Workplace closing,Cook Islands,COK,0.308144,percent,2019.0
77,Health,Prevalence of down syndrome,C2_Workplace closing,Cook Islands,COK,0.000101,percent,2019.0
79,Economics,Expenditure on education (% of GDP),C2_Workplace closing,Cook Islands,COK,2.05039,percent,2019.0
80,Economics,"Trade, total as % of GDP",C2_Workplace closing,Cook Islands,COK,40.12978,percent,2019.0
82,Health,Prevalence of Hypertensive heart disease,C2_Workplace closing,Cook Islands,COK,0.009899,percent,2019.0
103,Economics,"International tourism, receipts",C2_Workplace closing,Cook Islands,COK,153000000.0,US Dollar,2017.0
115,Economics,Expenditure on social protection (% of GDP),C2_Workplace closing,Cook Islands,COK,3.79368,percent,2019.0
116,Economics,Expenditure on health (% of GDP),C2_Workplace closing,Cook Islands,COK,0.70939,percent,2019.0
