rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,Fiji,FJI,49.9664,percent of population,2019.0
2,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C2_Workplace closing,Fiji,FJI,4.07999992,percent of total labor force,2020.0
3,Health,Prevalence of COVID-19,C2_Workplace closing,Fiji,FJI,46.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C2_Workplace closing,Fiji,FJI,2.3,percent,2018.0
5,Governance,Voice and accountability estimate,C2_Workplace closing,Fiji,FJI,0.0941574,score,2019.0
6,Economics,Employment in services (% of total employment) (modeled ILO estimate),C2_Workplace closing,Fiji,FJI,50.9690018,Percentage of total employment,2020.0
8,Demographics,Mobile cellular subscriptions,C2_Workplace closing,Fiji,FJI,117.831,per 100 people,2019.0
9,Social issues ,Proportion of women in managerial positions (%),C2_Workplace closing,Fiji,FJI,38.89,percent,2016.0
10,Environment,CO2 emissions (metric tons per capita),C2_Workplace closing,Fiji,FJI,2.34547,metric tons per capita,2016.0
11,Health,Prevalence of Depressive disorders,C2_Workplace closing,Fiji,FJI,0.030106,percent,2019.0
12,Health,"Immunization, measles (% of children ages 12-23 months)",C2_Workplace closing,Fiji,FJI,96.0,percent,2019.0
14,Demographics,Fixed broadband subscriptions,C2_Workplace closing,Fiji,FJI,1.47518,per 100 people,2019.0
15,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C2_Workplace closing,Fiji,FJI,7.5,percent,2020.0
16,Environment,CO2 emissions (kt),C2_Workplace closing,Fiji,FJI,2046.186,kt,2016.0
17,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,Fiji,FJI,36.0,score,2021.0
18,Social issues ,Net migration,C2_Workplace closing,Fiji,FJI,-31008.0,net total / data are 5 year estimates,2019.0
19,Environment,Renewable energy consumption ,C2_Workplace closing,Fiji,FJI,31.2639470878642,percent of total final energy consumption,2015.0
20,Governance,Fragile States Index Total ,C2_Workplace closing,Fiji,FJI,69.85212211648623,score,2020.0
21,Health,Prevalence of chronic kidney disease,C2_Workplace closing,Fiji,FJI,0.107276,percent,2019.0
22,Environment,"PM2.5 air pollution, mean annual exposure",C2_Workplace closing,Fiji,FJI,10.84016,micrograms per cubic meter,2017.0
23,Health,"Physicians (per 1,000 people)",C2_Workplace closing,Fiji,FJI,0.86,Ones,2015.0
25,Governance,Economic Freedom Score,C2_Workplace closing,Fiji,FJI,6.5,score,2018.0
26,Governance,Total freedom in the world score ,C2_Workplace closing,Fiji,FJI,60.0,score,2021.0
27,Health,Prevalence of Diabetes,C2_Workplace closing,Fiji,FJI,0.153357,percent,2019.0
28,Health,"Immunization, DPT (% of children ages 12-23 months)",C2_Workplace closing,Fiji,FJI,99.0,percent,2019.0
29,Health,Prevalence of anxiety disorders,C2_Workplace closing,Fiji,FJI,0.041858,percent,2019.0
30,Governance,Human Freedom Score ,C2_Workplace closing,Fiji,FJI,6.98,score,2018.0
31,Health,Prevalence of Respiratory infections and tuberculosis,C2_Workplace closing,Fiji,FJI,0.411613,percent,2019.0
33,Health,"Nurses and midwives (per 1,000 people)",C2_Workplace closing,Fiji,FJI,3.3752,Ones,2018.0
35,Health,Prevalence of down syndrome,C2_Workplace closing,Fiji,FJI,0.00017,percent,2019.0
38,Health,"Incidence of tuberculosis (per 100,000 people)",C2_Workplace closing,Fiji,FJI,66.0,Cases,2019.0
39,Health,Prevalence of total cancers,C2_Workplace closing,Fiji,FJI,0.005991,percent,2019.0
40,Governance,Government effectiveness estimate,C2_Workplace closing,Fiji,FJI,0.2040977,score,2019.0
41,Health,Summary exposure value tobacco,C2_Workplace closing,Fiji,FJI,20.00641,Rate (risk-weighted prevalence),2019.0
42,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C2_Workplace closing,Fiji,FJI,5.2,percent,2020.0
43,Governance,Human Development Index,C2_Workplace closing,Fiji,FJI,0.743,index,2019.0
44,Governance,Political stability and absence of violence/terrorism estimate,C2_Workplace closing,Fiji,FJI,0.8723141,score,2019.0
48,Governance,Regulatory quality estimate,C2_Workplace closing,Fiji,FJI,-0.2174181,score,2019.0
51,Social issues ,Press freedom score,C2_Workplace closing,Fiji,FJI,27.41,score,2020.0
52,Health,Prevalence of obesity,C2_Workplace closing,Fiji,FJI,30.2,percent,2016.0
56,Demographics,People using at least basic sanitation services (% of population),C2_Workplace closing,Fiji,FJI,95.0721750698175,proportion,2017.0
57,Governance,Control of corruption estimate,C2_Workplace closing,Fiji,FJI,0.5585566,score,2019.0
58,Demographics,Secure Internet servers ,C2_Workplace closing,Fiji,FJI,210.1234559577865,per 1 million people,2019.0
59,Governance,Rule of law estimate ,C2_Workplace closing,Fiji,FJI,-0.0257588,score,2019.0
60,Economics,"Foreign direct investment, net",C2_Workplace closing,Fiji,FJI,322557660.0,US Dollar,2019.0
61,Governance,Personal Freedom Score ,C2_Workplace closing,Fiji,FJI,7.46,score,2018.0
62,Health,Prevalence of Hypertensive heart disease,C2_Workplace closing,Fiji,FJI,0.002623,percent,2019.0
66,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Fiji,FJI,57.5779991,Percentage of total population,2020.0
67,Social issues ,Proportion of seats held by women in national parliaments (%),C2_Workplace closing,Fiji,FJI,19.60784314,proportion,2020.0
69,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C2_Workplace closing,Fiji,FJI,82.8031823467088,percent of total,2017.0
70,Demographics,Rural population (% of total population),C2_Workplace closing,Fiji,FJI,43.25,proportion,2019.0
73,Social issues ,"Intentional homicides (per 100,000 people)",C2_Workplace closing,Fiji,FJI,2.3082773672,"proportion, pero 100,000 people",2014.0
77,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Fiji,FJI,38.6010017,Percentage of females of the total population,2020.0
79,Demographics,Refugee population by country or territory of asylum,C2_Workplace closing,Fiji,FJI,12.0,proportion,2019.0
80,Governance,Aggregate score for the Political Rights category,C2_Workplace closing,Fiji,FJI,24.0,score,2021.0
81,Demographics,Urban population (% of total population),C2_Workplace closing,Fiji,FJI,56.75,total,2019.0
82,Demographics,Fixed telephone subscriptions,C2_Workplace closing,Fiji,FJI,76522.0,number,2019.0
83,Health,Mortality due to COVID-19,C2_Workplace closing,Fiji,FJI,2.0,"Number (cumulative total by Dec 26,2020)",2020.0
85,Demographics,Age dependency ratio (% of working-age population),C2_Workplace closing,Fiji,FJI,53.65210635359116,proportion,2019.0
86,Health,"Prevalence of HIV, total (% of population ages 15-49)",C2_Workplace closing,Fiji,FJI,0.2,percent,2019.0
88,Demographics,"Age dependency ratio, old (% of working-age population)",C2_Workplace closing,Fiji,FJI,8.641747237569062,proportion,2019.0
89,Economics,"Lending interest rates, percent per annum",C2_Workplace closing,Fiji,FJI,5.66478,percent per annum,2018.0
90,Environment,Access to electricity ,C2_Workplace closing,Fiji,FJI,99.5933609008789,percent of population,2018.0
91,Social issues ,Progression to secondary school (%),C2_Workplace closing,Fiji,FJI,98.01615,proportion,2015.0
92,Social issues ,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",C2_Workplace closing,Fiji,FJI,5.16891002655029,proportion,2017.0
94,Demographics,"Population, total",C2_Workplace closing,Fiji,FJI,889953.0,total,2019.0
95,Economics,"International tourism, receipts",C2_Workplace closing,Fiji,FJI,963000000.0,US Dollar,2019.0
100,Economics,Unemployment rate (%) - Annual,C2_Workplace closing,Fiji,FJI,4.5,percent,2016.0
102,Economics,"Trade, total as % of GDP",C2_Workplace closing,Fiji,FJI,67.62763,percent,2018.0
105,Social issues ,"Primary completion rate, total (% of relevant age group)",C2_Workplace closing,Fiji,FJI,107.018417358398,proportion,2016.0
107,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",C2_Workplace closing,Fiji,FJI,26016.2,international $ in PPP,2020.0
110,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",C2_Workplace closing,Fiji,FJI,99.0821075439453,proportion,2017.0
