rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,France,FRA,83.3397,percent of population,2019.0
2,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C2_Workplace closing,France,FRA,8.3380003,percent of total labor force,2020.0
3,Health,Prevalence of COVID-19,C2_Workplace closing,France,FRA,2401113.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C2_Workplace closing,France,FRA,8.3,percent,2018.0
5,Governance,Voice and accountability estimate,C2_Workplace closing,France,FRA,1.141659,score,2019.0
6,Economics,Employment in services (% of total employment) (modeled ILO estimate),C2_Workplace closing,France,FRA,77.7279968,Percentage of total employment,2020.0
7,Environment,Energy use ,C2_Workplace closing,France,FRA,84.76991219994481,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
8,Demographics,Mobile cellular subscriptions,C2_Workplace closing,France,FRA,110.615,per 100 people,2019.0
9,Social issues ,Proportion of women in managerial positions (%),C2_Workplace closing,France,FRA,34.47,percent,2018.0
10,Environment,CO2 emissions (metric tons per capita),C2_Workplace closing,France,FRA,4.57346,metric tons per capita,2014.0
11,Health,Prevalence of Depressive disorders,C2_Workplace closing,France,FRA,0.047434,percent,2019.0
12,Health,"Immunization, measles (% of children ages 12-23 months)",C2_Workplace closing,France,FRA,90.0,percent,2019.0
13,Social issues ,Gini index (World Bank estimate),C2_Workplace closing,France,FRA,31.6,index ,2017.0
14,Demographics,Fixed broadband subscriptions,C2_Workplace closing,France,FRA,45.6934,per 100 people,2019.0
16,Environment,CO2 emissions (kt),C2_Workplace closing,France,FRA,303275.6,kt,2014.0
17,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,France,FRA,52.0,score,2021.0
18,Social issues ,Net migration,C2_Workplace closing,France,FRA,182636.0,net total / data are 5 year estimates,2019.0
19,Environment,Renewable energy consumption ,C2_Workplace closing,France,FRA,13.4992623166677,percent of total final energy consumption,2015.0
20,Governance,Fragile States Index Total ,C2_Workplace closing,France,FRA,30.481111070323838,score,2020.0
21,Health,Prevalence of chronic kidney disease,C2_Workplace closing,France,FRA,0.104907,percent,2019.0
22,Environment,"PM2.5 air pollution, mean annual exposure",C2_Workplace closing,France,FRA,11.81496,micrograms per cubic meter,2017.0
23,Health,"Physicians (per 1,000 people)",C2_Workplace closing,France,FRA,3.2672,Ones,2018.0
24,Environment,Electricity production from oil sources,C2_Workplace closing,France,FRA,0.3826127696124537,percent of total,2015.0
25,Governance,Economic Freedom Score,C2_Workplace closing,France,FRA,7.4,score,2018.0
26,Governance,Total freedom in the world score ,C2_Workplace closing,France,FRA,90.0,score,2021.0
27,Health,Prevalence of Diabetes,C2_Workplace closing,France,FRA,0.053335,percent,2019.0
28,Health,"Immunization, DPT (% of children ages 12-23 months)",C2_Workplace closing,France,FRA,96.0,percent,2019.0
29,Health,Prevalence of anxiety disorders,C2_Workplace closing,France,FRA,0.069994,percent,2019.0
30,Governance,Human Freedom Score ,C2_Workplace closing,France,FRA,8.05,score,2018.0
31,Health,Prevalence of Respiratory infections and tuberculosis,C2_Workplace closing,France,FRA,0.118459,percent,2019.0
32,Governance,Corruption Perceptions Index,C2_Workplace closing,France,FRA,69.0,score,2020.0
33,Health,"Nurses and midwives (per 1,000 people)",C2_Workplace closing,France,FRA,11.4707,Ones,2018.0
34,Economics,Volume of imports,C2_Workplace closing,France,FRA,2.66,percent change,2020.0
35,Health,Prevalence of down syndrome,C2_Workplace closing,France,FRA,0.000543,percent,2019.0
37,Environment,"Adjusted net savings, including particulate emission damage",C2_Workplace closing,France,FRA,8.93840192931033,percent of GNI,2018.0
38,Health,"Incidence of tuberculosis (per 100,000 people)",C2_Workplace closing,France,FRA,8.7,Cases,2019.0
39,Health,Prevalence of total cancers,C2_Workplace closing,France,FRA,0.036774,percent,2019.0
40,Governance,Government effectiveness estimate,C2_Workplace closing,France,FRA,1.384611,score,2019.0
41,Health,Summary exposure value tobacco,C2_Workplace closing,France,FRA,23.79618,Rate (risk-weighted prevalence),2019.0
43,Governance,Human Development Index,C2_Workplace closing,France,FRA,0.901,index,2019.0
44,Governance,Political stability and absence of violence/terrorism estimate,C2_Workplace closing,France,FRA,0.313681,score,2019.0
45,Social issues ,Life Ladder ,C2_Workplace closing,France,FRA,6.689899921417236,score,2021.0
46,Environment,Combustible renewables and waste,C2_Workplace closing,France,FRA,4.812009,percent of total energy,2015.0
47,Environment,Fossil fuel energy consumption,C2_Workplace closing,France,FRA,46.48797,percent of total,2015.0
48,Governance,Regulatory quality estimate,C2_Workplace closing,France,FRA,1.440292,score,2019.0
49,Environment,Electricity production from nuclear sources ,C2_Workplace closing,France,FRA,77.62780082840278,percent of total,2015.0
50,Environment,Electric power consumption ,C2_Workplace closing,France,FRA,6939.943524909275,kWh per capita,2014.0
51,Social issues ,Press freedom score,C2_Workplace closing,France,FRA,22.92,score,2020.0
52,Health,Prevalence of obesity,C2_Workplace closing,France,FRA,21.6,percent,2016.0
54,Economics,Volume of exports,C2_Workplace closing,France,FRA,3.698,percent change,2020.0
55,Environment,Energy use (kg of oil equivalent per capita),C2_Workplace closing,France,FRA,3692.017833310533,kg of oil equivalent per capita,2015.0
57,Governance,Control of corruption estimate,C2_Workplace closing,France,FRA,1.300968,score,2019.0
58,Demographics,Secure Internet servers ,C2_Workplace closing,France,FRA,29396.27679360689,per 1 million people,2019.0
59,Governance,Rule of law estimate ,C2_Workplace closing,France,FRA,1.412058,score,2019.0
61,Governance,Personal Freedom Score ,C2_Workplace closing,France,FRA,8.7,score,2018.0
62,Health,Prevalence of Hypertensive heart disease,C2_Workplace closing,France,FRA,0.002016,percent,2019.0
63,Environment,Electricity production from coal sources ,C2_Workplace closing,France,FRA,2.160448913386833,percent of total,2015.0
64,Environment,"Electricity production from renewable sources, excluding hydroelectric",C2_Workplace closing,France,FRA,34917000000.0,kWh,2015.0
65,Governance,Serious assault (rate),C2_Workplace closing,France,FRA,375.63,rate,2016.0
66,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C2_Workplace closing,France,FRA,54.9220009,Percentage of total population,2020.0
67,Social issues ,Proportion of seats held by women in national parliaments (%),C2_Workplace closing,France,FRA,39.51473137,proportion,2020.0
69,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C2_Workplace closing,France,FRA,78.2135639205549,percent of total,2017.0
73,Social issues ,"Intentional homicides (per 100,000 people)",C2_Workplace closing,France,FRA,1.1986365025,"proportion, pero 100,000 people",2018.0
76,Environment,"Electricity production from oil, gas and coal sources",C2_Workplace closing,France,FRA,6.055787639265015,percent of total,2015.0
77,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C2_Workplace closing,France,FRA,50.6479988,Percentage of females of the total population,2020.0
80,Governance,Aggregate score for the Political Rights category,C2_Workplace closing,France,FRA,38.0,score,2021.0
82,Demographics,Fixed telephone subscriptions,C2_Workplace closing,France,FRA,37797000.0,number,2019.0
83,Health,Mortality due to COVID-19,C2_Workplace closing,France,FRA,59855.0,"Number (cumulative total by Dec 26,2020)",2020.0
86,Health,"Prevalence of HIV, total (% of population ages 15-49)",C2_Workplace closing,France,FRA,0.3,percent,2019.0
90,Environment,Access to electricity ,C2_Workplace closing,France,FRA,100.0,percent of population,2018.0
116,Environment,"Energy imports, net ",C2_Workplace closing,France,FRA,44.11016596524359,percent of energy use,2015.0
