rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,Iraq,IRQ,49.36,percent of population,2019.0
2,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C2_Workplace closing,Iraq,IRQ,12.8249998,percent of total labor force,2020.0
3,Health,Prevalence of COVID-19,C2_Workplace closing,Iraq,IRQ,581811.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Governance,Voice and accountability estimate,C2_Workplace closing,Iraq,IRQ,-0.9454794,score,2019.0
5,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C2_Workplace closing,Iraq,IRQ,2.0,percent,2018.0
6,Economics,Employment in services (% of total employment) (modeled ILO estimate),C2_Workplace closing,Iraq,IRQ,59.8600006,Percentage of total employment,2020.0
7,Environment,CO2 emissions (kt),C2_Workplace closing,Iraq,IRQ,190060.6,kt,2016.0
8,Health,"Nurses and midwives (per 1,000 people)",C2_Workplace closing,Iraq,IRQ,2.0448,Ones,2018.0
10,Governance,Government effectiveness estimate,C2_Workplace closing,Iraq,IRQ,-1.33627,score,2019.0
11,Demographics,Fixed broadband subscriptions,C2_Workplace closing,Iraq,IRQ,11.6885,per 100 people,2019.0
13,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,Iraq,IRQ,13.0,score,2021.0
14,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C2_Workplace closing,Iraq,IRQ,11.6,percent,2020.0
15,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C2_Workplace closing,Iraq,IRQ,100.0,percent of total,2017.0
16,Environment,CO2 emissions (metric tons per capita),C2_Workplace closing,Iraq,IRQ,5.191405,metric tons per capita,2016.0
17,Social issues ,Life Ladder ,C2_Workplace closing,Iraq,IRQ,4.854100227355957,score,2021.0
18,Governance,Economic Freedom Score,C2_Workplace closing,Iraq,IRQ,5.61,score,2018.0
19,Health,Prevalence of total cancers,C2_Workplace closing,Iraq,IRQ,0.005433,percent,2019.0
20,Social issues ,Net migration,C2_Workplace closing,Iraq,IRQ,39171.0,net total / data are 5 year estimates,2019.0
21,Health,Summary exposure value tobacco,C2_Workplace closing,Iraq,IRQ,35.38905,Rate (risk-weighted prevalence),2019.0
22,Governance,Total freedom in the world score ,C2_Workplace closing,Iraq,IRQ,29.0,score,2021.0
24,Economics,"Central government debt, total",C2_Workplace closing,Iraq,IRQ,28.07828634739803,percent of GDP,2016.0
25,Governance,Rule of law estimate ,C2_Workplace closing,Iraq,IRQ,-1.722463,score,2019.0
27,Environment,"Electricity production from renewable sources, excluding hydroelectric",C2_Workplace closing,Iraq,IRQ,0.0,kWh,2015.0
28,Health,Prevalence of anxiety disorders,C2_Workplace closing,Iraq,IRQ,0.057199,percent,2019.0
29,Health,Prevalence of Diabetes,C2_Workplace closing,Iraq,IRQ,0.06199,percent,2019.0
32,Health,Prevalence of Depressive disorders,C2_Workplace closing,Iraq,IRQ,0.038898,percent,2019.0
33,Environment,"Electricity production from oil, gas and coal sources",C2_Workplace closing,Iraq,IRQ,50.14944429935289,percent of total,2015.0
34,Health,"Immunization, DPT (% of children ages 12-23 months)",C2_Workplace closing,Iraq,IRQ,84.0,percent,2019.0
35,Environment,Electricity production from coal sources ,C2_Workplace closing,Iraq,IRQ,0.0,percent of total,2015.0
36,Health,Mortality due to COVID-19,C2_Workplace closing,Iraq,IRQ,12670.0,"Number (cumulative total by Dec 26,2020)",2020.0
37,Health,Prevalence of chronic kidney disease,C2_Workplace closing,Iraq,IRQ,0.077629,percent,2019.0
39,Environment,Energy use (kg of oil equivalent per capita),C2_Workplace closing,Iraq,IRQ,1437.900542169202,kg of oil equivalent per capita,2014.0
41,Health,"Incidence of tuberculosis (per 100,000 people)",C2_Workplace closing,Iraq,IRQ,41.0,Cases,2019.0
42,Environment,"Adjusted net savings, including particulate emission damage",C2_Workplace closing,Iraq,IRQ,-2.8288744939694,percent of GNI,2018.0
43,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C2_Workplace closing,Iraq,IRQ,9.0,percent,2020.0
44,Health,"Physicians (per 1,000 people)",C2_Workplace closing,Iraq,IRQ,0.7079,Ones,2018.0
45,Environment,Electricity production from oil sources,C2_Workplace closing,Iraq,IRQ,25.73198688372363,percent of total,2015.0
46,Health,Prevalence of obesity,C2_Workplace closing,Iraq,IRQ,30.4,percent,2016.0
48,Social issues ,Press freedom score,C2_Workplace closing,Iraq,IRQ,55.37,score,2020.0
50,Governance,Human Freedom Score ,C2_Workplace closing,Iraq,IRQ,4.9,score,2018.0
51,Environment,Access to electricity ,C2_Workplace closing,Iraq,IRQ,99.9,percent of population,2018.0
53,Demographics,Secure Internet servers ,C2_Workplace closing,Iraq,IRQ,12.08350603207349,per 1 million people,2019.0
54,Environment,Fossil fuel energy consumption,C2_Workplace closing,Iraq,IRQ,95.98418,percent of total,2014.0
55,Governance,Fragile States Index Total ,C2_Workplace closing,Iraq,IRQ,95.94116979347217,score,2020.0
57,Environment,Electric power consumption ,C2_Workplace closing,Iraq,IRQ,1328.230416229525,kWh per capita,2014.0
58,Social issues ,Proportion of seats held by women in national parliaments (%),C2_Workplace closing,Iraq,IRQ,26.443769,proportion,2020.0
