rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,Montenegro,MNE,73.4767,percent of population,2019.0
2,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C2_Workplace closing,Montenegro,MNE,14.7559996,percent of total labor force,2020.0
3,Health,Prevalence of COVID-19,C2_Workplace closing,Montenegro,MNE,43470.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Governance,Voice and accountability estimate,C2_Workplace closing,Montenegro,MNE,0.0266633,score,2019.0
5,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C2_Workplace closing,Montenegro,MNE,5.1,percent,2018.0
6,Economics,Employment in services (% of total employment) (modeled ILO estimate),C2_Workplace closing,Montenegro,MNE,72.9990005,Percentage of total employment,2020.0
7,Environment,CO2 emissions (kt),C2_Workplace closing,Montenegro,MNE,2016.85,kt,2016.0
8,Health,"Nurses and midwives (per 1,000 people)",C2_Workplace closing,Montenegro,MNE,5.2294,Ones,2018.0
9,Social issues ,Gini index (World Bank estimate),C2_Workplace closing,Montenegro,MNE,39.0,index ,2015.0
10,Governance,Government effectiveness estimate,C2_Workplace closing,Montenegro,MNE,0.1562576,score,2019.0
11,Demographics,Fixed broadband subscriptions,C2_Workplace closing,Montenegro,MNE,28.4689,per 100 people,2019.0
12,Economics,Volume of exports,C2_Workplace closing,Montenegro,MNE,2.735,percent change,2020.0
13,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,Montenegro,MNE,39.0,score,2021.0
14,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C2_Workplace closing,Montenegro,MNE,8.1,percent,2020.0
15,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C2_Workplace closing,Montenegro,MNE,100.0,percent of total,2017.0
16,Environment,CO2 emissions (metric tons per capita),C2_Workplace closing,Montenegro,MNE,3.240945,metric tons per capita,2016.0
17,Social issues ,Life Ladder ,C2_Workplace closing,Montenegro,MNE,5.58050012588501,score,2021.0
18,Governance,Economic Freedom Score,C2_Workplace closing,Montenegro,MNE,6.94,score,2018.0
19,Health,Prevalence of total cancers,C2_Workplace closing,Montenegro,MNE,0.022365,percent,2019.0
20,Social issues ,Net migration,C2_Workplace closing,Montenegro,MNE,-2400.0,net total / data are 5 year estimates,2019.0
21,Health,Summary exposure value tobacco,C2_Workplace closing,Montenegro,MNE,42.78492,Rate (risk-weighted prevalence),2019.0
22,Governance,Total freedom in the world score ,C2_Workplace closing,Montenegro,MNE,63.0,score,2021.0
25,Governance,Rule of law estimate ,C2_Workplace closing,Montenegro,MNE,0.0957448,score,2019.0
26,Economics,Volume of imports,C2_Workplace closing,Montenegro,MNE,-2.435,percent change,2020.0
27,Environment,"Electricity production from renewable sources, excluding hydroelectric",C2_Workplace closing,Montenegro,MNE,0.0,kWh,2015.0
28,Health,Prevalence of anxiety disorders,C2_Workplace closing,Montenegro,MNE,0.042754,percent,2019.0
29,Health,Prevalence of Diabetes,C2_Workplace closing,Montenegro,MNE,0.107446,percent,2019.0
31,Social issues ,Proportion of women in managerial positions (%),C2_Workplace closing,Montenegro,MNE,28.77,percent,2018.0
32,Health,Prevalence of Depressive disorders,C2_Workplace closing,Montenegro,MNE,0.035868,percent,2019.0
33,Environment,"Electricity production from oil, gas and coal sources",C2_Workplace closing,Montenegro,MNE,50.34965034965035,percent of total,2015.0
34,Health,"Immunization, DPT (% of children ages 12-23 months)",C2_Workplace closing,Montenegro,MNE,86.0,percent,2019.0
35,Environment,Electricity production from coal sources ,C2_Workplace closing,Montenegro,MNE,50.34965034965035,percent of total,2015.0
36,Health,Mortality due to COVID-19,C2_Workplace closing,Montenegro,MNE,620.0,"Number (cumulative total by Dec 26,2020)",2020.0
37,Health,Prevalence of chronic kidney disease,C2_Workplace closing,Montenegro,MNE,0.123401,percent,2019.0
39,Environment,Energy use (kg of oil equivalent per capita),C2_Workplace closing,Montenegro,MNE,1538.264099966228,kg of oil equivalent per capita,2014.0
40,Governance,Serious assault (rate),C2_Workplace closing,Montenegro,MNE,24.37,rate,2018.0
41,Health,"Incidence of tuberculosis (per 100,000 people)",C2_Workplace closing,Montenegro,MNE,15.0,Cases,2019.0
43,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C2_Workplace closing,Montenegro,MNE,10.2,percent,2020.0
44,Health,"Physicians (per 1,000 people)",C2_Workplace closing,Montenegro,MNE,2.7557,Ones,2018.0
45,Environment,Electricity production from oil sources,C2_Workplace closing,Montenegro,MNE,0.0,percent of total,2015.0
46,Health,Prevalence of obesity,C2_Workplace closing,Montenegro,MNE,23.3,percent,2016.0
48,Social issues ,Press freedom score,C2_Workplace closing,Montenegro,MNE,33.83,score,2020.0
50,Governance,Human Freedom Score ,C2_Workplace closing,Montenegro,MNE,7.46,score,2018.0
51,Environment,Access to electricity ,C2_Workplace closing,Montenegro,MNE,100.0,percent of population,2018.0
53,Demographics,Secure Internet servers ,C2_Workplace closing,Montenegro,MNE,691.1660936417542,per 1 million people,2019.0
54,Environment,Fossil fuel energy consumption,C2_Workplace closing,Montenegro,MNE,64.6647,percent of total,2014.0
55,Governance,Fragile States Index Total ,C2_Workplace closing,Montenegro,MNE,55.46679468409825,score,2020.0
57,Environment,Electric power consumption ,C2_Workplace closing,Montenegro,MNE,4612.341390456892,kWh per capita,2014.0
58,Social issues ,Proportion of seats held by women in national parliaments (%),C2_Workplace closing,Montenegro,MNE,29.62962963,proportion,2020.0
61,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Montenegro,MNE,54.4550018,Percentage of total population,2020.0
63,Governance,Aggregate score for the Political Rights category,C2_Workplace closing,Montenegro,MNE,24.0,score,2021.0
64,Demographics,Fixed telephone subscriptions,C2_Workplace closing,Montenegro,MNE,188175.0,number,2019.0
65,Governance,Human Development Index,C2_Workplace closing,Montenegro,MNE,0.829,index,2019.0
