rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,Mozambique,MOZ,10.0,percent of population,2019.0
2,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C2_Workplace closing,Mozambique,MOZ,3.2420001,percent of total labor force,2020.0
3,Health,Prevalence of COVID-19,C2_Workplace closing,Mozambique,MOZ,17256.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Governance,Voice and accountability estimate,C2_Workplace closing,Mozambique,MOZ,-0.5082347,score,2019.0
5,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C2_Workplace closing,Mozambique,MOZ,1.7,percent,2018.0
6,Economics,Employment in services (% of total employment) (modeled ILO estimate),C2_Workplace closing,Mozambique,MOZ,21.4939995,Percentage of total employment,2020.0
7,Environment,CO2 emissions (kt),C2_Workplace closing,Mozambique,MOZ,7942.722,kt,2016.0
8,Health,"Nurses and midwives (per 1,000 people)",C2_Workplace closing,Mozambique,MOZ,0.6847,Ones,2018.0
9,Social issues ,Gini index (World Bank estimate),C2_Workplace closing,Mozambique,MOZ,54.0,index ,2014.0
10,Governance,Government effectiveness estimate,C2_Workplace closing,Mozambique,MOZ,-0.8232896,score,2019.0
11,Demographics,Fixed broadband subscriptions,C2_Workplace closing,Mozambique,MOZ,0.237252,per 100 people,2019.0
12,Economics,Volume of exports,C2_Workplace closing,Mozambique,MOZ,8.237,percent change,2020.0
13,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,Mozambique,MOZ,29.0,score,2021.0
14,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C2_Workplace closing,Mozambique,MOZ,37.8,percent,2020.0
15,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C2_Workplace closing,Mozambique,MOZ,100.0,percent of total,2017.0
16,Environment,CO2 emissions (metric tons per capita),C2_Workplace closing,Mozambique,MOZ,0.285402,metric tons per capita,2016.0
17,Social issues ,Life Ladder ,C2_Workplace closing,Mozambique,MOZ,4.79449987411499,score,2021.0
18,Governance,Economic Freedom Score,C2_Workplace closing,Mozambique,MOZ,5.94,score,2018.0
19,Health,Prevalence of total cancers,C2_Workplace closing,Mozambique,MOZ,0.002234,percent,2019.0
