rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,Mauritania,MRT,20.801,percent of population,2019.0
2,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C2_Workplace closing,Mauritania,MRT,9.61400032,percent of total labor force,2020.0
3,Health,Prevalence of COVID-19,C2_Workplace closing,Mauritania,MRT,10971.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C2_Workplace closing,Mauritania,MRT,1.6,percent,2018.0
5,Governance,Voice and accountability estimate,C2_Workplace closing,Mauritania,MRT,-0.7802137,score,2019.0
6,Economics,Employment in services (% of total employment) (modeled ILO estimate),C2_Workplace closing,Mauritania,MRT,36.2739983,Percentage of total employment,2020.0
8,Demographics,Mobile cellular subscriptions,C2_Workplace closing,Mauritania,MRT,104.09,per 100 people,2019.0
10,Environment,CO2 emissions (metric tons per capita),C2_Workplace closing,Mauritania,MRT,0.657914,metric tons per capita,2016.0
11,Health,Prevalence of Depressive disorders,C2_Workplace closing,Mauritania,MRT,0.029447,percent,2019.0
12,Health,"Immunization, measles (% of children ages 12-23 months)",C2_Workplace closing,Mauritania,MRT,78.0,percent,2019.0
13,Social issues ,Gini index (World Bank estimate),C2_Workplace closing,Mauritania,MRT,32.6,index ,2014.0
14,Demographics,Fixed broadband subscriptions,C2_Workplace closing,Mauritania,MRT,0.238969,per 100 people,2019.0
15,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C2_Workplace closing,Mauritania,MRT,24.2,percent,2020.0
16,Environment,CO2 emissions (kt),C2_Workplace closing,Mauritania,MRT,2739.249,kt,2016.0
17,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,Mauritania,MRT,21.0,score,2021.0
18,Social issues ,Net migration,C2_Workplace closing,Mauritania,MRT,25002.0,net total / data are 5 year estimates,2019.0
19,Environment,Renewable energy consumption ,C2_Workplace closing,Mauritania,MRT,32.1595724693392,percent of total final energy consumption,2015.0
20,Governance,Fragile States Index Total ,C2_Workplace closing,Mauritania,MRT,88.74246859603146,score,2020.0
21,Health,Prevalence of chronic kidney disease,C2_Workplace closing,Mauritania,MRT,0.047235,percent,2019.0
22,Environment,"PM2.5 air pollution, mean annual exposure",C2_Workplace closing,Mauritania,MRT,47.42299,micrograms per cubic meter,2017.0
23,Health,"Physicians (per 1,000 people)",C2_Workplace closing,Mauritania,MRT,0.1865,Ones,2018.0
25,Governance,Economic Freedom Score,C2_Workplace closing,Mauritania,MRT,6.22,score,2018.0
26,Governance,Total freedom in the world score ,C2_Workplace closing,Mauritania,MRT,35.0,score,2021.0
27,Health,Prevalence of Diabetes,C2_Workplace closing,Mauritania,MRT,0.017059,percent,2019.0
28,Health,"Immunization, DPT (% of children ages 12-23 months)",C2_Workplace closing,Mauritania,MRT,81.0,percent,2019.0
29,Health,Prevalence of anxiety disorders,C2_Workplace closing,Mauritania,MRT,0.027164,percent,2019.0
30,Governance,Human Freedom Score ,C2_Workplace closing,Mauritania,MRT,5.39,score,2018.0
31,Health,Prevalence of Respiratory infections and tuberculosis,C2_Workplace closing,Mauritania,MRT,0.213634,percent,2019.0
32,Governance,Corruption Perceptions Index,C2_Workplace closing,Mauritania,MRT,29.0,score,2020.0
33,Health,"Nurses and midwives (per 1,000 people)",C2_Workplace closing,Mauritania,MRT,0.9252,Ones,2018.0
34,Economics,Volume of imports,C2_Workplace closing,Mauritania,MRT,3.563,percent change,2020.0
35,Health,Prevalence of down syndrome,C2_Workplace closing,Mauritania,MRT,0.000166,percent,2019.0
37,Environment,"Adjusted net savings, including particulate emission damage",C2_Workplace closing,Mauritania,MRT,14.7678158706605,percent of GNI,2018.0
38,Health,"Incidence of tuberculosis (per 100,000 people)",C2_Workplace closing,Mauritania,MRT,89.0,Cases,2019.0
39,Health,Prevalence of total cancers,C2_Workplace closing,Mauritania,MRT,0.002213,percent,2019.0
40,Governance,Government effectiveness estimate,C2_Workplace closing,Mauritania,MRT,-0.4982125,score,2019.0
41,Health,Summary exposure value tobacco,C2_Workplace closing,Mauritania,MRT,13.97411,Rate (risk-weighted prevalence),2019.0
42,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C2_Workplace closing,Mauritania,MRT,2.7,percent,2020.0
43,Governance,Human Development Index,C2_Workplace closing,Mauritania,MRT,0.546,index,2019.0
44,Governance,Political stability and absence of violence/terrorism estimate,C2_Workplace closing,Mauritania,MRT,-0.5422166,score,2019.0
45,Social issues ,Life Ladder ,C2_Workplace closing,Mauritania,MRT,4.227399826049805,score,2021.0
48,Governance,Regulatory quality estimate,C2_Workplace closing,Mauritania,MRT,-0.7593397,score,2019.0
51,Social issues ,Press freedom score,C2_Workplace closing,Mauritania,MRT,32.54,score,2020.0
52,Health,Prevalence of obesity,C2_Workplace closing,Mauritania,MRT,12.7,percent,2016.0
53,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",C2_Workplace closing,Mauritania,MRT,3.0,rating,2019.0
54,Economics,Volume of exports,C2_Workplace closing,Mauritania,MRT,2.82,percent change,2020.0
57,Governance,Control of corruption estimate,C2_Workplace closing,Mauritania,MRT,-0.8615845,score,2019.0
58,Demographics,Secure Internet servers ,C2_Workplace closing,Mauritania,MRT,7.291696128065165,per 1 million people,2019.0
59,Governance,Rule of law estimate ,C2_Workplace closing,Mauritania,MRT,-0.5827179,score,2019.0
61,Governance,Personal Freedom Score ,C2_Workplace closing,Mauritania,MRT,4.56,score,2018.0
62,Health,Prevalence of Hypertensive heart disease,C2_Workplace closing,Mauritania,MRT,0.001208,percent,2019.0
66,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Mauritania,MRT,45.894001,Percentage of total population,2020.0
67,Social issues ,Proportion of seats held by women in national parliaments (%),C2_Workplace closing,Mauritania,MRT,20.26143791,proportion,2020.0
69,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C2_Workplace closing,Mauritania,MRT,100.0,percent of total,2017.0
77,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Mauritania,MRT,28.8950005,Percentage of females of the total population,2020.0
80,Governance,Aggregate score for the Political Rights category,C2_Workplace closing,Mauritania,MRT,14.0,score,2021.0
82,Demographics,Fixed telephone subscriptions,C2_Workplace closing,Mauritania,MRT,61858.0,number,2019.0
83,Health,Mortality due to COVID-19,C2_Workplace closing,Mauritania,MRT,225.0,"Number (cumulative total by Dec 26,2020)",2020.0
86,Health,"Prevalence of HIV, total (% of population ages 15-49)",C2_Workplace closing,Mauritania,MRT,0.2,percent,2019.0
90,Environment,Access to electricity ,C2_Workplace closing,Mauritania,MRT,44.526912689209,percent of population,2018.0
