rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,Nepal,NPL,34.0,percent of population,2019.0
2,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C2_Workplace closing,Nepal,NPL,1.46599996,percent of total labor force,2020.0
3,Health,Prevalence of COVID-19,C2_Workplace closing,Nepal,NPL,252474.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C2_Workplace closing,Nepal,NPL,1.5,percent,2018.0
5,Governance,Voice and accountability estimate,C2_Workplace closing,Nepal,NPL,-0.1306429,score,2019.0
6,Economics,Employment in services (% of total employment) (modeled ILO estimate),C2_Workplace closing,Nepal,NPL,20.1520004,Percentage of total employment,2020.0
7,Environment,Energy use ,C2_Workplace closing,Nepal,NPL,153.557247970363,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
8,Demographics,Mobile cellular subscriptions,C2_Workplace closing,Nepal,NPL,139.446,per 100 people,2019.0
9,Social issues ,Proportion of women in managerial positions (%),C2_Workplace closing,Nepal,NPL,13.17,percent,2017.0
10,Environment,CO2 emissions (metric tons per capita),C2_Workplace closing,Nepal,NPL,0.333998,metric tons per capita,2016.0
11,Health,Prevalence of Depressive disorders,C2_Workplace closing,Nepal,NPL,0.046381,percent,2019.0
12,Health,"Immunization, measles (% of children ages 12-23 months)",C2_Workplace closing,Nepal,NPL,92.0,percent,2019.0
14,Demographics,Fixed broadband subscriptions,C2_Workplace closing,Nepal,NPL,2.8188,per 100 people,2019.0
15,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C2_Workplace closing,Nepal,NPL,30.4,percent,2020.0
16,Environment,CO2 emissions (kt),C2_Workplace closing,Nepal,NPL,9105.161,kt,2016.0
17,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,Nepal,NPL,31.0,score,2021.0
18,Social issues ,Net migration,C2_Workplace closing,Nepal,NPL,208549.0,net total / data are 5 year estimates,2019.0
19,Environment,Renewable energy consumption ,C2_Workplace closing,Nepal,NPL,85.2639581903713,percent of total final energy consumption,2015.0
20,Governance,Fragile States Index Total ,C2_Workplace closing,Nepal,NPL,82.56660214637142,score,2020.0
21,Health,Prevalence of chronic kidney disease,C2_Workplace closing,Nepal,NPL,0.064626,percent,2019.0
22,Environment,"PM2.5 air pollution, mean annual exposure",C2_Workplace closing,Nepal,NPL,99.73437,micrograms per cubic meter,2017.0
