rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,Romania,ROU,73.6575,percent of population,2019.0
2,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C2_Workplace closing,Romania,ROU,3.92199993,percent of total labor force,2020.0
3,Health,Prevalence of COVID-19,C2_Workplace closing,Romania,ROU,582786.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C2_Workplace closing,Romania,ROU,4.4,percent,2018.0
5,Governance,Voice and accountability estimate,C2_Workplace closing,Romania,ROU,0.4851397,score,2019.0
6,Economics,Employment in services (% of total employment) (modeled ILO estimate),C2_Workplace closing,Romania,ROU,48.5699997,Percentage of total employment,2020.0
7,Environment,Energy use ,C2_Workplace closing,Romania,ROU,68.82885827618078,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
8,Demographics,Mobile cellular subscriptions,C2_Workplace closing,Romania,ROU,117.075,per 100 people,2019.0
9,Social issues ,Proportion of women in managerial positions (%),C2_Workplace closing,Romania,ROU,31.63,percent,2018.0
10,Environment,CO2 emissions (metric tons per capita),C2_Workplace closing,Romania,ROU,3.515262,metric tons per capita,2016.0
11,Health,Prevalence of Depressive disorders,C2_Workplace closing,Romania,ROU,0.035055,percent,2019.0
12,Health,"Immunization, measles (% of children ages 12-23 months)",C2_Workplace closing,Romania,ROU,90.0,percent,2019.0
13,Social issues ,Gini index (World Bank estimate),C2_Workplace closing,Romania,ROU,36.0,index ,2017.0
14,Demographics,Fixed broadband subscriptions,C2_Workplace closing,Romania,ROU,27.2539,per 100 people,2019.0
15,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C2_Workplace closing,Romania,ROU,9.7,percent,2020.0
16,Environment,CO2 emissions (kt),C2_Workplace closing,Romania,ROU,69258.63,kt,2016.0
17,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,Romania,ROU,48.0,score,2021.0
18,Social issues ,Net migration,C2_Workplace closing,Romania,ROU,-369997.0,net total / data are 5 year estimates,2019.0
19,Environment,Renewable energy consumption ,C2_Workplace closing,Romania,ROU,23.6977940316245,percent of total final energy consumption,2015.0
20,Governance,Fragile States Index Total ,C2_Workplace closing,Romania,ROU,46.65460149468231,score,2020.0
21,Health,Prevalence of chronic kidney disease,C2_Workplace closing,Romania,ROU,0.120065,percent,2019.0
22,Environment,"PM2.5 air pollution, mean annual exposure",C2_Workplace closing,Romania,ROU,14.61134,micrograms per cubic meter,2017.0
23,Health,"Physicians (per 1,000 people)",C2_Workplace closing,Romania,ROU,2.9807,Ones,2017.0
24,Environment,Electricity production from oil sources,C2_Workplace closing,Romania,ROU,0.7190315827796487,percent of total,2015.0
25,Governance,Economic Freedom Score,C2_Workplace closing,Romania,ROU,7.83,score,2018.0
26,Governance,Total freedom in the world score ,C2_Workplace closing,Romania,ROU,83.0,score,2021.0
27,Health,Prevalence of Diabetes,C2_Workplace closing,Romania,ROU,0.073212,percent,2019.0
28,Health,"Immunization, DPT (% of children ages 12-23 months)",C2_Workplace closing,Romania,ROU,88.0,percent,2019.0
29,Health,Prevalence of anxiety disorders,C2_Workplace closing,Romania,ROU,0.038621,percent,2019.0
30,Governance,Human Freedom Score ,C2_Workplace closing,Romania,ROU,8.09,score,2018.0
31,Health,Prevalence of Respiratory infections and tuberculosis,C2_Workplace closing,Romania,ROU,0.214465,percent,2019.0
32,Governance,Corruption Perceptions Index,C2_Workplace closing,Romania,ROU,44.0,score,2020.0
33,Health,"Nurses and midwives (per 1,000 people)",C2_Workplace closing,Romania,ROU,7.3891,Ones,2017.0
34,Economics,Volume of imports,C2_Workplace closing,Romania,ROU,5.939,percent change,2020.0
35,Health,Prevalence of down syndrome,C2_Workplace closing,Romania,ROU,0.000136,percent,2019.0
37,Environment,"Adjusted net savings, including particulate emission damage",C2_Workplace closing,Romania,ROU,0.282489992960555,percent of GNI,2018.0
38,Health,"Incidence of tuberculosis (per 100,000 people)",C2_Workplace closing,Romania,ROU,66.0,Cases,2019.0
39,Health,Prevalence of total cancers,C2_Workplace closing,Romania,ROU,0.020424,percent,2019.0
40,Governance,Government effectiveness estimate,C2_Workplace closing,Romania,ROU,-0.2812438,score,2019.0
41,Health,Summary exposure value tobacco,C2_Workplace closing,Romania,ROU,27.09452,Rate (risk-weighted prevalence),2019.0
42,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C2_Workplace closing,Romania,ROU,6.7,percent,2020.0
43,Governance,Human Development Index,C2_Workplace closing,Romania,ROU,0.828,index,2019.0
44,Governance,Political stability and absence of violence/terrorism estimate,C2_Workplace closing,Romania,ROU,0.5255054,score,2019.0
45,Social issues ,Life Ladder ,C2_Workplace closing,Romania,ROU,6.139999866485596,score,2021.0
46,Environment,Combustible renewables and waste,C2_Workplace closing,Romania,ROU,11.56806,percent of total energy,2014.0
47,Environment,Fossil fuel energy consumption,C2_Workplace closing,Romania,ROU,72.52369,percent of total,2014.0
48,Governance,Regulatory quality estimate,C2_Workplace closing,Romania,ROU,0.4620536,score,2019.0
49,Environment,Electricity production from nuclear sources ,C2_Workplace closing,Romania,ROU,17.90742615257201,percent of total,2014.0
50,Environment,Electric power consumption ,C2_Workplace closing,Romania,ROU,2584.41178726443,kWh per capita,2014.0
51,Social issues ,Press freedom score,C2_Workplace closing,Romania,ROU,25.91,score,2020.0
52,Health,Prevalence of obesity,C2_Workplace closing,Romania,ROU,22.5,percent,2016.0
54,Economics,Volume of exports,C2_Workplace closing,Romania,ROU,6.073,percent change,2020.0
55,Environment,Energy use (kg of oil equivalent per capita),C2_Workplace closing,Romania,ROU,1591.667659099947,kg of oil equivalent per capita,2014.0
57,Governance,Control of corruption estimate,C2_Workplace closing,Romania,ROU,-0.1282405,score,2019.0
