rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,Serbia,SRB,77.4168,percent of population,2019.0
2,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C2_Workplace closing,Serbia,SRB,12.7220001,percent of total labor force,2020.0
3,Health,Prevalence of COVID-19,C2_Workplace closing,Serbia,SRB,292640.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Governance,Voice and accountability estimate,C2_Workplace closing,Serbia,SRB,0.0266261,score,2019.0
5,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C2_Workplace closing,Serbia,SRB,5.1,percent,2018.0
6,Economics,Employment in services (% of total employment) (modeled ILO estimate),C2_Workplace closing,Serbia,SRB,57.5779991,Percentage of total employment,2020.0
7,Environment,CO2 emissions (kt),C2_Workplace closing,Serbia,SRB,45221.44,kt,2016.0
8,Health,"Nurses and midwives (per 1,000 people)",C2_Workplace closing,Serbia,SRB,6.0855,Ones,2016.0
9,Social issues ,Gini index (World Bank estimate),C2_Workplace closing,Serbia,SRB,36.2,index ,2017.0
10,Governance,Government effectiveness estimate,C2_Workplace closing,Serbia,SRB,0.0190787,score,2019.0
11,Demographics,Fixed broadband subscriptions,C2_Workplace closing,Serbia,SRB,18.4994,per 100 people,2019.0
12,Economics,Volume of exports,C2_Workplace closing,Serbia,SRB,8.338,percent change,2020.0
13,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,Serbia,SRB,42.0,score,2021.0
14,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C2_Workplace closing,Serbia,SRB,5.3,percent,2020.0
15,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C2_Workplace closing,Serbia,SRB,100.0,percent of total,2017.0
16,Environment,CO2 emissions (metric tons per capita),C2_Workplace closing,Serbia,SRB,6.406826,metric tons per capita,2016.0
17,Social issues ,Life Ladder ,C2_Workplace closing,Serbia,SRB,6.077899932861328,score,2021.0
18,Governance,Economic Freedom Score,C2_Workplace closing,Serbia,SRB,7.05,score,2018.0
19,Health,Prevalence of total cancers,C2_Workplace closing,Serbia,SRB,0.02539,percent,2019.0
20,Social issues ,Net migration,C2_Workplace closing,Serbia,SRB,20000.0,net total / data are 5 year estimates,2019.0
21,Health,Summary exposure value tobacco,C2_Workplace closing,Serbia,SRB,35.03955,Rate (risk-weighted prevalence),2019.0
22,Governance,Total freedom in the world score ,C2_Workplace closing,Serbia,SRB,64.0,score,2021.0
25,Governance,Rule of law estimate ,C2_Workplace closing,Serbia,SRB,-0.1190698,score,2019.0
26,Economics,Volume of imports,C2_Workplace closing,Serbia,SRB,7.241,percent change,2020.0
27,Environment,"Electricity production from renewable sources, excluding hydroelectric",C2_Workplace closing,Serbia,SRB,35000000.0,kWh,2015.0
28,Health,Prevalence of anxiety disorders,C2_Workplace closing,Serbia,SRB,0.039095,percent,2019.0
29,Health,Prevalence of Diabetes,C2_Workplace closing,Serbia,SRB,0.116383,percent,2019.0
31,Social issues ,Proportion of women in managerial positions (%),C2_Workplace closing,Serbia,SRB,31.33,percent,2018.0
32,Health,Prevalence of Depressive disorders,C2_Workplace closing,Serbia,SRB,0.036908,percent,2019.0
33,Environment,"Electricity production from oil, gas and coal sources",C2_Workplace closing,Serbia,SRB,73.08418672695836,percent of total,2015.0
34,Health,"Immunization, DPT (% of children ages 12-23 months)",C2_Workplace closing,Serbia,SRB,97.0,percent,2019.0
35,Environment,Electricity production from coal sources ,C2_Workplace closing,Serbia,SRB,72.42984439420135,percent of total,2015.0
36,Health,Mortality due to COVID-19,C2_Workplace closing,Serbia,SRB,2580.0,"Number (cumulative total by Dec 26,2020)",2020.0
37,Health,Prevalence of chronic kidney disease,C2_Workplace closing,Serbia,SRB,0.128587,percent,2019.0
39,Environment,Energy use (kg of oil equivalent per capita),C2_Workplace closing,Serbia,SRB,1859.428887652274,kg of oil equivalent per capita,2014.0
40,Governance,Serious assault (rate),C2_Workplace closing,Serbia,SRB,13.89,rate,2018.0
41,Health,"Incidence of tuberculosis (per 100,000 people)",C2_Workplace closing,Serbia,SRB,14.0,Cases,2019.0
42,Environment,"Adjusted net savings, including particulate emission damage",C2_Workplace closing,Serbia,SRB,3.08153880781451,percent of GNI,2018.0
43,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C2_Workplace closing,Serbia,SRB,10.8,percent,2020.0
44,Health,"Physicians (per 1,000 people)",C2_Workplace closing,Serbia,SRB,3.1131,Ones,2016.0
45,Environment,Electricity production from oil sources,C2_Workplace closing,Serbia,SRB,0.0744779890942945,percent of total,2015.0
46,Health,Prevalence of obesity,C2_Workplace closing,Serbia,SRB,21.5,percent,2016.0
48,Social issues ,Press freedom score,C2_Workplace closing,Serbia,SRB,31.62,score,2020.0
50,Governance,Human Freedom Score ,C2_Workplace closing,Serbia,SRB,7.34,score,2018.0
51,Environment,Access to electricity ,C2_Workplace closing,Serbia,SRB,100.0,percent of population,2018.0
53,Demographics,Secure Internet servers ,C2_Workplace closing,Serbia,SRB,8072.167286419317,per 1 million people,2019.0
54,Environment,Fossil fuel energy consumption,C2_Workplace closing,Serbia,SRB,83.87126,percent of total,2014.0
55,Governance,Fragile States Index Total ,C2_Workplace closing,Serbia,SRB,66.11626143786188,score,2020.0
57,Environment,Electric power consumption ,C2_Workplace closing,Serbia,SRB,4271.744666910499,kWh per capita,2014.0
58,Social issues ,Proportion of seats held by women in national parliaments (%),C2_Workplace closing,Serbia,SRB,38.8,proportion,2020.0
61,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Serbia,SRB,54.7099991,Percentage of total population,2020.0
63,Governance,Aggregate score for the Political Rights category,C2_Workplace closing,Serbia,SRB,22.0,score,2021.0
64,Demographics,Fixed telephone subscriptions,C2_Workplace closing,Serbia,SRB,2565090.0,number,2019.0
65,Governance,Human Development Index,C2_Workplace closing,Serbia,SRB,0.806,index,2019.0
67,Health,"Immunization, measles (% of children ages 12-23 months)",C2_Workplace closing,Serbia,SRB,87.0,percent,2019.0
68,Health,Prevalence of Respiratory infections and tuberculosis,C2_Workplace closing,Serbia,SRB,0.206938,percent,2019.0
69,Governance,Political stability and absence of violence/terrorism estimate,C2_Workplace closing,Serbia,SRB,-0.0916651,score,2019.0
71,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Serbia,SRB,47.2919998,Percentage of females of the total population,2020.0
72,Governance,Personal Freedom Score ,C2_Workplace closing,Serbia,SRB,7.62,score,2018.0
74,Governance,Control of corruption estimate,C2_Workplace closing,Serbia,SRB,-0.4455515,score,2019.0
76,Governance,Regulatory quality estimate,C2_Workplace closing,Serbia,SRB,0.1138671,score,2019.0
77,Health,Prevalence of down syndrome,C2_Workplace closing,Serbia,SRB,0.000138,percent,2019.0
82,Health,Prevalence of Hypertensive heart disease,C2_Workplace closing,Serbia,SRB,0.001479,percent,2019.0
83,Demographics,Mobile cellular subscriptions,C2_Workplace closing,Serbia,SRB,96.371,per 100 people,2019.0
84,Environment,Combustible renewables and waste,C2_Workplace closing,Serbia,SRB,7.768875,percent of total energy,2014.0
86,Social issues ,"Intentional homicides (per 100,000 people)",C2_Workplace closing,Serbia,SRB,1.2268905787,"proportion, pero 100,000 people",2018.0
87,Health,"Prevalence of HIV, total (% of population ages 15-49)",C2_Workplace closing,Serbia,SRB,0.1,percent,2019.0
89,Environment,Energy use ,C2_Workplace closing,Serbia,SRB,122.5228981209119,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
92,Environment,"PM2.5 air pollution, mean annual exposure",C2_Workplace closing,Serbia,SRB,24.72636,micrograms per cubic meter,2017.0
94,Environment,Electricity production from nuclear sources ,C2_Workplace closing,Serbia,SRB,0.0,percent of total,2014.0
97,Governance,Corruption Perceptions Index,C2_Workplace closing,Serbia,SRB,38.0,score,2020.0
110,Environment,Renewable energy consumption ,C2_Workplace closing,Serbia,SRB,21.1738852789742,percent of total final energy consumption,2015.0
117,Environment,"Energy imports, net ",C2_Workplace closing,Serbia,SRB,28.78146806509399,percent of energy use,2014.0
