rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,Uruguay,URY,76.9496,percent of population,2019.0
2,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C2_Workplace closing,Uruguay,URY,8.77700043,percent of total labor force,2020.0
3,Health,Prevalence of COVID-19,C2_Workplace closing,Uruguay,URY,11436.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C2_Workplace closing,Uruguay,URY,6.7,percent,2018.0
5,Governance,Voice and accountability estimate,C2_Workplace closing,Uruguay,URY,1.25694,score,2019.0
6,Economics,Employment in services (% of total employment) (modeled ILO estimate),C2_Workplace closing,Uruguay,URY,73.3509979,Percentage of total employment,2020.0
7,Environment,Energy use ,C2_Workplace closing,Uruguay,URY,67.34082013375085,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
8,Demographics,Mobile cellular subscriptions,C2_Workplace closing,Uruguay,URY,138.075,per 100 people,2019.0
9,Social issues ,Proportion of women in managerial positions (%),C2_Workplace closing,Uruguay,URY,35.92,percent,2018.0
10,Environment,CO2 emissions (metric tons per capita),C2_Workplace closing,Uruguay,URY,1.975863,metric tons per capita,2016.0
11,Health,Prevalence of Depressive disorders,C2_Workplace closing,Uruguay,URY,0.033434,percent,2019.0
12,Health,"Immunization, measles (% of children ages 12-23 months)",C2_Workplace closing,Uruguay,URY,96.0,percent,2019.0
13,Social issues ,Gini index (World Bank estimate),C2_Workplace closing,Uruguay,URY,39.7,index ,2018.0
14,Demographics,Fixed broadband subscriptions,C2_Workplace closing,Uruguay,URY,29.2457,per 100 people,2019.0
15,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C2_Workplace closing,Uruguay,URY,6.5,percent,2020.0
16,Environment,CO2 emissions (kt),C2_Workplace closing,Uruguay,URY,6765.615,kt,2016.0
17,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,Uruguay,URY,58.0,score,2021.0
18,Social issues ,Net migration,C2_Workplace closing,Uruguay,URY,-15000.0,net total / data are 5 year estimates,2019.0
19,Environment,Renewable energy consumption ,C2_Workplace closing,Uruguay,URY,58.0220411778528,percent of total final energy consumption,2015.0
20,Governance,Fragile States Index Total ,C2_Workplace closing,Uruguay,URY,33.405777354578404,score,2020.0
21,Health,Prevalence of chronic kidney disease,C2_Workplace closing,Uruguay,URY,0.097551,percent,2019.0
22,Environment,"PM2.5 air pollution, mean annual exposure",C2_Workplace closing,Uruguay,URY,9.274883,micrograms per cubic meter,2017.0
23,Health,"Physicians (per 1,000 people)",C2_Workplace closing,Uruguay,URY,5.0794,Ones,2017.0
24,Environment,Electricity production from oil sources,C2_Workplace closing,Uruguay,URY,11.4410480349345,percent of total,2015.0
25,Governance,Economic Freedom Score,C2_Workplace closing,Uruguay,URY,7.25,score,2018.0
26,Governance,Total freedom in the world score ,C2_Workplace closing,Uruguay,URY,98.0,score,2021.0
27,Health,Prevalence of Diabetes,C2_Workplace closing,Uruguay,URY,0.056324,percent,2019.0
28,Health,"Immunization, DPT (% of children ages 12-23 months)",C2_Workplace closing,Uruguay,URY,94.0,percent,2019.0
29,Health,Prevalence of anxiety disorders,C2_Workplace closing,Uruguay,URY,0.057095,percent,2019.0
30,Governance,Human Freedom Score ,C2_Workplace closing,Uruguay,URY,7.92,score,2018.0
31,Health,Prevalence of Respiratory infections and tuberculosis,C2_Workplace closing,Uruguay,URY,0.21988,percent,2019.0
32,Governance,Corruption Perceptions Index,C2_Workplace closing,Uruguay,URY,71.0,score,2020.0
33,Health,"Nurses and midwives (per 1,000 people)",C2_Workplace closing,Uruguay,URY,1.9412,Ones,2017.0
34,Economics,Volume of imports,C2_Workplace closing,Uruguay,URY,7.676,percent change,2020.0
35,Health,Prevalence of down syndrome,C2_Workplace closing,Uruguay,URY,0.000502,percent,2019.0
36,Social issues ,Coverage of unemployment benefits and ALMP (% of population),C2_Workplace closing,Uruguay,URY,2.631161433,proportion,2017.0
37,Environment,"Adjusted net savings, including particulate emission damage",C2_Workplace closing,Uruguay,URY,5.16804343567211,percent of GNI,2018.0
38,Health,"Incidence of tuberculosis (per 100,000 people)",C2_Workplace closing,Uruguay,URY,35.0,Cases,2019.0
39,Health,Prevalence of total cancers,C2_Workplace closing,Uruguay,URY,0.019776,percent,2019.0
40,Governance,Government effectiveness estimate,C2_Workplace closing,Uruguay,URY,0.6957388,score,2019.0
41,Health,Summary exposure value tobacco,C2_Workplace closing,Uruguay,URY,27.89703,Rate (risk-weighted prevalence),2019.0
42,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C2_Workplace closing,Uruguay,URY,10.3,percent,2020.0
43,Governance,Human Development Index,C2_Workplace closing,Uruguay,URY,0.817,index,2019.0
44,Governance,Political stability and absence of violence/terrorism estimate,C2_Workplace closing,Uruguay,URY,1.045503,score,2019.0
45,Social issues ,Life Ladder ,C2_Workplace closing,Uruguay,URY,6.431399822235107,score,2021.0
46,Environment,Combustible renewables and waste,C2_Workplace closing,Uruguay,URY,33.68126,percent of total energy,2014.0
47,Environment,Fossil fuel energy consumption,C2_Workplace closing,Uruguay,URY,46.27031,percent of total,2014.0
48,Governance,Regulatory quality estimate,C2_Workplace closing,Uruguay,URY,0.5094084,score,2019.0
49,Environment,Electricity production from nuclear sources ,C2_Workplace closing,Uruguay,URY,0.0,percent of total,2014.0
50,Environment,Electric power consumption ,C2_Workplace closing,Uruguay,URY,3085.194419300595,kWh per capita,2014.0
51,Social issues ,Press freedom score,C2_Workplace closing,Uruguay,URY,15.79,score,2020.0
52,Health,Prevalence of obesity,C2_Workplace closing,Uruguay,URY,27.9,percent,2016.0
54,Economics,Volume of exports,C2_Workplace closing,Uruguay,URY,3.254,percent change,2020.0
55,Environment,Energy use (kg of oil equivalent per capita),C2_Workplace closing,Uruguay,URY,1386.020137429516,kg of oil equivalent per capita,2014.0
56,Demographics,People using at least basic sanitation services (% of population),C2_Workplace closing,Uruguay,URY,96.59619233959,proportion,2017.0
57,Governance,Control of corruption estimate,C2_Workplace closing,Uruguay,URY,1.246511,score,2019.0
58,Demographics,Secure Internet servers ,C2_Workplace closing,Uruguay,URY,1808.920038339168,per 1 million people,2019.0
59,Governance,Rule of law estimate ,C2_Workplace closing,Uruguay,URY,0.6212631,score,2019.0
61,Governance,Personal Freedom Score ,C2_Workplace closing,Uruguay,URY,8.59,score,2018.0
62,Health,Prevalence of Hypertensive heart disease,C2_Workplace closing,Uruguay,URY,0.003156,percent,2019.0
63,Environment,Electricity production from coal sources ,C2_Workplace closing,Uruguay,URY,0.0,percent of total,2015.0
64,Environment,"Electricity production from renewable sources, excluding hydroelectric",C2_Workplace closing,Uruguay,URY,3902000000.0,kWh,2015.0
65,Governance,Serious assault (rate),C2_Workplace closing,Uruguay,URY,15.22,rate,2018.0
66,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Uruguay,URY,64.1350021,Percentage of total population,2020.0
67,Social issues ,Proportion of seats held by women in national parliaments (%),C2_Workplace closing,Uruguay,URY,21.21212121,proportion,2020.0
69,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C2_Workplace closing,Uruguay,URY,22.3857446597034,percent of total,2017.0
70,Demographics,Rural population (% of total population),C2_Workplace closing,Uruguay,URY,4.573999999999998,proportion,2019.0
71,Social issues ,Coverage of social safety net programs (% of population),C2_Workplace closing,Uruguay,URY,57.7962004,proportion,2017.0
