rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C3_Cancel public events,Bulgaria,BGR,67.947,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C3_Cancel public events,Bulgaria,BGR,972255.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,C3_Cancel public events,Bulgaria,BGR,0.225973,percent,2019.0
4,Health,Prevalence of COVID-19,C3_Cancel public events,Bulgaria,BGR,190027.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,C3_Cancel public events,Bulgaria,BGR,0.0358966,score,2019.0
6,Health,"Incidence of tuberculosis (per 100,000 people)",C3_Cancel public events,Bulgaria,BGR,21.0,Cases,2019.0
7,Environment,Fossil fuel energy consumption,C3_Cancel public events,Bulgaria,BGR,71.04592,percent of total,2014.0
8,Health,Prevalence of anxiety disorders,C3_Cancel public events,Bulgaria,BGR,0.040476,percent,2019.0
9,Demographics,Fixed broadband subscriptions,C3_Cancel public events,Bulgaria,BGR,27.6502,per 100 people,2019.0
10,Governance,Economic Freedom Score,C3_Cancel public events,Bulgaria,BGR,7.74,score,2018.0
11,Environment,Renewable energy consumption ,C3_Cancel public events,Bulgaria,BGR,17.6500779274042,percent of total final energy consumption,2015.0
12,Governance,Government effectiveness estimate,C3_Cancel public events,Bulgaria,BGR,0.3390003,score,2019.0
13,Health,Prevalence of Diabetes,C3_Cancel public events,Bulgaria,BGR,0.098452,percent,2019.0
14,Environment,"Energy imports, net ",C3_Cancel public events,Bulgaria,BGR,36.55077772468187,percent of energy use,2014.0
16,Social issues ,Net migration,C3_Cancel public events,Bulgaria,BGR,-24001.0,net total / data are 5 year estimates,2019.0
17,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C3_Cancel public events,Bulgaria,BGR,5.7,percent,2020.0
18,Environment,Electricity production from coal sources ,C3_Cancel public events,Bulgaria,BGR,46.20655697345205,percent of total,2015.0
19,Demographics,Secure Internet servers ,C3_Cancel public events,Bulgaria,BGR,40238.04714639736,per 1 million people,2019.0
20,Health,Prevalence of Hypertensive heart disease,C3_Cancel public events,Bulgaria,BGR,0.006279,percent,2019.0
21,Health,Prevalence of Depressive disorders,C3_Cancel public events,Bulgaria,BGR,0.037262,percent,2019.0
