rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C3_Cancel public events,Switzerland,CHE,93.1461,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C3_Cancel public events,Switzerland,CHE,3100000.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,C3_Cancel public events,Switzerland,CHE,0.116253,percent,2019.0
4,Health,Prevalence of COVID-19,C3_Cancel public events,Switzerland,CHE,402264.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,C3_Cancel public events,Switzerland,CHE,1.906641,score,2019.0
6,Health,"Incidence of tuberculosis (per 100,000 people)",C3_Cancel public events,Switzerland,CHE,5.4,Cases,2019.0
7,Environment,Fossil fuel energy consumption,C3_Cancel public events,Switzerland,CHE,50.16823,percent of total,2015.0
8,Health,Prevalence of anxiety disorders,C3_Cancel public events,Switzerland,CHE,0.075598,percent,2019.0
9,Demographics,Fixed broadband subscriptions,C3_Cancel public events,Switzerland,CHE,45.2082,per 100 people,2019.0
10,Governance,Economic Freedom Score,C3_Cancel public events,Switzerland,CHE,8.43,score,2018.0
11,Environment,Renewable energy consumption ,C3_Cancel public events,Switzerland,CHE,25.2919836825127,percent of total final energy consumption,2015.0
12,Governance,Government effectiveness estimate,C3_Cancel public events,Switzerland,CHE,1.95212,score,2019.0
13,Health,Prevalence of Diabetes,C3_Cancel public events,Switzerland,CHE,0.086262,percent,2019.0
14,Environment,"Energy imports, net ",C3_Cancel public events,Switzerland,CHE,50.08899720596332,percent of energy use,2015.0
16,Social issues ,Net migration,C3_Cancel public events,Switzerland,CHE,259999.0,net total / data are 5 year estimates,2019.0
18,Environment,Electricity production from coal sources ,C3_Cancel public events,Switzerland,CHE,0.0,percent of total,2015.0
19,Demographics,Secure Internet servers ,C3_Cancel public events,Switzerland,CHE,95788.23235254055,per 1 million people,2019.0
20,Health,Prevalence of Hypertensive heart disease,C3_Cancel public events,Switzerland,CHE,0.002014,percent,2019.0
21,Health,Prevalence of Depressive disorders,C3_Cancel public events,Switzerland,CHE,0.047157,percent,2019.0
22,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C3_Cancel public events,Switzerland,CHE,3.7,percent,2018.0
23,Economics,Volume of exports,C3_Cancel public events,Switzerland,CHE,4.137,percent change,2020.0
24,Environment,Combustible renewables and waste,C3_Cancel public events,Switzerland,CHE,3.871722,percent of total energy,2015.0
26,Health,Prevalence of down syndrome,C3_Cancel public events,Switzerland,CHE,0.000533,percent,2019.0
27,Economics,"Central government debt, total",C3_Cancel public events,Switzerland,CHE,19.73491354964092,percent of GDP,2016.0
28,Governance,Fragile States Index Total ,C3_Cancel public events,Switzerland,CHE,17.094085702623488,score,2020.0
29,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C3_Cancel public events,Switzerland,CHE,49.3001362303515,percent of total,2017.0
30,Environment,"Electricity production from oil, gas and coal sources",C3_Cancel public events,Switzerland,CHE,1.069640074436056,percent of total,2015.0
31,Economics,Employment in services (% of total employment) (modeled ILO estimate),C3_Cancel public events,Switzerland,CHE,77.1600037,Percentage of total employment,2020.0
32,Demographics,Mobile cellular subscriptions,C3_Cancel public events,Switzerland,CHE,127.189,per 100 people,2019.0
33,Health,Prevalence of chronic kidney disease,C3_Cancel public events,Switzerland,CHE,0.114368,percent,2019.0
34,Governance,Personal Freedom Score ,C3_Cancel public events,Switzerland,CHE,9.2,score,2018.0
35,Environment,Electric power consumption ,C3_Cancel public events,Switzerland,CHE,7520.166024945019,kWh per capita,2014.0
36,Environment,"Adjusted net savings, including particulate emission damage",C3_Cancel public events,Switzerland,CHE,16.9307076712283,percent of GNI,2018.0
37,Health,"Nurses and midwives (per 1,000 people)",C3_Cancel public events,Switzerland,CHE,17.5357,Ones,2017.0
38,Health,"Physicians (per 1,000 people)",C3_Cancel public events,Switzerland,CHE,4.2957,Ones,2017.0
39,Health,"Prevalence of HIV, total (% of population ages 15-49)",C3_Cancel public events,Switzerland,CHE,0.2,percent,2019.0
