rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C3_Cancel public events,Congo,COG,8.65,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C3_Cancel public events,Congo,COG,17000.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,C3_Cancel public events,Congo,COG,0.339651,percent,2019.0
4,Health,Prevalence of COVID-19,C3_Cancel public events,Congo,COG,6200.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,C3_Cancel public events,Congo,COG,-1.149709,score,2019.0
6,Health,"Incidence of tuberculosis (per 100,000 people)",C3_Cancel public events,Congo,COG,373.0,Cases,2019.0
7,Environment,Fossil fuel energy consumption,C3_Cancel public events,Congo,COG,40.4806,percent of total,2014.0
8,Health,Prevalence of anxiety disorders,C3_Cancel public events,Congo,COG,0.035918,percent,2019.0
9,Demographics,Fixed broadband subscriptions,C3_Cancel public events,Congo,COG,0.0105553,per 100 people,2019.0
10,Governance,Economic Freedom Score,C3_Cancel public events,Congo,COG,5.03,score,2018.0
11,Environment,Renewable energy consumption ,C3_Cancel public events,Congo,COG,62.4021190190415,percent of total final energy consumption,2015.0
12,Governance,Government effectiveness estimate,C3_Cancel public events,Congo,COG,-1.387707,score,2019.0
13,Health,Prevalence of Diabetes,C3_Cancel public events,Congo,COG,0.036093,percent,2019.0
14,Environment,"Energy imports, net ",C3_Cancel public events,Congo,COG,-496.5979012317964,percent of energy use,2014.0
16,Social issues ,Net migration,C3_Cancel public events,Congo,COG,-20000.0,net total / data are 5 year estimates,2019.0
17,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C3_Cancel public events,Congo,COG,5.1,percent,2020.0
18,Environment,Electricity production from coal sources ,C3_Cancel public events,Congo,COG,0.0,percent of total,2015.0
19,Demographics,Secure Internet servers ,C3_Cancel public events,Congo,COG,6.133249871573465,per 1 million people,2019.0
20,Health,Prevalence of Hypertensive heart disease,C3_Cancel public events,Congo,COG,0.000673,percent,2019.0
21,Health,Prevalence of Depressive disorders,C3_Cancel public events,Congo,COG,0.048069,percent,2019.0
22,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C3_Cancel public events,Congo,COG,0.8,percent,2018.0
23,Economics,Volume of exports,C3_Cancel public events,Congo,COG,-1.004,percent change,2020.0
24,Environment,Combustible renewables and waste,C3_Cancel public events,Congo,COG,45.74898,percent of total energy,2014.0
25,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C3_Cancel public events,Congo,COG,18.0,percent,2020.0
26,Health,Prevalence of down syndrome,C3_Cancel public events,Congo,COG,0.000165,percent,2019.0
28,Governance,Fragile States Index Total ,C3_Cancel public events,Congo,COG,92.06819972980338,score,2020.0
29,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C3_Cancel public events,Congo,COG,100.0,percent of total,2017.0
30,Environment,"Electricity production from oil, gas and coal sources",C3_Cancel public events,Congo,COG,46.65513264129181,percent of total,2015.0
31,Economics,Employment in services (% of total employment) (modeled ILO estimate),C3_Cancel public events,Congo,COG,44.4780006,Percentage of total employment,2020.0
32,Demographics,Mobile cellular subscriptions,C3_Cancel public events,Congo,COG,95.3405,per 100 people,2019.0
33,Health,Prevalence of chronic kidney disease,C3_Cancel public events,Congo,COG,0.04374,percent,2019.0
34,Governance,Personal Freedom Score ,C3_Cancel public events,Congo,COG,5.99,score,2018.0
35,Environment,Electric power consumption ,C3_Cancel public events,Congo,COG,202.8721289160549,kWh per capita,2014.0
36,Environment,"Adjusted net savings, including particulate emission damage",C3_Cancel public events,Congo,COG,-39.8500005208172,percent of GNI,2016.0
37,Health,"Nurses and midwives (per 1,000 people)",C3_Cancel public events,Congo,COG,0.6271,Ones,2018.0
39,Health,"Prevalence of HIV, total (% of population ages 15-49)",C3_Cancel public events,Congo,COG,3.1,percent,2019.0
