rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C3_Cancel public events,Egypt,EGY,57.2829,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C3_Cancel public events,Egypt,EGY,8760440.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,C3_Cancel public events,Egypt,EGY,0.31957,percent,2019.0
4,Health,Prevalence of COVID-19,C3_Cancel public events,Egypt,EGY,124280.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,C3_Cancel public events,Egypt,EGY,-0.420846,score,2019.0
6,Health,"Incidence of tuberculosis (per 100,000 people)",C3_Cancel public events,Egypt,EGY,12.0,Cases,2019.0
7,Environment,Fossil fuel energy consumption,C3_Cancel public events,Egypt,EGY,97.92893,percent of total,2014.0
8,Health,Prevalence of anxiety disorders,C3_Cancel public events,Egypt,EGY,0.048597,percent,2019.0
9,Demographics,Fixed broadband subscriptions,C3_Cancel public events,Egypt,EGY,7.56957,per 100 people,2019.0
10,Governance,Economic Freedom Score,C3_Cancel public events,Egypt,EGY,5.38,score,2018.0
11,Environment,Renewable energy consumption ,C3_Cancel public events,Egypt,EGY,5.70937726460422,percent of total final energy consumption,2015.0
12,Governance,Government effectiveness estimate,C3_Cancel public events,Egypt,EGY,-0.4235377,score,2019.0
13,Health,Prevalence of Diabetes,C3_Cancel public events,Egypt,EGY,0.046813,percent,2019.0
14,Environment,"Energy imports, net ",C3_Cancel public events,Egypt,EGY,-7.391493975802161,percent of energy use,2014.0
16,Social issues ,Net migration,C3_Cancel public events,Egypt,EGY,-190164.0,net total / data are 5 year estimates,2019.0
17,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C3_Cancel public events,Egypt,EGY,17.8,percent,2020.0
18,Environment,Electricity production from coal sources ,C3_Cancel public events,Egypt,EGY,0.0,percent of total,2015.0
19,Demographics,Secure Internet servers ,C3_Cancel public events,Egypt,EGY,35.33288262242069,per 1 million people,2019.0
20,Health,Prevalence of Hypertensive heart disease,C3_Cancel public events,Egypt,EGY,0.00173,percent,2019.0
21,Health,Prevalence of Depressive disorders,C3_Cancel public events,Egypt,EGY,0.038731,percent,2019.0
22,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C3_Cancel public events,Egypt,EGY,1.4,percent,2018.0
23,Economics,Volume of exports,C3_Cancel public events,Egypt,EGY,8.151,percent change,2020.0
24,Environment,Combustible renewables and waste,C3_Cancel public events,Egypt,EGY,2.288711,percent of total energy,2014.0
25,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C3_Cancel public events,Egypt,EGY,22.3,percent,2020.0
26,Health,Prevalence of down syndrome,C3_Cancel public events,Egypt,EGY,0.000399,percent,2019.0
28,Governance,Fragile States Index Total ,C3_Cancel public events,Egypt,EGY,86.00613825029183,score,2020.0
29,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C3_Cancel public events,Egypt,EGY,100.0,percent of total,2017.0
30,Environment,"Electricity production from oil, gas and coal sources",C3_Cancel public events,Egypt,EGY,91.74071448589658,percent of total,2015.0
31,Economics,Employment in services (% of total employment) (modeled ILO estimate),C3_Cancel public events,Egypt,EGY,48.5509987,Percentage of total employment,2020.0
32,Demographics,Mobile cellular subscriptions,C3_Cancel public events,Egypt,EGY,94.9717,per 100 people,2019.0
33,Health,Prevalence of chronic kidney disease,C3_Cancel public events,Egypt,EGY,0.079929,percent,2019.0
34,Governance,Personal Freedom Score ,C3_Cancel public events,Egypt,EGY,3.95,score,2018.0
35,Environment,Electric power consumption ,C3_Cancel public events,Egypt,EGY,1683.213518295575,kWh per capita,2014.0
