rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C3_Cancel public events,Eritrea,ERI,1.30891,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C3_Cancel public events,Eritrea,ERI,66170.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,C3_Cancel public events,Eritrea,ERI,0.283104,percent,2019.0
4,Health,Prevalence of COVID-19,C3_Cancel public events,Eritrea,ERI,741.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,C3_Cancel public events,Eritrea,ERI,-1.595496,score,2019.0
6,Health,"Incidence of tuberculosis (per 100,000 people)",C3_Cancel public events,Eritrea,ERI,86.0,Cases,2019.0
7,Environment,Fossil fuel energy consumption,C3_Cancel public events,Eritrea,ERI,23.13345,percent of total,2014.0
8,Health,Prevalence of anxiety disorders,C3_Cancel public events,Eritrea,ERI,0.035396,percent,2019.0
9,Demographics,Fixed broadband subscriptions,C3_Cancel public events,Eritrea,ERI,0.0293007,per 100 people,2019.0
11,Environment,Renewable energy consumption ,C3_Cancel public events,Eritrea,ERI,79.767472303226,percent of total final energy consumption,2015.0
12,Governance,Government effectiveness estimate,C3_Cancel public events,Eritrea,ERI,-1.757369,score,2019.0
13,Health,Prevalence of Diabetes,C3_Cancel public events,Eritrea,ERI,0.020229,percent,2019.0
14,Environment,"Energy imports, net ",C3_Cancel public events,Eritrea,ERI,22.26723431845561,percent of energy use,2014.0
16,Social issues ,Net migration,C3_Cancel public events,Eritrea,ERI,-199290.0,net total / data are 5 year estimates,2019.0
17,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C3_Cancel public events,Eritrea,ERI,2.1,percent,2020.0
18,Environment,Electricity production from coal sources ,C3_Cancel public events,Eritrea,ERI,0.0,percent of total,2015.0
20,Health,Prevalence of Hypertensive heart disease,C3_Cancel public events,Eritrea,ERI,0.000818,percent,2019.0
21,Health,Prevalence of Depressive disorders,C3_Cancel public events,Eritrea,ERI,0.038467,percent,2019.0
22,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C3_Cancel public events,Eritrea,ERI,0.6,percent,2018.0
23,Economics,Volume of exports,C3_Cancel public events,Eritrea,ERI,0.863,percent change,2020.0
24,Environment,Combustible renewables and waste,C3_Cancel public events,Eritrea,ERI,53.22804,percent of total energy,2014.0
25,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C3_Cancel public events,Eritrea,ERI,49.1,percent,2020.0
26,Health,Prevalence of down syndrome,C3_Cancel public events,Eritrea,ERI,0.000146,percent,2019.0
28,Governance,Fragile States Index Total ,C3_Cancel public events,Eritrea,ERI,95.8442307280238,score,2020.0
29,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C3_Cancel public events,Eritrea,ERI,100.0,percent of total,2017.0
30,Environment,"Electricity production from oil, gas and coal sources",C3_Cancel public events,Eritrea,ERI,99.50738916256158,percent of total,2015.0
31,Economics,Employment in services (% of total employment) (modeled ILO estimate),C3_Cancel public events,Eritrea,ERI,30.7310009,Percentage of total employment,2020.0
32,Demographics,Mobile cellular subscriptions,C3_Cancel public events,Eritrea,ERI,20.364,per 100 people,2019.0
33,Health,Prevalence of chronic kidney disease,C3_Cancel public events,Eritrea,ERI,0.035557,percent,2019.0
37,Health,"Nurses and midwives (per 1,000 people)",C3_Cancel public events,Eritrea,ERI,1.4397,Ones,2018.0
38,Health,"Physicians (per 1,000 people)",C3_Cancel public events,Eritrea,ERI,0.0628,Ones,2016.0
39,Health,"Prevalence of HIV, total (% of population ages 15-49)",C3_Cancel public events,Eritrea,ERI,0.6,percent,2019.0
40,Governance,Voice and accountability estimate,C3_Cancel public events,Eritrea,ERI,-2.193209,score,2019.0
41,Environment,"Electricity production from renewable sources, excluding hydroelectric",C3_Cancel public events,Eritrea,ERI,2000000.0,kWh,2015.0
42,Health,"Immunization, measles (% of children ages 12-23 months)",C3_Cancel public events,Eritrea,ERI,99.0,percent,2019.0
43,Health,Summary exposure value tobacco,C3_Cancel public events,Eritrea,ERI,11.12714,Rate (risk-weighted prevalence),2019.0
44,Environment,Electricity production from oil sources,C3_Cancel public events,Eritrea,ERI,99.50738916256158,percent of total,2015.0
45,Environment,"PM2.5 air pollution, mean annual exposure",C3_Cancel public events,Eritrea,ERI,48.0302,micrograms per cubic meter,2017.0
49,Governance,Aggregate score for the Political Rights category,C3_Cancel public events,Eritrea,ERI,1.0,score,2021.0
50,Economics,Volume of imports,C3_Cancel public events,Eritrea,ERI,1.675,percent change,2020.0
52,Governance,Human Development Index,C3_Cancel public events,Eritrea,ERI,0.459,index,2019.0
54,Governance,Corruption Perceptions Index,C3_Cancel public events,Eritrea,ERI,21.0,score,2020.0
55,Governance,Control of corruption estimate,C3_Cancel public events,Eritrea,ERI,-1.394767,score,2019.0
