rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C3_Cancel public events,Greece,GRC,75.6712,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C3_Cancel public events,Greece,GRC,5001510.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,C3_Cancel public events,Greece,GRC,0.123363,percent,2019.0
4,Health,Prevalence of COVID-19,C3_Cancel public events,Greece,GRC,129584.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,C3_Cancel public events,Greece,GRC,0.198838,score,2019.0
6,Health,"Incidence of tuberculosis (per 100,000 people)",C3_Cancel public events,Greece,GRC,4.3,Cases,2019.0
7,Environment,Fossil fuel energy consumption,C3_Cancel public events,Greece,GRC,82.57464,percent of total,2015.0
8,Health,Prevalence of anxiety disorders,C3_Cancel public events,Greece,GRC,0.063919,percent,2019.0
9,Demographics,Fixed broadband subscriptions,C3_Cancel public events,Greece,GRC,39.3195,per 100 people,2019.0
10,Governance,Economic Freedom Score,C3_Cancel public events,Greece,GRC,6.71,score,2018.0
11,Environment,Renewable energy consumption ,C3_Cancel public events,Greece,GRC,17.170047546133,percent of total final energy consumption,2015.0
12,Governance,Government effectiveness estimate,C3_Cancel public events,Greece,GRC,0.4055903,score,2019.0
13,Health,Prevalence of Diabetes,C3_Cancel public events,Greece,GRC,0.094243,percent,2019.0
14,Environment,"Energy imports, net ",C3_Cancel public events,Greece,GRC,64.17554663878474,percent of energy use,2015.0
16,Social issues ,Net migration,C3_Cancel public events,Greece,GRC,-80000.0,net total / data are 5 year estimates,2019.0
17,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C3_Cancel public events,Greece,GRC,13.9,percent,2020.0
18,Environment,Electricity production from coal sources ,C3_Cancel public events,Greece,GRC,42.65948824823434,percent of total,2015.0
19,Demographics,Secure Internet servers ,C3_Cancel public events,Greece,GRC,6650.60269745534,per 1 million people,2019.0
20,Health,Prevalence of Hypertensive heart disease,C3_Cancel public events,Greece,GRC,0.00283,percent,2019.0
21,Health,Prevalence of Depressive disorders,C3_Cancel public events,Greece,GRC,0.065221,percent,2019.0
22,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C3_Cancel public events,Greece,GRC,4.0,percent,2018.0
23,Economics,Volume of exports,C3_Cancel public events,Greece,GRC,5.416,percent change,2020.0
24,Environment,Combustible renewables and waste,C3_Cancel public events,Greece,GRC,5.164537,percent of total energy,2015.0
25,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C3_Cancel public events,Greece,GRC,2.2,percent,2020.0
26,Health,Prevalence of down syndrome,C3_Cancel public events,Greece,GRC,0.000582,percent,2019.0
28,Governance,Fragile States Index Total ,C3_Cancel public events,Greece,GRC,52.14869722028766,score,2020.0
29,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C3_Cancel public events,Greece,GRC,99.9999999998588,percent of total,2017.0
30,Environment,"Electricity production from oil, gas and coal sources",C3_Cancel public events,Greece,GRC,71.12809231600478,percent of total,2015.0
31,Economics,Employment in services (% of total employment) (modeled ILO estimate),C3_Cancel public events,Greece,GRC,73.1230011,Percentage of total employment,2020.0
32,Demographics,Mobile cellular subscriptions,C3_Cancel public events,Greece,GRC,113.449,per 100 people,2019.0
33,Health,Prevalence of chronic kidney disease,C3_Cancel public events,Greece,GRC,0.146722,percent,2019.0
34,Governance,Personal Freedom Score ,C3_Cancel public events,Greece,GRC,8.04,score,2018.0
35,Environment,Electric power consumption ,C3_Cancel public events,Greece,GRC,5062.606421552323,kWh per capita,2014.0
36,Environment,"Adjusted net savings, including particulate emission damage",C3_Cancel public events,Greece,GRC,-1.72419681743416,percent of GNI,2018.0
37,Health,"Nurses and midwives (per 1,000 people)",C3_Cancel public events,Greece,GRC,3.6331,Ones,2017.0
38,Health,"Physicians (per 1,000 people)",C3_Cancel public events,Greece,GRC,5.4789,Ones,2017.0
40,Governance,Voice and accountability estimate,C3_Cancel public events,Greece,GRC,0.9357267,score,2019.0
41,Environment,"Electricity production from renewable sources, excluding hydroelectric",C3_Cancel public events,Greece,GRC,8752000000.0,kWh,2015.0
42,Health,"Immunization, measles (% of children ages 12-23 months)",C3_Cancel public events,Greece,GRC,97.0,percent,2019.0
43,Health,Summary exposure value tobacco,C3_Cancel public events,Greece,GRC,34.63954,Rate (risk-weighted prevalence),2019.0
44,Environment,Electricity production from oil sources,C3_Cancel public events,Greece,GRC,10.9277912855544,percent of total,2015.0
45,Environment,"PM2.5 air pollution, mean annual exposure",C3_Cancel public events,Greece,GRC,16.21827,micrograms per cubic meter,2017.0
49,Governance,Aggregate score for the Political Rights category,C3_Cancel public events,Greece,GRC,37.0,score,2021.0
50,Economics,Volume of imports,C3_Cancel public events,Greece,GRC,4.774,percent change,2020.0
51,Social issues ,"Intentional homicides (per 100,000 people)",C3_Cancel public events,Greece,GRC,0.94086394499,"proportion, pero 100,000 people",2018.0
