rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C3_Cancel public events,Hong Kong,HKG,91.7434,percent of population,2019.0
2,Demographics,People using at least basic sanitation services (% of population),C3_Cancel public events,Hong Kong,HKG,96.4362244897959,proportion,2017.0
3,Economics,Volume of exports,C3_Cancel public events,Hong Kong,HKG,2.981,percent change,2020.0
4,Governance,Regulatory quality estimate,C3_Cancel public events,Hong Kong,HKG,1.983408,score,2019.0
5,Governance,Aggregate score for the Political Rights category,C3_Cancel public events,Hong Kong,HKG,15.0,score,2021.0
7,Environment,CO2 emissions (kt),C3_Cancel public events,Hong Kong,HKG,43644.63,kt,2016.0
12,Environment,Electric power consumption ,C3_Cancel public events,Hong Kong,HKG,6083.2699356802,kWh per capita,2014.0
13,Social issues ,Net migration,C3_Cancel public events,Hong Kong,HKG,146542.0,net total / data are 5 year estimates,2019.0
14,Economics,Volume of imports,C3_Cancel public events,Hong Kong,HKG,3.062,percent change,2020.0
15,Demographics,Fixed broadband subscriptions,C3_Cancel public events,Hong Kong,HKG,37.4903,per 100 people,2019.0
18,Health,"Incidence of tuberculosis (per 100,000 people)",C3_Cancel public events,Hong Kong,HKG,63.0,Cases,2019.0
19,Demographics,Mobile cellular subscriptions,C3_Cancel public events,Hong Kong,HKG,288.533,per 100 people,2019.0
22,Governance,Serious assault (rate),C3_Cancel public events,Hong Kong,HKG,65.05,rate,2018.0
24,Environment,"Electricity production from oil, gas and coal sources",C3_Cancel public events,Hong Kong,HKG,99.72127267946358,percent of total,2015.0
25,Economics,Employment in services (% of total employment) (modeled ILO estimate),C3_Cancel public events,Hong Kong,HKG,88.310997,Percentage of total employment,2020.0
26,Demographics,Secure Internet servers ,C3_Cancel public events,Hong Kong,HKG,60546.12782055039,per 1 million people,2019.0
27,Social issues ,"Intentional homicides (per 100,000 people)",C3_Cancel public events,Hong Kong,HKG,0.65113634144,"proportion, pero 100,000 people",2018.0
29,Governance,Government effectiveness estimate,C3_Cancel public events,Hong Kong,HKG,1.741097,score,2019.0
33,Governance,Political stability and absence of violence/terrorism estimate,C3_Cancel public events,Hong Kong,HKG,-0.2677673,score,2019.0
35,Environment,Electricity production from coal sources ,C3_Cancel public events,Hong Kong,HKG,65.44044175650802,percent of total,2015.0
36,Environment,Combustible renewables and waste,C3_Cancel public events,Hong Kong,HKG,0.465027,percent of total energy,2014.0
37,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C3_Cancel public events,Hong Kong,HKG,59.6669998,Percentage of total population,2020.0
42,Governance,Human Freedom Score ,C3_Cancel public events,Hong Kong,HKG,8.74,score,2018.0
44,Demographics,Rural population (% of total population),C3_Cancel public events,Hong Kong,HKG,0.0,proportion,2019.0
45,Social issues ,Life Ladder ,C3_Cancel public events,Hong Kong,HKG,5.4766998291015625,score,2021.0
46,Environment,"Electricity production from renewable sources, excluding hydroelectric",C3_Cancel public events,Hong Kong,HKG,106000000.0,kWh,2015.0
47,Environment,"Energy imports, net ",C3_Cancel public events,Hong Kong,HKG,98.68032373470714,percent of energy use,2014.0
48,Environment,Energy use ,C3_Cancel public events,Hong Kong,HKG,34.96287574062381,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
49,Governance,Corruption Perceptions Index,C3_Cancel public events,Hong Kong,HKG,77.0,score,2020.0
51,Environment,CO2 emissions (metric tons per capita),C3_Cancel public events,Hong Kong,HKG,5.948891,metric tons per capita,2016.0
52,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C3_Cancel public events,Hong Kong,HKG,4.26499987,percent of total labor force,2020.0
53,Governance,Human Development Index,C3_Cancel public events,Hong Kong,HKG,0.949,index,2019.0
54,Governance,Control of corruption estimate,C3_Cancel public events,Hong Kong,HKG,1.672441,score,2019.0
55,Environment,Access to electricity ,C3_Cancel public events,Hong Kong,HKG,100.0,percent of population,2018.0
57,Environment,Energy use (kg of oil equivalent per capita),C3_Cancel public events,Hong Kong,HKG,1970.484127533024,kg of oil equivalent per capita,2014.0
59,Governance,Personal Freedom Score ,C3_Cancel public events,Hong Kong,HKG,8.53,score,2018.0
62,Demographics,Fixed telephone subscriptions,C3_Cancel public events,Hong Kong,HKG,4053510.0,number,2019.0
65,Environment,Fossil fuel energy consumption,C3_Cancel public events,Hong Kong,HKG,93.17288,percent of total,2014.0
66,Governance,Total freedom in the world score ,C3_Cancel public events,Hong Kong,HKG,52.0,score,2021.0
67,Governance,Rule of law estimate ,C3_Cancel public events,Hong Kong,HKG,1.604144,score,2019.0
68,Demographics,"Age dependency ratio, old (% of working-age population)",C3_Cancel public events,Hong Kong,HKG,24.9351548624315,proportion,2019.0
69,Demographics,Urban population (% of total population),C3_Cancel public events,Hong Kong,HKG,100.0,total,2019.0
71,Governance,Aggregate score for the Civil Liberties category,C3_Cancel public events,Hong Kong,HKG,37.0,score,2021.0
72,Demographics,Age dependency ratio (% of working-age population),C3_Cancel public events,Hong Kong,HKG,42.50080813223036,proportion,2019.0
73,Social issues ,"Primary completion rate, total (% of relevant age group)",C3_Cancel public events,Hong Kong,HKG,106.732749938965,proportion,2019.0
76,Economics,Stock market capitalization (US$ million),C3_Cancel public events,Hong Kong,HKG,4899234580000.0,US Dollar,2019.0
77,Environment,Renewable energy consumption ,C3_Cancel public events,Hong Kong,HKG,0.852783452322141,percent of total final energy consumption,2015.0
78,Governance,Voice and accountability estimate,C3_Cancel public events,Hong Kong,HKG,0.2093806,score,2019.0
81,Economics,"Trade, total as % of GDP",C3_Cancel public events,Hong Kong,HKG,293.01339,percent,2019.0
83,Social issues ,Press freedom score,C3_Cancel public events,Hong Kong,HKG,30.01,score,2020.0
84,Social issues ,Progression to secondary school (%),C3_Cancel public events,Hong Kong,HKG,99.93234,proportion,2017.0
89,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C3_Cancel public events,Hong Kong,HKG,53.6580009,Percentage of females of the total population,2020.0
90,Demographics,People using safely managed drinking water services (% of population),C3_Cancel public events,Hong Kong,HKG,100.0,proportion,2017.0
91,Economics,Expenditure on social protection (% of GDP),C3_Cancel public events,Hong Kong,HKG,3.43543,percent,2018.0
92,Economics,"Foreign direct investment, net",C3_Cancel public events,Hong Kong,HKG,53171228240.0,US Dollar,2019.0
93,Governance,Economic Freedom Score,C3_Cancel public events,Hong Kong,HKG,8.94,score,2018.0
94,Environment,Electricity production from nuclear sources ,C3_Cancel public events,Hong Kong,HKG,0.0,percent of total,2014.0
95,Environment,Electricity production from oil sources,C3_Cancel public events,Hong Kong,HKG,0.4917170654746253,percent of total,2015.0
97,Demographics,"Population, total",C3_Cancel public events,Hong Kong,HKG,7507400.0,total,2019.0
99,Economics,"International tourism, receipts",C3_Cancel public events,Hong Kong,HKG,29043000000.0,US Dollar,2019.0
101,Economics,"Lending interest rates, percent per annum",C3_Cancel public events,Hong Kong,HKG,5.04167,percent per annum,2018.0
103,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",C3_Cancel public events,Hong Kong,HKG,115045.1,international $ in PPP,2020.0
108,Economics,Expenditure on education (% of GDP),C3_Cancel public events,Hong Kong,HKG,3.99272,percent,2018.0
110,Economics,Expenditure on health (% of GDP),C3_Cancel public events,Hong Kong,HKG,3.01923,percent,2018.0
113,Demographics,Refugee population by country or territory of asylum,C3_Cancel public events,Hong Kong,HKG,128.0,proportion,2019.0
