rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C3_Cancel public events,Indonesia,IDN,47.6906,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C3_Cancel public events,Indonesia,IDN,9477140.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,C3_Cancel public events,Indonesia,IDN,0.402865,percent,2019.0
4,Health,Prevalence of COVID-19,C3_Cancel public events,Indonesia,IDN,650197.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,C3_Cancel public events,Indonesia,IDN,-0.3425302,score,2019.0
6,Health,"Incidence of tuberculosis (per 100,000 people)",C3_Cancel public events,Indonesia,IDN,312.0,Cases,2019.0
7,Environment,Fossil fuel energy consumption,C3_Cancel public events,Indonesia,IDN,66.08948,percent of total,2014.0
8,Health,Prevalence of anxiety disorders,C3_Cancel public events,Indonesia,IDN,0.038347,percent,2019.0
9,Demographics,Fixed broadband subscriptions,C3_Cancel public events,Indonesia,IDN,3.4778,per 100 people,2019.0
10,Governance,Economic Freedom Score,C3_Cancel public events,Indonesia,IDN,7.39,score,2018.0
11,Environment,Renewable energy consumption ,C3_Cancel public events,Indonesia,IDN,36.8793481032359,percent of total final energy consumption,2015.0
12,Governance,Government effectiveness estimate,C3_Cancel public events,Indonesia,IDN,0.1827407,score,2019.0
13,Health,Prevalence of Diabetes,C3_Cancel public events,Indonesia,IDN,0.041358,percent,2019.0
14,Environment,"Energy imports, net ",C3_Cancel public events,Indonesia,IDN,-103.0913295476628,percent of energy use,2014.0
15,Social issues ,"Primary completion rate, total (% of relevant age group)",C3_Cancel public events,Indonesia,IDN,102.334838867188,proportion,2018.0
16,Social issues ,Net migration,C3_Cancel public events,Indonesia,IDN,-494777.0,net total / data are 5 year estimates,2019.0
17,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C3_Cancel public events,Indonesia,IDN,11.1,percent,2020.0
18,Environment,Electricity production from coal sources ,C3_Cancel public events,Indonesia,IDN,55.77646334792122,percent of total,2015.0
19,Demographics,Secure Internet servers ,C3_Cancel public events,Indonesia,IDN,1683.846812286413,per 1 million people,2019.0
20,Health,Prevalence of Hypertensive heart disease,C3_Cancel public events,Indonesia,IDN,0.00335,percent,2019.0
21,Health,Prevalence of Depressive disorders,C3_Cancel public events,Indonesia,IDN,0.026338,percent,2019.0
22,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C3_Cancel public events,Indonesia,IDN,1.4,percent,2018.0
23,Economics,Volume of exports,C3_Cancel public events,Indonesia,IDN,9.012,percent change,2020.0
24,Environment,Combustible renewables and waste,C3_Cancel public events,Indonesia,IDN,24.79861,percent of total energy,2014.0
25,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C3_Cancel public events,Indonesia,IDN,31.8,percent,2020.0
26,Health,Prevalence of down syndrome,C3_Cancel public events,Indonesia,IDN,0.000317,percent,2019.0
27,Economics,"Central government debt, total",C3_Cancel public events,Indonesia,IDN,31.36619071477803,percent of GDP,2016.0
28,Governance,Fragile States Index Total ,C3_Cancel public events,Indonesia,IDN,67.84550475118697,score,2020.0
29,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C3_Cancel public events,Indonesia,IDN,95.5671472610627,percent of total,2017.0
30,Environment,"Electricity production from oil, gas and coal sources",C3_Cancel public events,Indonesia,IDN,89.3445705689278,percent of total,2015.0
31,Economics,Employment in services (% of total employment) (modeled ILO estimate),C3_Cancel public events,Indonesia,IDN,49.6230011,Percentage of total employment,2020.0
32,Demographics,Mobile cellular subscriptions,C3_Cancel public events,Indonesia,IDN,127.492,per 100 people,2019.0
33,Health,Prevalence of chronic kidney disease,C3_Cancel public events,Indonesia,IDN,0.103445,percent,2019.0
34,Governance,Personal Freedom Score ,C3_Cancel public events,Indonesia,IDN,6.74,score,2018.0
35,Environment,Electric power consumption ,C3_Cancel public events,Indonesia,IDN,811.9069049475848,kWh per capita,2014.0
36,Environment,"Adjusted net savings, including particulate emission damage",C3_Cancel public events,Indonesia,IDN,12.895292893467,percent of GNI,2018.0
37,Health,"Nurses and midwives (per 1,000 people)",C3_Cancel public events,Indonesia,IDN,2.4149,Ones,2018.0
38,Health,"Physicians (per 1,000 people)",C3_Cancel public events,Indonesia,IDN,0.4269,Ones,2018.0
40,Governance,Voice and accountability estimate,C3_Cancel public events,Indonesia,IDN,0.1563942,score,2019.0
41,Environment,"Electricity production from renewable sources, excluding hydroelectric",C3_Cancel public events,Indonesia,IDN,11181000000.0,kWh,2015.0
42,Health,"Immunization, measles (% of children ages 12-23 months)",C3_Cancel public events,Indonesia,IDN,88.0,percent,2019.0
43,Health,Summary exposure value tobacco,C3_Cancel public events,Indonesia,IDN,30.98733,Rate (risk-weighted prevalence),2019.0
44,Environment,Electricity production from oil sources,C3_Cancel public events,Indonesia,IDN,8.39801012035011,percent of total,2015.0
45,Environment,"PM2.5 air pollution, mean annual exposure",C3_Cancel public events,Indonesia,IDN,16.50265,micrograms per cubic meter,2017.0
46,Demographics,Age dependency ratio (% of working-age population),C3_Cancel public events,Indonesia,IDN,47.63508269396634,proportion,2019.0
