rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C3_Cancel public events,Iran (Islamic Republic of),IRN,70.0046,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C3_Cancel public events,Iran (Islamic Republic of),IRN,28954900.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,C3_Cancel public events,Iran (Islamic Republic of),IRN,0.319627,percent,2019.0
4,Health,Prevalence of COVID-19,C3_Cancel public events,Iran (Islamic Republic of),IRN,1145651.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,C3_Cancel public events,Iran (Islamic Republic of),IRN,-0.7493721,score,2019.0
6,Health,"Incidence of tuberculosis (per 100,000 people)",C3_Cancel public events,Iran (Islamic Republic of),IRN,13.0,Cases,2019.0
7,Environment,Fossil fuel energy consumption,C3_Cancel public events,Iran (Islamic Republic of),IRN,99.02258,percent of total,2014.0
8,Health,Prevalence of anxiety disorders,C3_Cancel public events,Iran (Islamic Republic of),IRN,0.078518,percent,2019.0
9,Demographics,Fixed broadband subscriptions,C3_Cancel public events,Iran (Islamic Republic of),IRN,10.4038,per 100 people,2019.0
10,Governance,Economic Freedom Score,C3_Cancel public events,Iran (Islamic Republic of),IRN,4.8,score,2018.0
11,Environment,Renewable energy consumption ,C3_Cancel public events,Iran (Islamic Republic of),IRN,0.913005056748309,percent of total final energy consumption,2015.0
12,Governance,Government effectiveness estimate,C3_Cancel public events,Iran (Islamic Republic of),IRN,-0.5535024,score,2019.0
13,Health,Prevalence of Diabetes,C3_Cancel public events,Iran (Islamic Republic of),IRN,0.066478,percent,2019.0
14,Environment,"Energy imports, net ",C3_Cancel public events,Iran (Islamic Republic of),IRN,-33.39527219269894,percent of energy use,2014.0
16,Social issues ,Net migration,C3_Cancel public events,Iran (Islamic Republic of),IRN,-274998.0,net total / data are 5 year estimates,2019.0
17,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C3_Cancel public events,Iran (Islamic Republic of),IRN,9.4,percent,2020.0
18,Environment,Electricity production from coal sources ,C3_Cancel public events,Iran (Islamic Republic of),IRN,0.1646278235275253,percent of total,2015.0
19,Demographics,Secure Internet servers ,C3_Cancel public events,Iran (Islamic Republic of),IRN,1035.073658211205,per 1 million people,2019.0
20,Health,Prevalence of Hypertensive heart disease,C3_Cancel public events,Iran (Islamic Republic of),IRN,0.003523,percent,2019.0
21,Health,Prevalence of Depressive disorders,C3_Cancel public events,Iran (Islamic Republic of),IRN,0.054799,percent,2019.0
22,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C3_Cancel public events,Iran (Islamic Republic of),IRN,4.0,percent,2018.0
23,Economics,Volume of exports,C3_Cancel public events,Iran (Islamic Republic of),IRN,4.348,percent change,2020.0
24,Environment,Combustible renewables and waste,C3_Cancel public events,Iran (Islamic Republic of),IRN,0.213015,percent of total energy,2014.0
25,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C3_Cancel public events,Iran (Islamic Republic of),IRN,6.3,percent,2020.0
26,Health,Prevalence of down syndrome,C3_Cancel public events,Iran (Islamic Republic of),IRN,0.000305,percent,2019.0
28,Governance,Fragile States Index Total ,C3_Cancel public events,Iran (Islamic Republic of),IRN,83.3866086520676,score,2020.0
29,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C3_Cancel public events,Iran (Islamic Republic of),IRN,100.0,percent of total,2017.0
30,Environment,"Electricity production from oil, gas and coal sources",C3_Cancel public events,Iran (Islamic Republic of),IRN,93.85674528654863,percent of total,2015.0
31,Economics,Employment in services (% of total employment) (modeled ILO estimate),C3_Cancel public events,Iran (Islamic Republic of),IRN,51.8590012,Percentage of total employment,2020.0
