rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C3_Cancel public events,Israel,ISR,86.7879,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C3_Cancel public events,Israel,ISR,3040000.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,C3_Cancel public events,Israel,ISR,0.125945,percent,2019.0
4,Health,Prevalence of COVID-19,C3_Cancel public events,Israel,ISR,362861.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,C3_Cancel public events,Israel,ISR,1.04759,score,2019.0
6,Health,"Incidence of tuberculosis (per 100,000 people)",C3_Cancel public events,Israel,ISR,2.9,Cases,2019.0
7,Environment,Fossil fuel energy consumption,C3_Cancel public events,Israel,ISR,97.38212,percent of total,2015.0
8,Health,Prevalence of anxiety disorders,C3_Cancel public events,Israel,ISR,0.040109,percent,2019.0
9,Demographics,Fixed broadband subscriptions,C3_Cancel public events,Israel,ISR,29.1218,per 100 people,2019.0
10,Governance,Economic Freedom Score,C3_Cancel public events,Israel,ISR,7.62,score,2018.0
11,Environment,Renewable energy consumption ,C3_Cancel public events,Israel,ISR,3.70776691254672,percent of total final energy consumption,2015.0
12,Governance,Government effectiveness estimate,C3_Cancel public events,Israel,ISR,1.325652,score,2019.0
13,Health,Prevalence of Diabetes,C3_Cancel public events,Israel,ISR,0.063931,percent,2019.0
14,Environment,"Energy imports, net ",C3_Cancel public events,Israel,ISR,64.96736332553556,percent of energy use,2015.0
16,Social issues ,Net migration,C3_Cancel public events,Israel,ISR,50002.0,net total / data are 5 year estimates,2019.0
18,Environment,Electricity production from coal sources ,C3_Cancel public events,Israel,ISR,45.40373057640208,percent of total,2015.0
19,Demographics,Secure Internet servers ,C3_Cancel public events,Israel,ISR,11115.72575745861,per 1 million people,2019.0
20,Health,Prevalence of Hypertensive heart disease,C3_Cancel public events,Israel,ISR,0.000597,percent,2019.0
21,Health,Prevalence of Depressive disorders,C3_Cancel public events,Israel,ISR,0.045451,percent,2019.0
22,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C3_Cancel public events,Israel,ISR,4.9,percent,2018.0
23,Economics,Volume of exports,C3_Cancel public events,Israel,ISR,3.408,percent change,2020.0
24,Environment,Combustible renewables and waste,C3_Cancel public events,Israel,ISR,0.037734,percent of total energy,2015.0
26,Health,Prevalence of down syndrome,C3_Cancel public events,Israel,ISR,0.000641,percent,2019.0
28,Governance,Fragile States Index Total ,C3_Cancel public events,Israel,ISR,75.1239717239818,score,2020.0
