rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C3_Cancel public events,Mauritania,MRT,20.801,percent of population,2019.0
3,Economics,Volume of exports,C3_Cancel public events,Mauritania,MRT,2.82,percent change,2020.0
4,Governance,Regulatory quality estimate,C3_Cancel public events,Mauritania,MRT,-0.7593397,score,2019.0
5,Governance,Aggregate score for the Political Rights category,C3_Cancel public events,Mauritania,MRT,14.0,score,2021.0
6,Health,Prevalence of COVID-19,C3_Cancel public events,Mauritania,MRT,10971.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Environment,CO2 emissions (kt),C3_Cancel public events,Mauritania,MRT,2739.249,kt,2016.0
9,Health,"Physicians (per 1,000 people)",C3_Cancel public events,Mauritania,MRT,0.1865,Ones,2018.0
10,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C3_Cancel public events,Mauritania,MRT,2.7,percent,2020.0
11,Health,Prevalence of down syndrome,C3_Cancel public events,Mauritania,MRT,0.000166,percent,2019.0
13,Social issues ,Net migration,C3_Cancel public events,Mauritania,MRT,25002.0,net total / data are 5 year estimates,2019.0
14,Economics,Volume of imports,C3_Cancel public events,Mauritania,MRT,3.563,percent change,2020.0
15,Demographics,Fixed broadband subscriptions,C3_Cancel public events,Mauritania,MRT,0.238969,per 100 people,2019.0
16,Health,Prevalence of anxiety disorders,C3_Cancel public events,Mauritania,MRT,0.027164,percent,2019.0
17,Health,Prevalence of Hypertensive heart disease,C3_Cancel public events,Mauritania,MRT,0.001208,percent,2019.0
18,Health,"Incidence of tuberculosis (per 100,000 people)",C3_Cancel public events,Mauritania,MRT,89.0,Cases,2019.0
19,Demographics,Mobile cellular subscriptions,C3_Cancel public events,Mauritania,MRT,104.09,per 100 people,2019.0
20,Health,"Immunization, measles (% of children ages 12-23 months)",C3_Cancel public events,Mauritania,MRT,78.0,percent,2019.0
21,Health,"Nurses and midwives (per 1,000 people)",C3_Cancel public events,Mauritania,MRT,0.9252,Ones,2018.0
23,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C3_Cancel public events,Mauritania,MRT,1.6,percent,2018.0
25,Economics,Employment in services (% of total employment) (modeled ILO estimate),C3_Cancel public events,Mauritania,MRT,36.2739983,Percentage of total employment,2020.0
26,Demographics,Secure Internet servers ,C3_Cancel public events,Mauritania,MRT,7.291696128065165,per 1 million people,2019.0
29,Governance,Government effectiveness estimate,C3_Cancel public events,Mauritania,MRT,-0.4982125,score,2019.0
30,Health,Summary exposure value tobacco,C3_Cancel public events,Mauritania,MRT,13.97411,Rate (risk-weighted prevalence),2019.0
32,Health,Prevalence of Respiratory infections and tuberculosis,C3_Cancel public events,Mauritania,MRT,0.213634,percent,2019.0
33,Governance,Political stability and absence of violence/terrorism estimate,C3_Cancel public events,Mauritania,MRT,-0.5422166,score,2019.0
37,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C3_Cancel public events,Mauritania,MRT,45.894001,Percentage of total population,2020.0
39,Social issues ,Proportion of seats held by women in national parliaments (%),C3_Cancel public events,Mauritania,MRT,20.26143791,proportion,2020.0
40,Environment,"Adjusted net savings, including particulate emission damage",C3_Cancel public events,Mauritania,MRT,14.7678158706605,percent of GNI,2018.0
