rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C3_Cancel public events,Malawi,MWI,13.7822,percent of population,2019.0
3,Economics,Volume of exports,C3_Cancel public events,Malawi,MWI,8.008,percent change,2020.0
4,Governance,Regulatory quality estimate,C3_Cancel public events,Malawi,MWI,-0.7011955,score,2019.0
5,Governance,Aggregate score for the Political Rights category,C3_Cancel public events,Malawi,MWI,29.0,score,2021.0
6,Health,Prevalence of COVID-19,C3_Cancel public events,Malawi,MWI,6148.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Environment,CO2 emissions (kt),C3_Cancel public events,Malawi,MWI,1298.118,kt,2016.0
9,Health,"Physicians (per 1,000 people)",C3_Cancel public events,Malawi,MWI,0.0358,Ones,2018.0
10,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C3_Cancel public events,Malawi,MWI,4.7,percent,2020.0
11,Health,Prevalence of down syndrome,C3_Cancel public events,Malawi,MWI,0.00018,percent,2019.0
13,Social issues ,Net migration,C3_Cancel public events,Malawi,MWI,-80263.0,net total / data are 5 year estimates,2019.0
14,Economics,Volume of imports,C3_Cancel public events,Malawi,MWI,5.604,percent change,2020.0
15,Demographics,Fixed broadband subscriptions,C3_Cancel public events,Malawi,MWI,0.0609703,per 100 people,2019.0
16,Health,Prevalence of anxiety disorders,C3_Cancel public events,Malawi,MWI,0.035406,percent,2019.0
17,Health,Prevalence of Hypertensive heart disease,C3_Cancel public events,Malawi,MWI,0.001044,percent,2019.0
18,Health,"Incidence of tuberculosis (per 100,000 people)",C3_Cancel public events,Malawi,MWI,146.0,Cases,2019.0
19,Demographics,Mobile cellular subscriptions,C3_Cancel public events,Malawi,MWI,47.7811,per 100 people,2019.0
20,Health,"Immunization, measles (% of children ages 12-23 months)",C3_Cancel public events,Malawi,MWI,92.0,percent,2019.0
21,Health,"Nurses and midwives (per 1,000 people)",C3_Cancel public events,Malawi,MWI,0.4386,Ones,2018.0
23,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C3_Cancel public events,Malawi,MWI,2.7,percent,2018.0
25,Economics,Employment in services (% of total employment) (modeled ILO estimate),C3_Cancel public events,Malawi,MWI,43.0180016,Percentage of total employment,2020.0
