rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C3_Cancel public events,Netherlands,NLD,93.2886,percent of population,2019.0
3,Economics,Volume of exports,C3_Cancel public events,Netherlands,NLD,2.5,percent change,2020.0
4,Governance,Regulatory quality estimate,C3_Cancel public events,Netherlands,NLD,1.861079,score,2019.0
5,Governance,Aggregate score for the Political Rights category,C3_Cancel public events,Netherlands,NLD,40.0,score,2021.0
6,Health,Prevalence of COVID-19,C3_Cancel public events,Netherlands,NLD,664307.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Environment,CO2 emissions (kt),C3_Cancel public events,Netherlands,NLD,170779.5,kt,2016.0
9,Health,"Physicians (per 1,000 people)",C3_Cancel public events,Netherlands,NLD,3.6054,Ones,2017.0
10,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C3_Cancel public events,Netherlands,NLD,5.0,percent,2020.0
11,Health,Prevalence of down syndrome,C3_Cancel public events,Netherlands,NLD,0.000594,percent,2019.0
12,Environment,Electric power consumption ,C3_Cancel public events,Netherlands,NLD,6712.774758245,kWh per capita,2014.0
13,Social issues ,Net migration,C3_Cancel public events,Netherlands,NLD,80000.0,net total / data are 5 year estimates,2019.0
14,Economics,Volume of imports,C3_Cancel public events,Netherlands,NLD,3.371,percent change,2020.0
15,Demographics,Fixed broadband subscriptions,C3_Cancel public events,Netherlands,NLD,43.6272,per 100 people,2019.0
16,Health,Prevalence of anxiety disorders,C3_Cancel public events,Netherlands,NLD,0.076432,percent,2019.0
17,Health,Prevalence of Hypertensive heart disease,C3_Cancel public events,Netherlands,NLD,0.000867,percent,2019.0
18,Health,"Incidence of tuberculosis (per 100,000 people)",C3_Cancel public events,Netherlands,NLD,5.0,Cases,2019.0
19,Demographics,Mobile cellular subscriptions,C3_Cancel public events,Netherlands,NLD,127.285,per 100 people,2019.0
20,Health,"Immunization, measles (% of children ages 12-23 months)",C3_Cancel public events,Netherlands,NLD,94.0,percent,2019.0
21,Health,"Nurses and midwives (per 1,000 people)",C3_Cancel public events,Netherlands,NLD,11.1839,Ones,2017.0
22,Governance,Serious assault (rate),C3_Cancel public events,Netherlands,NLD,26.82,rate,2018.0
23,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C3_Cancel public events,Netherlands,NLD,6.5,percent,2018.0
24,Environment,"Electricity production from oil, gas and coal sources",C3_Cancel public events,Netherlands,NLD,82.23312437539747,percent of total,2015.0
25,Economics,Employment in services (% of total employment) (modeled ILO estimate),C3_Cancel public events,Netherlands,NLD,82.1949997,Percentage of total employment,2020.0
26,Demographics,Secure Internet servers ,C3_Cancel public events,Netherlands,NLD,130369.8468514988,per 1 million people,2019.0
27,Social issues ,"Intentional homicides (per 100,000 people)",C3_Cancel public events,Netherlands,NLD,0.58618158968,"proportion, pero 100,000 people",2018.0
29,Governance,Government effectiveness estimate,C3_Cancel public events,Netherlands,NLD,1.798008,score,2019.0
30,Health,Summary exposure value tobacco,C3_Cancel public events,Netherlands,NLD,24.37812,Rate (risk-weighted prevalence),2019.0
31,Social issues ,Proportion of women in managerial positions (%),C3_Cancel public events,Netherlands,NLD,25.66,percent,2018.0
32,Health,Prevalence of Respiratory infections and tuberculosis,C3_Cancel public events,Netherlands,NLD,0.115252,percent,2019.0
33,Governance,Political stability and absence of violence/terrorism estimate,C3_Cancel public events,Netherlands,NLD,0.8572519,score,2019.0
35,Environment,Electricity production from coal sources ,C3_Cancel public events,Netherlands,NLD,38.65358408285636,percent of total,2015.0
36,Environment,Combustible renewables and waste,C3_Cancel public events,Netherlands,NLD,1.612769,percent of total energy,2015.0
37,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C3_Cancel public events,Netherlands,NLD,63.3880005,Percentage of total population,2020.0
39,Social issues ,Proportion of seats held by women in national parliaments (%),C3_Cancel public events,Netherlands,NLD,33.33333333,proportion,2020.0
