rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C3_Cancel public events,Nauru,NRU,57.0,percent of population,2019.0
2,Demographics,People using at least basic sanitation services (% of population),C3_Cancel public events,Nauru,NRU,65.5955264252888,proportion,2017.0
4,Governance,Regulatory quality estimate,C3_Cancel public events,Nauru,NRU,-0.0331936,score,2019.0
5,Governance,Aggregate score for the Political Rights category,C3_Cancel public events,Nauru,NRU,34.0,score,2021.0
6,Health,Prevalence of COVID-19,C3_Cancel public events,Nauru,NRU,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Environment,CO2 emissions (kt),C3_Cancel public events,Nauru,NRU,47.671,kt,2016.0
9,Health,"Physicians (per 1,000 people)",C3_Cancel public events,Nauru,NRU,1.3462,Ones,2015.0
10,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C3_Cancel public events,Nauru,NRU,3.7,percent,2020.0
11,Health,Prevalence of down syndrome,C3_Cancel public events,Nauru,NRU,0.000177,percent,2019.0
15,Demographics,Fixed broadband subscriptions,C3_Cancel public events,Nauru,NRU,9.49525,per 100 people,2019.0
16,Health,Prevalence of anxiety disorders,C3_Cancel public events,Nauru,NRU,0.040022,percent,2019.0
17,Health,Prevalence of Hypertensive heart disease,C3_Cancel public events,Nauru,NRU,0.000843,percent,2019.0
18,Health,"Incidence of tuberculosis (per 100,000 people)",C3_Cancel public events,Nauru,NRU,182.0,Cases,2019.0
19,Demographics,Mobile cellular subscriptions,C3_Cancel public events,Nauru,NRU,94.5805,per 100 people,2019.0
20,Health,"Immunization, measles (% of children ages 12-23 months)",C3_Cancel public events,Nauru,NRU,95.0,percent,2019.0
21,Health,"Nurses and midwives (per 1,000 people)",C3_Cancel public events,Nauru,NRU,7.6636,Ones,2018.0
23,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C3_Cancel public events,Nauru,NRU,7.9,percent,2018.0
26,Demographics,Secure Internet servers ,C3_Cancel public events,Nauru,NRU,78.71536523929471,per 1 million people,2018.0
29,Governance,Government effectiveness estimate,C3_Cancel public events,Nauru,NRU,-0.1294804,score,2019.0
30,Health,Summary exposure value tobacco,C3_Cancel public events,Nauru,NRU,27.73674,Rate (risk-weighted prevalence),2019.0
32,Health,Prevalence of Respiratory infections and tuberculosis,C3_Cancel public events,Nauru,NRU,0.359862,percent,2019.0
33,Governance,Political stability and absence of violence/terrorism estimate,C3_Cancel public events,Nauru,NRU,0.8625854,score,2019.0
39,Social issues ,Proportion of seats held by women in national parliaments (%),C3_Cancel public events,Nauru,NRU,10.52631579,proportion,2020.0
41,Health,Prevalence of chronic kidney disease,C3_Cancel public events,Nauru,NRU,0.078973,percent,2019.0
43,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C3_Cancel public events,Nauru,NRU,15.0,percent,2020.0
44,Demographics,Rural population (% of total population),C3_Cancel public events,Nauru,NRU,0.0,proportion,2019.0
51,Environment,CO2 emissions (metric tons per capita),C3_Cancel public events,Nauru,NRU,3.65323,metric tons per capita,2016.0
54,Governance,Control of corruption estimate,C3_Cancel public events,Nauru,NRU,-0.4493027,score,2019.0
55,Environment,Access to electricity ,C3_Cancel public events,Nauru,NRU,99.8389739990234,percent of population,2018.0
61,Health,Prevalence of Depressive disorders,C3_Cancel public events,Nauru,NRU,0.02806,percent,2019.0
62,Demographics,Fixed telephone subscriptions,C3_Cancel public events,Nauru,NRU,0.0,number,2019.0
64,Health,Prevalence of obesity,C3_Cancel public events,Nauru,NRU,61.0,percent,2016.0
66,Governance,Total freedom in the world score ,C3_Cancel public events,Nauru,NRU,77.0,score,2021.0
67,Governance,Rule of law estimate ,C3_Cancel public events,Nauru,NRU,-0.7636908,score,2019.0
69,Demographics,Urban population (% of total population),C3_Cancel public events,Nauru,NRU,100.0,total,2019.0
70,Health,"Immunization, DPT (% of children ages 12-23 months)",C3_Cancel public events,Nauru,NRU,96.0,percent,2019.0
71,Governance,Aggregate score for the Civil Liberties category,C3_Cancel public events,Nauru,NRU,43.0,score,2021.0
73,Social issues ,"Primary completion rate, total (% of relevant age group)",C3_Cancel public events,Nauru,NRU,116.877639770508,proportion,2019.0
75,Health,Prevalence of total cancers,C3_Cancel public events,Nauru,NRU,0.006206,percent,2019.0
77,Environment,Renewable energy consumption ,C3_Cancel public events,Nauru,NRU,0.0762903659245616,percent of total final energy consumption,2015.0
78,Governance,Voice and accountability estimate,C3_Cancel public events,Nauru,NRU,0.6284045,score,2019.0
79,Health,Mortality due to COVID-19,C3_Cancel public events,Nauru,NRU,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
81,Economics,"Trade, total as % of GDP",C3_Cancel public events,Nauru,NRU,54.32547,percent,2019.0
92,Economics,"Foreign direct investment, net",C3_Cancel public events,Nauru,NRU,0.0,US Dollar,2018.0
96,Health,Prevalence of Diabetes,C3_Cancel public events,Nauru,NRU,0.071342,percent,2019.0
97,Demographics,"Population, total",C3_Cancel public events,Nauru,NRU,12581.0,total,2019.0
99,Economics,"International tourism, receipts",C3_Cancel public events,Nauru,NRU,3900000.0,US Dollar,2017.0
113,Demographics,Refugee population by country or territory of asylum,C3_Cancel public events,Nauru,NRU,755.0,proportion,2019.0
