rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C3_Cancel public events,Poland,POL,84.5165,percent of population,2019.0
3,Economics,Volume of exports,C3_Cancel public events,Poland,POL,5.095,percent change,2020.0
4,Governance,Regulatory quality estimate,C3_Cancel public events,Poland,POL,1.014124,score,2019.0
5,Governance,Aggregate score for the Political Rights category,C3_Cancel public events,Poland,POL,34.0,score,2021.0
6,Health,Prevalence of COVID-19,C3_Cancel public events,Poland,POL,1194110.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Environment,CO2 emissions (kt),C3_Cancel public events,Poland,POL,299036.5,kt,2016.0
9,Health,"Physicians (per 1,000 people)",C3_Cancel public events,Poland,POL,2.3788,Ones,2017.0
10,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C3_Cancel public events,Poland,POL,6.7,percent,2020.0
11,Health,Prevalence of down syndrome,C3_Cancel public events,Poland,POL,0.000235,percent,2019.0
12,Environment,Electric power consumption ,C3_Cancel public events,Poland,POL,3971.799761310553,kWh per capita,2014.0
13,Social issues ,Net migration,C3_Cancel public events,Poland,POL,-146976.0,net total / data are 5 year estimates,2019.0
14,Economics,Volume of imports,C3_Cancel public events,Poland,POL,6.222,percent change,2020.0
15,Demographics,Fixed broadband subscriptions,C3_Cancel public events,Poland,POL,20.5808,per 100 people,2019.0
16,Health,Prevalence of anxiety disorders,C3_Cancel public events,Poland,POL,0.036664,percent,2019.0
17,Health,Prevalence of Hypertensive heart disease,C3_Cancel public events,Poland,POL,0.003923,percent,2019.0
18,Health,"Incidence of tuberculosis (per 100,000 people)",C3_Cancel public events,Poland,POL,15.0,Cases,2019.0
19,Demographics,Mobile cellular subscriptions,C3_Cancel public events,Poland,POL,137.955,per 100 people,2019.0
20,Health,"Immunization, measles (% of children ages 12-23 months)",C3_Cancel public events,Poland,POL,93.0,percent,2019.0
21,Health,"Nurses and midwives (per 1,000 people)",C3_Cancel public events,Poland,POL,6.8926,Ones,2018.0
22,Governance,Serious assault (rate),C3_Cancel public events,Poland,POL,17.43,rate,2018.0
23,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C3_Cancel public events,Poland,POL,4.5,percent,2018.0
24,Environment,"Electricity production from oil, gas and coal sources",C3_Cancel public events,Poland,POL,86.08137957052713,percent of total,2015.0
25,Economics,Employment in services (% of total employment) (modeled ILO estimate),C3_Cancel public events,Poland,POL,59.1030006,Percentage of total employment,2020.0
26,Demographics,Secure Internet servers ,C3_Cancel public events,Poland,POL,20603.13386518309,per 1 million people,2019.0
27,Social issues ,"Intentional homicides (per 100,000 people)",C3_Cancel public events,Poland,POL,0.73045470014,"proportion, pero 100,000 people",2018.0
29,Governance,Government effectiveness estimate,C3_Cancel public events,Poland,POL,0.6016292,score,2019.0
30,Health,Summary exposure value tobacco,C3_Cancel public events,Poland,POL,27.35025,Rate (risk-weighted prevalence),2019.0
31,Social issues ,Proportion of women in managerial positions (%),C3_Cancel public events,Poland,POL,42.5,percent,2018.0
32,Health,Prevalence of Respiratory infections and tuberculosis,C3_Cancel public events,Poland,POL,0.214582,percent,2019.0
33,Governance,Political stability and absence of violence/terrorism estimate,C3_Cancel public events,Poland,POL,0.5215149,score,2019.0
35,Environment,Electricity production from coal sources ,C3_Cancel public events,Poland,POL,80.90616462112315,percent of total,2015.0
36,Environment,Combustible renewables and waste,C3_Cancel public events,Poland,POL,6.46307,percent of total energy,2015.0
37,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C3_Cancel public events,Poland,POL,56.3530006,Percentage of total population,2020.0
39,Social issues ,Proportion of seats held by women in national parliaments (%),C3_Cancel public events,Poland,POL,28.69565217,proportion,2020.0
40,Environment,"Adjusted net savings, including particulate emission damage",C3_Cancel public events,Poland,POL,10.5160658170429,percent of GNI,2018.0
41,Health,Prevalence of chronic kidney disease,C3_Cancel public events,Poland,POL,0.119228,percent,2019.0
42,Governance,Human Freedom Score ,C3_Cancel public events,Poland,POL,7.72,score,2018.0
43,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C3_Cancel public events,Poland,POL,2.3,percent,2020.0
45,Social issues ,Life Ladder ,C3_Cancel public events,Poland,POL,6.166100025177002,score,2021.0
46,Environment,"Electricity production from renewable sources, excluding hydroelectric",C3_Cancel public events,Poland,POL,20851000000.0,kWh,2015.0
47,Environment,"Energy imports, net ",C3_Cancel public events,Poland,POL,28.54636235041825,percent of energy use,2015.0
48,Environment,Energy use ,C3_Cancel public events,Poland,POL,89.30136345296998,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2015.0
49,Governance,Corruption Perceptions Index,C3_Cancel public events,Poland,POL,56.0,score,2020.0
51,Environment,CO2 emissions (metric tons per capita),C3_Cancel public events,Poland,POL,7.875582,metric tons per capita,2016.0
52,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C3_Cancel public events,Poland,POL,3.03999996,percent of total labor force,2020.0
53,Governance,Human Development Index,C3_Cancel public events,Poland,POL,0.88,index,2019.0
54,Governance,Control of corruption estimate,C3_Cancel public events,Poland,POL,0.602715,score,2019.0
55,Environment,Access to electricity ,C3_Cancel public events,Poland,POL,100.0,percent of population,2018.0
57,Environment,Energy use (kg of oil equivalent per capita),C3_Cancel public events,Poland,POL,2490.206419074273,kg of oil equivalent per capita,2015.0
59,Governance,Personal Freedom Score ,C3_Cancel public events,Poland,POL,8.39,score,2018.0
60,Environment,"PM2.5 air pollution, mean annual exposure",C3_Cancel public events,Poland,POL,20.87782,micrograms per cubic meter,2017.0
61,Health,Prevalence of Depressive disorders,C3_Cancel public events,Poland,POL,0.029801,percent,2019.0
62,Demographics,Fixed telephone subscriptions,C3_Cancel public events,Poland,POL,6824900.0,number,2019.0
63,Governance,Fragile States Index Total ,C3_Cancel public events,Poland,POL,41.028733918699864,score,2020.0
64,Health,Prevalence of obesity,C3_Cancel public events,Poland,POL,23.1,percent,2016.0
65,Environment,Fossil fuel energy consumption,C3_Cancel public events,Poland,POL,90.29138,percent of total,2015.0
66,Governance,Total freedom in the world score ,C3_Cancel public events,Poland,POL,82.0,score,2021.0
67,Governance,Rule of law estimate ,C3_Cancel public events,Poland,POL,0.452093,score,2019.0
70,Health,"Immunization, DPT (% of children ages 12-23 months)",C3_Cancel public events,Poland,POL,95.0,percent,2019.0
71,Governance,Aggregate score for the Civil Liberties category,C3_Cancel public events,Poland,POL,48.0,score,2021.0
75,Health,Prevalence of total cancers,C3_Cancel public events,Poland,POL,0.020081,percent,2019.0
77,Environment,Renewable energy consumption ,C3_Cancel public events,Poland,POL,11.9114882087605,percent of total final energy consumption,2015.0
78,Governance,Voice and accountability estimate,C3_Cancel public events,Poland,POL,0.6982619,score,2019.0
79,Health,Mortality due to COVID-19,C3_Cancel public events,Poland,POL,25254.0,"Number (cumulative total by Dec 26,2020)",2020.0
80,Social issues ,Gini index (World Bank estimate),C3_Cancel public events,Poland,POL,29.7,index ,2017.0
83,Social issues ,Press freedom score,C3_Cancel public events,Poland,POL,28.65,score,2020.0
87,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C3_Cancel public events,Poland,POL,99.9661157279646,percent of total,2017.0
89,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C3_Cancel public events,Poland,POL,48.3269997,Percentage of females of the total population,2020.0
93,Governance,Economic Freedom Score,C3_Cancel public events,Poland,POL,7.04,score,2018.0
94,Environment,Electricity production from nuclear sources ,C3_Cancel public events,Poland,POL,0.0,percent of total,2015.0
95,Environment,Electricity production from oil sources,C3_Cancel public events,Poland,POL,1.288783687576442,percent of total,2015.0
96,Health,Prevalence of Diabetes,C3_Cancel public events,Poland,POL,0.100876,percent,2019.0
