rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C3_Cancel public events,Sudan,SDN,30.8703,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C3_Cancel public events,Sudan,SDN,137842.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,C3_Cancel public events,Sudan,SDN,0.224559,percent,2019.0
4,Health,Prevalence of COVID-19,C3_Cancel public events,Sudan,SDN,22265.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,C3_Cancel public events,Sudan,SDN,-1.140473,score,2019.0
6,Health,"Incidence of tuberculosis (per 100,000 people)",C3_Cancel public events,Sudan,SDN,67.0,Cases,2019.0
7,Environment,Fossil fuel energy consumption,C3_Cancel public events,Sudan,SDN,31.72653,percent of total,2014.0
8,Health,Prevalence of anxiety disorders,C3_Cancel public events,Sudan,SDN,0.049087,percent,2019.0
9,Demographics,Fixed broadband subscriptions,C3_Cancel public events,Sudan,SDN,0.0746815,per 100 people,2019.0
10,Governance,Economic Freedom Score,C3_Cancel public events,Sudan,SDN,4.21,score,2018.0
11,Environment,Renewable energy consumption ,C3_Cancel public events,Sudan,SDN,61.5967474758976,percent of total final energy consumption,2015.0
12,Governance,Government effectiveness estimate,C3_Cancel public events,Sudan,SDN,-1.621905,score,2019.0
13,Health,Prevalence of Diabetes,C3_Cancel public events,Sudan,SDN,0.04414,percent,2019.0
14,Environment,"Energy imports, net ",C3_Cancel public events,Sudan,SDN,-8.993080228910909,percent of energy use,2014.0
16,Social issues ,Net migration,C3_Cancel public events,Sudan,SDN,-250001.0,net total / data are 5 year estimates,2019.0
17,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C3_Cancel public events,Sudan,SDN,2.7,percent,2020.0
18,Environment,Electricity production from coal sources ,C3_Cancel public events,Sudan,SDN,0.0,percent of total,2015.0
19,Demographics,Secure Internet servers ,C3_Cancel public events,Sudan,SDN,4.46800629687934,per 1 million people,2018.0
20,Health,Prevalence of Hypertensive heart disease,C3_Cancel public events,Sudan,SDN,0.001624,percent,2019.0
21,Health,Prevalence of Depressive disorders,C3_Cancel public events,Sudan,SDN,0.040002,percent,2019.0
22,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C3_Cancel public events,Sudan,SDN,1.0,percent,2018.0
23,Economics,Volume of exports,C3_Cancel public events,Sudan,SDN,-3.001,percent change,2020.0
24,Environment,Combustible renewables and waste,C3_Cancel public events,Sudan,SDN,37.97168,percent of total energy,2014.0
25,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C3_Cancel public events,Sudan,SDN,33.7,percent,2020.0
26,Health,Prevalence of down syndrome,C3_Cancel public events,Sudan,SDN,0.000469,percent,2019.0
28,Governance,Fragile States Index Total ,C3_Cancel public events,Sudan,SDN,104.76588517295875,score,2020.0
29,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C3_Cancel public events,Sudan,SDN,100.0,percent of total,2017.0
30,Environment,"Electricity production from oil, gas and coal sources",C3_Cancel public events,Sudan,SDN,22.61822641220204,percent of total,2015.0
31,Economics,Employment in services (% of total employment) (modeled ILO estimate),C3_Cancel public events,Sudan,SDN,44.4169998,Percentage of total employment,2020.0
32,Demographics,Mobile cellular subscriptions,C3_Cancel public events,Sudan,SDN,77.112,per 100 people,2019.0
33,Health,Prevalence of chronic kidney disease,C3_Cancel public events,Sudan,SDN,0.056148,percent,2019.0
34,Governance,Personal Freedom Score ,C3_Cancel public events,Sudan,SDN,3.81,score,2018.0
35,Environment,Electric power consumption ,C3_Cancel public events,Sudan,SDN,190.220886811296,kWh per capita,2014.0
36,Environment,"Adjusted net savings, including particulate emission damage",C3_Cancel public events,Sudan,SDN,-6.1789808089397,percent of GNI,2018.0
37,Health,"Nurses and midwives (per 1,000 people)",C3_Cancel public events,Sudan,SDN,0.6952,Ones,2017.0
38,Health,"Physicians (per 1,000 people)",C3_Cancel public events,Sudan,SDN,0.2618,Ones,2017.0
39,Health,"Prevalence of HIV, total (% of population ages 15-49)",C3_Cancel public events,Sudan,SDN,0.2,percent,2019.0
40,Governance,Voice and accountability estimate,C3_Cancel public events,Sudan,SDN,-1.635968,score,2019.0
41,Environment,"Electricity production from renewable sources, excluding hydroelectric",C3_Cancel public events,Sudan,SDN,0.0,kWh,2015.0
42,Health,"Immunization, measles (% of children ages 12-23 months)",C3_Cancel public events,Sudan,SDN,90.0,percent,2019.0
43,Health,Summary exposure value tobacco,C3_Cancel public events,Sudan,SDN,27.78319,Rate (risk-weighted prevalence),2019.0
44,Environment,Electricity production from oil sources,C3_Cancel public events,Sudan,SDN,22.61822641220204,percent of total,2015.0
45,Environment,"PM2.5 air pollution, mean annual exposure",C3_Cancel public events,Sudan,SDN,55.37083,micrograms per cubic meter,2017.0
49,Governance,Aggregate score for the Political Rights category,C3_Cancel public events,Sudan,SDN,2.0,score,2021.0
50,Economics,Volume of imports,C3_Cancel public events,Sudan,SDN,-2.417,percent change,2020.0
52,Governance,Human Development Index,C3_Cancel public events,Sudan,SDN,0.51,index,2019.0
53,Social issues ,Gini index (World Bank estimate),C3_Cancel public events,Sudan,SDN,34.2,index ,2014.0
54,Governance,Corruption Perceptions Index,C3_Cancel public events,Sudan,SDN,16.0,score,2020.0
55,Governance,Control of corruption estimate,C3_Cancel public events,Sudan,SDN,-1.366985,score,2019.0
58,Health,Prevalence of total cancers,C3_Cancel public events,Sudan,SDN,0.002489,percent,2019.0
60,Governance,Political stability and absence of violence/terrorism estimate,C3_Cancel public events,Sudan,SDN,-1.673614,score,2019.0
62,Governance,Regulatory quality estimate,C3_Cancel public events,Sudan,SDN,-1.673834,score,2019.0
64,Environment,CO2 emissions (kt),C3_Cancel public events,Sudan,SDN,19999.82,kt,2016.0
66,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C3_Cancel public events,Sudan,SDN,16.618,percent of total labor force,2020.0
67,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C3_Cancel public events,Sudan,SDN,48.4129982,Percentage of total population,2020.0
