rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C3_Cancel public events,Slovakia,SVK,82.8537,percent of population,2019.0
3,Economics,Volume of exports,C3_Cancel public events,Slovakia,SVK,5.6,percent change,2020.0
4,Governance,Regulatory quality estimate,C3_Cancel public events,Slovakia,SVK,1.00678,score,2019.0
5,Governance,Aggregate score for the Political Rights category,C3_Cancel public events,Slovakia,SVK,37.0,score,2021.0
6,Health,Prevalence of COVID-19,C3_Cancel public events,Slovakia,SVK,149275.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Environment,CO2 emissions (kt),C3_Cancel public events,Slovakia,SVK,32423.61,kt,2016.0
9,Health,"Physicians (per 1,000 people)",C3_Cancel public events,Slovakia,SVK,3.4156,Ones,2017.0
11,Health,Prevalence of down syndrome,C3_Cancel public events,Slovakia,SVK,0.000134,percent,2019.0
12,Environment,Electric power consumption ,C3_Cancel public events,Slovakia,SVK,5137.073835193975,kWh per capita,2014.0
13,Social issues ,Net migration,C3_Cancel public events,Slovakia,SVK,7423.0,net total / data are 5 year estimates,2019.0
14,Economics,Volume of imports,C3_Cancel public events,Slovakia,SVK,5.189,percent change,2020.0
15,Demographics,Fixed broadband subscriptions,C3_Cancel public events,Slovakia,SVK,29.0469,per 100 people,2019.0
16,Health,Prevalence of anxiety disorders,C3_Cancel public events,Slovakia,SVK,0.040329,percent,2019.0
17,Health,Prevalence of Hypertensive heart disease,C3_Cancel public events,Slovakia,SVK,0.003006,percent,2019.0
18,Health,"Incidence of tuberculosis (per 100,000 people)",C3_Cancel public events,Slovakia,SVK,4.5,Cases,2019.0
19,Demographics,Mobile cellular subscriptions,C3_Cancel public events,Slovakia,SVK,135.597,per 100 people,2019.0
20,Health,"Immunization, measles (% of children ages 12-23 months)",C3_Cancel public events,Slovakia,SVK,96.0,percent,2019.0
21,Health,"Nurses and midwives (per 1,000 people)",C3_Cancel public events,Slovakia,SVK,6.0671,Ones,2016.0
22,Governance,Serious assault (rate),C3_Cancel public events,Slovakia,SVK,29.29,rate,2018.0
23,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C3_Cancel public events,Slovakia,SVK,5.3,percent,2018.0
24,Environment,"Electricity production from oil, gas and coal sources",C3_Cancel public events,Slovakia,SVK,19.9759687593872,percent of total,2015.0
25,Economics,Employment in services (% of total employment) (modeled ILO estimate),C3_Cancel public events,Slovakia,SVK,61.8339996,Percentage of total employment,2020.0
26,Demographics,Secure Internet servers ,C3_Cancel public events,Slovakia,SVK,20091.59026657692,per 1 million people,2019.0
27,Social issues ,"Intentional homicides (per 100,000 people)",C3_Cancel public events,Slovakia,SVK,1.1369852689,"proportion, pero 100,000 people",2018.0
29,Governance,Government effectiveness estimate,C3_Cancel public events,Slovakia,SVK,0.6739017,score,2019.0
30,Health,Summary exposure value tobacco,C3_Cancel public events,Slovakia,SVK,24.03725,Rate (risk-weighted prevalence),2019.0
31,Social issues ,Proportion of women in managerial positions (%),C3_Cancel public events,Slovakia,SVK,32.1,percent,2018.0
32,Health,Prevalence of Respiratory infections and tuberculosis,C3_Cancel public events,Slovakia,SVK,0.195474,percent,2019.0
33,Governance,Political stability and absence of violence/terrorism estimate,C3_Cancel public events,Slovakia,SVK,0.7827882,score,2019.0
35,Environment,Electricity production from coal sources ,C3_Cancel public events,Slovakia,SVK,12.51126464403725,percent of total,2015.0
36,Environment,Combustible renewables and waste,C3_Cancel public events,Slovakia,SVK,4.673051,percent of total energy,2015.0
37,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C3_Cancel public events,Slovakia,SVK,59.2519989,Percentage of total population,2020.0
39,Social issues ,Proportion of seats held by women in national parliaments (%),C3_Cancel public events,Slovakia,SVK,20.0,proportion,2020.0
40,Environment,"Adjusted net savings, including particulate emission damage",C3_Cancel public events,Slovakia,SVK,4.28403859669084,percent of GNI,2018.0
41,Health,Prevalence of chronic kidney disease,C3_Cancel public events,Slovakia,SVK,0.119371,percent,2019.0
42,Governance,Human Freedom Score ,C3_Cancel public events,Slovakia,SVK,7.95,score,2018.0
