rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C3_Cancel public events,Turkmenistan,TKM,21.251,percent of population,2019.0
2,Demographics,Fixed telephone subscriptions,C3_Cancel public events,Turkmenistan,TKM,682000.0,number,2019.0
3,Health,Prevalence of Respiratory infections and tuberculosis,C3_Cancel public events,Turkmenistan,TKM,0.260769,percent,2019.0
4,Health,Prevalence of COVID-19,C3_Cancel public events,Turkmenistan,TKM,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
5,Governance,Rule of law estimate ,C3_Cancel public events,Turkmenistan,TKM,-1.414785,score,2019.0
6,Health,"Incidence of tuberculosis (per 100,000 people)",C3_Cancel public events,Turkmenistan,TKM,45.0,Cases,2019.0
8,Health,Prevalence of anxiety disorders,C3_Cancel public events,Turkmenistan,TKM,0.024608,percent,2019.0
9,Demographics,Fixed broadband subscriptions,C3_Cancel public events,Turkmenistan,TKM,0.0868407,per 100 people,2019.0
11,Environment,Renewable energy consumption ,C3_Cancel public events,Turkmenistan,TKM,0.0408878864181804,percent of total final energy consumption,2015.0
12,Governance,Government effectiveness estimate,C3_Cancel public events,Turkmenistan,TKM,-1.15624,score,2019.0
13,Health,Prevalence of Diabetes,C3_Cancel public events,Turkmenistan,TKM,0.047879,percent,2019.0
14,Environment,"Energy imports, net ",C3_Cancel public events,Turkmenistan,TKM,-191.5113367678815,percent of energy use,2014.0
16,Social issues ,Net migration,C3_Cancel public events,Turkmenistan,TKM,-25001.0,net total / data are 5 year estimates,2019.0
17,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C3_Cancel public events,Turkmenistan,TKM,3.8,percent,2020.0
18,Environment,Electricity production from coal sources ,C3_Cancel public events,Turkmenistan,TKM,0.0,percent of total,2015.0
19,Demographics,Secure Internet servers ,C3_Cancel public events,Turkmenistan,TKM,20.02662699935999,per 1 million people,2019.0
20,Health,Prevalence of Hypertensive heart disease,C3_Cancel public events,Turkmenistan,TKM,0.001548,percent,2019.0
21,Health,Prevalence of Depressive disorders,C3_Cancel public events,Turkmenistan,TKM,0.03113,percent,2019.0
22,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C3_Cancel public events,Turkmenistan,TKM,1.2,percent,2018.0
23,Economics,Volume of exports,C3_Cancel public events,Turkmenistan,TKM,5.694,percent change,2020.0
24,Environment,Combustible renewables and waste,C3_Cancel public events,Turkmenistan,TKM,0.0275,percent of total energy,2014.0
25,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C3_Cancel public events,Turkmenistan,TKM,7.6,percent,2020.0
26,Health,Prevalence of down syndrome,C3_Cancel public events,Turkmenistan,TKM,0.000232,percent,2019.0
28,Governance,Fragile States Index Total ,C3_Cancel public events,Turkmenistan,TKM,69.05814193586684,score,2020.0
29,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C3_Cancel public events,Turkmenistan,TKM,100.0,percent of total,2017.0
30,Environment,"Electricity production from oil, gas and coal sources",C3_Cancel public events,Turkmenistan,TKM,100.0,percent of total,2015.0
31,Economics,Employment in services (% of total employment) (modeled ILO estimate),C3_Cancel public events,Turkmenistan,TKM,37.901001,Percentage of total employment,2020.0
32,Demographics,Mobile cellular subscriptions,C3_Cancel public events,Turkmenistan,TKM,162.861,per 100 people,2019.0
33,Health,Prevalence of chronic kidney disease,C3_Cancel public events,Turkmenistan,TKM,0.093456,percent,2019.0
35,Environment,Electric power consumption ,C3_Cancel public events,Turkmenistan,TKM,2678.763513642065,kWh per capita,2014.0
37,Health,"Nurses and midwives (per 1,000 people)",C3_Cancel public events,Turkmenistan,TKM,4.4273,Ones,2014.0
38,Health,"Physicians (per 1,000 people)",C3_Cancel public events,Turkmenistan,TKM,2.2247,Ones,2014.0
40,Governance,Voice and accountability estimate,C3_Cancel public events,Turkmenistan,TKM,-2.131469,score,2019.0
41,Environment,"Electricity production from renewable sources, excluding hydroelectric",C3_Cancel public events,Turkmenistan,TKM,0.0,kWh,2015.0
42,Health,"Immunization, measles (% of children ages 12-23 months)",C3_Cancel public events,Turkmenistan,TKM,99.0,percent,2019.0
43,Health,Summary exposure value tobacco,C3_Cancel public events,Turkmenistan,TKM,36.7436,Rate (risk-weighted prevalence),2019.0
44,Environment,Electricity production from oil sources,C3_Cancel public events,Turkmenistan,TKM,0.0,percent of total,2015.0
45,Environment,"PM2.5 air pollution, mean annual exposure",C3_Cancel public events,Turkmenistan,TKM,21.76772,micrograms per cubic meter,2017.0
49,Governance,Aggregate score for the Political Rights category,C3_Cancel public events,Turkmenistan,TKM,0.0,score,2021.0
50,Economics,Volume of imports,C3_Cancel public events,Turkmenistan,TKM,13.399,percent change,2020.0
52,Governance,Human Development Index,C3_Cancel public events,Turkmenistan,TKM,0.715,index,2019.0
54,Governance,Corruption Perceptions Index,C3_Cancel public events,Turkmenistan,TKM,19.0,score,2020.0
55,Governance,Control of corruption estimate,C3_Cancel public events,Turkmenistan,TKM,-1.511905,score,2019.0
58,Health,Prevalence of total cancers,C3_Cancel public events,Turkmenistan,TKM,0.004744,percent,2019.0
60,Governance,Political stability and absence of violence/terrorism estimate,C3_Cancel public events,Turkmenistan,TKM,-0.093641,score,2019.0
62,Governance,Regulatory quality estimate,C3_Cancel public events,Turkmenistan,TKM,-1.957602,score,2019.0
64,Environment,CO2 emissions (kt),C3_Cancel public events,Turkmenistan,TKM,70630.09,kt,2016.0
66,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C3_Cancel public events,Turkmenistan,TKM,4.0710001,percent of total labor force,2020.0
67,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C3_Cancel public events,Turkmenistan,TKM,64.3619995,Percentage of total population,2020.0
69,Social issues ,Proportion of seats held by women in national parliaments (%),C3_Cancel public events,Turkmenistan,TKM,25.0,proportion,2020.0
70,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C3_Cancel public events,Turkmenistan,TKM,51.25,Percentage of females of the total population,2020.0
71,Governance,Aggregate score for the Civil Liberties category,C3_Cancel public events,Turkmenistan,TKM,2.0,score,2021.0
74,Social issues ,Life Ladder ,C3_Cancel public events,Turkmenistan,TKM,5.066400051116943,score,2021.0
75,Health,Mortality due to COVID-19,C3_Cancel public events,Turkmenistan,TKM,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
76,Health,"Immunization, DPT (% of children ages 12-23 months)",C3_Cancel public events,Turkmenistan,TKM,99.0,percent,2019.0
77,Environment,Energy use (kg of oil equivalent per capita),C3_Cancel public events,Turkmenistan,TKM,4893.409616107925,kg of oil equivalent per capita,2014.0
78,Environment,Energy use ,C3_Cancel public events,Turkmenistan,TKM,393.9511734316079,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
80,Health,Prevalence of obesity,C3_Cancel public events,Turkmenistan,TKM,18.6,percent,2016.0
81,Social issues ,Press freedom score,C3_Cancel public events,Turkmenistan,TKM,85.44,score,2020.0
83,Environment,CO2 emissions (metric tons per capita),C3_Cancel public events,Turkmenistan,TKM,12.47359,metric tons per capita,2016.0
84,Environment,Access to electricity ,C3_Cancel public events,Turkmenistan,TKM,100.0,percent of population,2018.0
86,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",C3_Cancel public events,Turkmenistan,TKM,43908.6,international $ in PPP,2020.0
90,Economics,"Trade, total as % of GDP",C3_Cancel public events,Turkmenistan,TKM,36.68384,percent,2019.0
91,Environment,Electricity production from nuclear sources ,C3_Cancel public events,Turkmenistan,TKM,0.0,percent of total,2014.0
93,Governance,Total freedom in the world score ,C3_Cancel public events,Turkmenistan,TKM,2.0,score,2021.0
97,Economics,"Foreign direct investment, net",C3_Cancel public events,Turkmenistan,TKM,1985147000.0,US Dollar,2018.0
