rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C3_Cancel public events,St. Vincent and the Grenadines,VCT,22.3943,percent of population,2019.0
2,Demographics,People using at least basic sanitation services (% of population),C3_Cancel public events,St. Vincent and the Grenadines,VCT,87.1843449007354,proportion,2017.0
3,Economics,Volume of exports,C3_Cancel public events,St. Vincent and the Grenadines,VCT,4.379,percent change,2020.0
4,Governance,Regulatory quality estimate,C3_Cancel public events,St. Vincent and the Grenadines,VCT,0.2122325,score,2019.0
5,Governance,Aggregate score for the Political Rights category,C3_Cancel public events,St. Vincent and the Grenadines,VCT,36.0,score,2021.0
6,Health,Prevalence of COVID-19,C3_Cancel public events,St. Vincent and the Grenadines,VCT,100.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Environment,CO2 emissions (kt),C3_Cancel public events,St. Vincent and the Grenadines,VCT,220.02,kt,2016.0
11,Health,Prevalence of down syndrome,C3_Cancel public events,St. Vincent and the Grenadines,VCT,0.000291,percent,2019.0
13,Social issues ,Net migration,C3_Cancel public events,St. Vincent and the Grenadines,VCT,-1000.0,net total / data are 5 year estimates,2019.0
14,Economics,Volume of imports,C3_Cancel public events,St. Vincent and the Grenadines,VCT,3.272,percent change,2020.0
15,Demographics,Fixed broadband subscriptions,C3_Cancel public events,St. Vincent and the Grenadines,VCT,19.5182,per 100 people,2019.0
16,Health,Prevalence of anxiety disorders,C3_Cancel public events,St. Vincent and the Grenadines,VCT,0.047257,percent,2019.0
17,Health,Prevalence of Hypertensive heart disease,C3_Cancel public events,St. Vincent and the Grenadines,VCT,0.003411,percent,2019.0
18,Health,"Incidence of tuberculosis (per 100,000 people)",C3_Cancel public events,St. Vincent and the Grenadines,VCT,4.2,Cases,2019.0
19,Demographics,Mobile cellular subscriptions,C3_Cancel public events,St. Vincent and the Grenadines,VCT,92.8664,per 100 people,2019.0
20,Health,"Immunization, measles (% of children ages 12-23 months)",C3_Cancel public events,St. Vincent and the Grenadines,VCT,99.0,percent,2019.0
21,Health,"Nurses and midwives (per 1,000 people)",C3_Cancel public events,St. Vincent and the Grenadines,VCT,7.0145,Ones,2018.0
22,Governance,Serious assault (rate),C3_Cancel public events,St. Vincent and the Grenadines,VCT,750.0,rate,2016.0
23,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C3_Cancel public events,St. Vincent and the Grenadines,VCT,3.1,percent,2018.0
25,Economics,Employment in services (% of total employment) (modeled ILO estimate),C3_Cancel public events,St. Vincent and the Grenadines,VCT,69.5429993,Percentage of total employment,2020.0
26,Demographics,Secure Internet servers ,C3_Cancel public events,St. Vincent and the Grenadines,VCT,90.4249066362839,per 1 million people,2019.0
27,Social issues ,"Intentional homicides (per 100,000 people)",C3_Cancel public events,St. Vincent and the Grenadines,VCT,36.540692629,"proportion, pero 100,000 people",2016.0
29,Governance,Government effectiveness estimate,C3_Cancel public events,St. Vincent and the Grenadines,VCT,0.2258496,score,2019.0
30,Health,Summary exposure value tobacco,C3_Cancel public events,St. Vincent and the Grenadines,VCT,13.16961,Rate (risk-weighted prevalence),2019.0
32,Health,Prevalence of Respiratory infections and tuberculosis,C3_Cancel public events,St. Vincent and the Grenadines,VCT,0.289241,percent,2019.0
