rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C3_Cancel public events,Yemen,YEM,26.7184,percent of population,2019.0
4,Governance,Regulatory quality estimate,C3_Cancel public events,Yemen,YEM,-1.66393,score,2019.0
5,Governance,Aggregate score for the Political Rights category,C3_Cancel public events,Yemen,YEM,1.0,score,2021.0
6,Health,Prevalence of COVID-19,C3_Cancel public events,Yemen,YEM,2091.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Environment,CO2 emissions (kt),C3_Cancel public events,Yemen,YEM,10608.63,kt,2016.0
9,Health,"Physicians (per 1,000 people)",C3_Cancel public events,Yemen,YEM,0.5251,Ones,2014.0
10,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C3_Cancel public events,Yemen,YEM,2.7,percent,2020.0
11,Health,Prevalence of down syndrome,C3_Cancel public events,Yemen,YEM,0.000492,percent,2019.0
12,Environment,Electric power consumption ,C3_Cancel public events,Yemen,YEM,219.7999224349463,kWh per capita,2014.0
13,Social issues ,Net migration,C3_Cancel public events,Yemen,YEM,-150000.0,net total / data are 5 year estimates,2019.0
15,Demographics,Fixed broadband subscriptions,C3_Cancel public events,Yemen,YEM,1.68494,per 100 people,2019.0
16,Health,Prevalence of anxiety disorders,C3_Cancel public events,Yemen,YEM,0.047914,percent,2019.0
17,Health,Prevalence of Hypertensive heart disease,C3_Cancel public events,Yemen,YEM,0.001495,percent,2019.0
18,Health,"Incidence of tuberculosis (per 100,000 people)",C3_Cancel public events,Yemen,YEM,48.0,Cases,2019.0
19,Demographics,Mobile cellular subscriptions,C3_Cancel public events,Yemen,YEM,55.175,per 100 people,2019.0
20,Health,"Immunization, measles (% of children ages 12-23 months)",C3_Cancel public events,Yemen,YEM,67.0,percent,2019.0
21,Health,"Nurses and midwives (per 1,000 people)",C3_Cancel public events,Yemen,YEM,0.7852,Ones,2018.0
23,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C3_Cancel public events,Yemen,YEM,0.5,percent,2015.0
24,Environment,"Electricity production from oil, gas and coal sources",C3_Cancel public events,Yemen,YEM,100.0,percent of total,2015.0
25,Economics,Employment in services (% of total employment) (modeled ILO estimate),C3_Cancel public events,Yemen,YEM,61.4020004,Percentage of total employment,2020.0
26,Demographics,Secure Internet servers ,C3_Cancel public events,Yemen,YEM,4.423576745044445,per 1 million people,2019.0
29,Governance,Government effectiveness estimate,C3_Cancel public events,Yemen,YEM,-2.279422,score,2019.0
30,Health,Summary exposure value tobacco,C3_Cancel public events,Yemen,YEM,36.28876,Rate (risk-weighted prevalence),2019.0
31,Social issues ,Proportion of women in managerial positions (%),C3_Cancel public events,Yemen,YEM,4.12,percent,2014.0
32,Health,Prevalence of Respiratory infections and tuberculosis,C3_Cancel public events,Yemen,YEM,0.238568,percent,2019.0
33,Governance,Political stability and absence of violence/terrorism estimate,C3_Cancel public events,Yemen,YEM,-2.768294,score,2019.0
35,Environment,Electricity production from coal sources ,C3_Cancel public events,Yemen,YEM,0.0,percent of total,2015.0
37,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C3_Cancel public events,Yemen,YEM,37.9519997,Percentage of total population,2020.0
