rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C4_Restrictions on gatherings,Argentina,ARG,74.2949,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C4_Restrictions on gatherings,Argentina,ARG,42.0,score,2020.0
3,Governance,Regulatory quality estimate,C4_Restrictions on gatherings,Argentina,ARG,-0.4927526,score,2019.0
4,Demographics,Fixed broadband subscriptions,C4_Restrictions on gatherings,Argentina,ARG,19.6361,per 100 people,2019.0
5,Health,Prevalence of COVID-19,C4_Restrictions on gatherings,Argentina,ARG,1524372.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Health,Summary exposure value tobacco,C4_Restrictions on gatherings,Argentina,ARG,26.14867,Rate (risk-weighted prevalence),2019.0
7,Demographics,Secure Internet servers ,C4_Restrictions on gatherings,Argentina,ARG,3018.488825402917,per 1 million people,2019.0
8,Governance,Human Freedom Score ,C4_Restrictions on gatherings,Argentina,ARG,7.05,score,2018.0
9,Environment,"Energy imports, net ",C4_Restrictions on gatherings,Argentina,ARG,13.02936074290009,percent of energy use,2014.0
10,Environment,Electricity production from oil sources,C4_Restrictions on gatherings,Argentina,ARG,15.42319446456535,percent of total,2015.0
11,Governance,Control of corruption estimate,C4_Restrictions on gatherings,Argentina,ARG,-0.0710714,score,2019.0
12,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C4_Restrictions on gatherings,Argentina,ARG,12.9,percent,2020.0
13,Demographics,Mobile cellular subscriptions,C4_Restrictions on gatherings,Argentina,ARG,130.874,per 100 people,2019.0
14,Social issues ,Press freedom score,C4_Restrictions on gatherings,Argentina,ARG,28.78,score,2020.0
15,Health,Mortality due to COVID-19,C4_Restrictions on gatherings,Argentina,ARG,41534.0,"Number (cumulative total by Dec 26,2020)",2020.0
16,Economics,Employment in services (% of total employment) (modeled ILO estimate),C4_Restrictions on gatherings,Argentina,ARG,78.8639984,Percentage of total employment,2020.0
17,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C4_Restrictions on gatherings,Argentina,ARG,7.8,percent,2020.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C4_Restrictions on gatherings,Argentina,ARG,40.85603113,proportion,2020.0
19,Environment,"PM2.5 air pollution, mean annual exposure",C4_Restrictions on gatherings,Argentina,ARG,13.31183,micrograms per cubic meter,2017.0
20,Health,Prevalence of obesity,C4_Restrictions on gatherings,Argentina,ARG,28.3,percent,2016.0
21,Environment,Electricity production from coal sources ,C4_Restrictions on gatherings,Argentina,ARG,2.029567388949826,percent of total,2015.0
22,Environment,Energy use (kg of oil equivalent per capita),C4_Restrictions on gatherings,Argentina,ARG,2029.922825437373,kg of oil equivalent per capita,2014.0
23,Health,Prevalence of chronic kidney disease,C4_Restrictions on gatherings,Argentina,ARG,0.086414,percent,2019.0
24,Environment,"Electricity production from renewable sources, excluding hydroelectric",C4_Restrictions on gatherings,Argentina,ARG,2752000000.0,kWh,2015.0
25,Social issues ,Net migration,C4_Restrictions on gatherings,Argentina,ARG,24000.0,net total / data are 5 year estimates,2019.0
26,Health,"Immunization, measles (% of children ages 12-23 months)",C4_Restrictions on gatherings,Argentina,ARG,94.0,percent,2019.0
27,Health,"Physicians (per 1,000 people)",C4_Restrictions on gatherings,Argentina,ARG,3.9901,Ones,2017.0
28,Social issues ,"Intentional homicides (per 100,000 people)",C4_Restrictions on gatherings,Argentina,ARG,5.3244787387,"proportion, pero 100,000 people",2018.0
29,Environment,Energy use ,C4_Restrictions on gatherings,Argentina,ARG,86.19593574382117,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
30,Health,"Incidence of tuberculosis (per 100,000 people)",C4_Restrictions on gatherings,Argentina,ARG,29.0,Cases,2019.0
31,Environment,Fossil fuel energy consumption,C4_Restrictions on gatherings,Argentina,ARG,87.72241,percent of total,2014.0
32,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C4_Restrictions on gatherings,Argentina,ARG,5.9,percent,2018.0
33,Governance,Fragile States Index Total ,C4_Restrictions on gatherings,Argentina,ARG,46.087950434265025,score,2020.0
34,Health,Prevalence of anxiety disorders,C4_Restrictions on gatherings,Argentina,ARG,0.054936,percent,2019.0
35,Health,Prevalence of Depressive disorders,C4_Restrictions on gatherings,Argentina,ARG,0.027177,percent,2019.0
36,Governance,Aggregate score for the Political Rights category,C4_Restrictions on gatherings,Argentina,ARG,35.0,score,2021.0
37,Governance,Government effectiveness estimate,C4_Restrictions on gatherings,Argentina,ARG,-0.0864859,score,2019.0
38,Environment,"Adjusted net savings, including particulate emission damage",C4_Restrictions on gatherings,Argentina,ARG,5.0190320835466,percent of GNI,2018.0
40,Economics,Volume of imports,C4_Restrictions on gatherings,Argentina,ARG,9.393,percent change,2020.0
41,Health,"Prevalence of HIV, total (% of population ages 15-49)",C4_Restrictions on gatherings,Argentina,ARG,0.4,percent,2019.0
42,Governance,Human Development Index,C4_Restrictions on gatherings,Argentina,ARG,0.845,index,2019.0
43,Environment,CO2 emissions (kt),C4_Restrictions on gatherings,Argentina,ARG,201347.6,kt,2016.0
44,Health,Prevalence of Diabetes,C4_Restrictions on gatherings,Argentina,ARG,0.063938,percent,2019.0
45,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",C4_Restrictions on gatherings,Argentina,ARG,99.0038681030273,proportion,2018.0
46,Demographics,Fixed telephone subscriptions,C4_Restrictions on gatherings,Argentina,ARG,7737350.0,number,2019.0
47,Governance,Political stability and absence of violence/terrorism estimate,C4_Restrictions on gatherings,Argentina,ARG,-0.1199785,score,2019.0
48,Social issues ,Proportion of women in managerial positions (%),C4_Restrictions on gatherings,Argentina,ARG,32.56,percent,2018.0
49,Governance,Total freedom in the world score ,C4_Restrictions on gatherings,Argentina,ARG,84.0,score,2021.0
50,Environment,CO2 emissions (metric tons per capita),C4_Restrictions on gatherings,Argentina,ARG,4.619085,metric tons per capita,2016.0
52,Governance,Aggregate score for the Civil Liberties category,C4_Restrictions on gatherings,Argentina,ARG,49.0,score,2021.0
53,Health,Hospital beds (per 10 000 population),C4_Restrictions on gatherings,Argentina,ARG,49.9,Ones,2017.0
54,Environment,Access to electricity ,C4_Restrictions on gatherings,Argentina,ARG,100.0,percent of population,2018.0
55,Health,Prevalence of Respiratory infections and tuberculosis,C4_Restrictions on gatherings,Argentina,ARG,0.230869,percent,2019.0
57,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C4_Restrictions on gatherings,Argentina,ARG,10.4359999,percent of total labor force,2020.0
58,Health,"Immunization, DPT (% of children ages 12-23 months)",C4_Restrictions on gatherings,Argentina,ARG,86.0,percent,2019.0
60,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C4_Restrictions on gatherings,Argentina,ARG,50.6150017,Percentage of females of the total population,2020.0
61,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C4_Restrictions on gatherings,Argentina,ARG,93.8528246666324,percent of total,2017.0
62,Governance,Voice and accountability estimate,C4_Restrictions on gatherings,Argentina,ARG,0.6004349,score,2019.0
64,Health,"Nurses and midwives (per 1,000 people)",C4_Restrictions on gatherings,Argentina,ARG,2.5996,Ones,2017.0
65,Environment,Combustible renewables and waste,C4_Restrictions on gatherings,Argentina,ARG,3.245004,percent of total energy,2014.0
66,Health,Prevalence of Hypertensive heart disease,C4_Restrictions on gatherings,Argentina,ARG,0.00211,percent,2019.0
68,Health,Prevalence of total cancers,C4_Restrictions on gatherings,Argentina,ARG,0.013474,percent,2019.0
69,Demographics,Urban population (% of total population),C4_Restrictions on gatherings,Argentina,ARG,91.991,total,2019.0
70,Demographics,People using at least basic sanitation services (% of population),C4_Restrictions on gatherings,Argentina,ARG,94.2585054176821,proportion,2016.0
71,Governance,Economic Freedom Score,C4_Restrictions on gatherings,Argentina,ARG,5.78,score,2018.0
72,Social issues ,Life Ladder ,C4_Restrictions on gatherings,Argentina,ARG,5.929299831390381,score,2021.0
73,Demographics,Refugee population by country or territory of asylum,C4_Restrictions on gatherings,Argentina,ARG,3857.0,proportion,2019.0
74,Environment,Electric power consumption ,C4_Restrictions on gatherings,Argentina,ARG,3074.702070565626,kWh per capita,2014.0
75,Health,Prevalence of down syndrome,C4_Restrictions on gatherings,Argentina,ARG,0.000657,percent,2019.0
76,Governance,Rule of law estimate ,C4_Restrictions on gatherings,Argentina,ARG,-0.4307256,score,2019.0
77,Economics,Volume of exports,C4_Restrictions on gatherings,Argentina,ARG,3.559,percent change,2020.0
80,Social issues ,Gini index (World Bank estimate),C4_Restrictions on gatherings,Argentina,ARG,41.4,index ,2018.0
81,Environment,"Electricity production from oil, gas and coal sources",C4_Restrictions on gatherings,Argentina,ARG,66.93502211000504,percent of total,2015.0
82,Social issues ,"Primary completion rate, total (% of relevant age group)",C4_Restrictions on gatherings,Argentina,ARG,99.962760925293,proportion,2017.0
