rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C4_Restrictions on gatherings,Cuba,CUB,61.8363,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C4_Restrictions on gatherings,Cuba,CUB,47.0,score,2020.0
3,Demographics,Secure Internet servers ,C4_Restrictions on gatherings,Cuba,CUB,35.3818856921566,per 1 million people,2019.0
4,Demographics,Fixed broadband subscriptions,C4_Restrictions on gatherings,Cuba,CUB,1.61232,per 100 people,2019.0
6,Social issues ,Press freedom score,C4_Restrictions on gatherings,Cuba,CUB,63.81,score,2020.0
9,Governance,Fragile States Index Total ,C4_Restrictions on gatherings,Cuba,CUB,59.227756982641615,score,2020.0
10,Environment,CO2 emissions (kt),C4_Restrictions on gatherings,Cuba,CUB,28283.57,kt,2016.0
11,Governance,Voice and accountability estimate,C4_Restrictions on gatherings,Cuba,CUB,-1.424033,score,2019.0
12,Economics,Employment in services (% of total employment) (modeled ILO estimate),C4_Restrictions on gatherings,Cuba,CUB,65.9029999,Percentage of total employment,2020.0
13,Health,Summary exposure value tobacco,C4_Restrictions on gatherings,Cuba,CUB,21.55833,Rate (risk-weighted prevalence),2019.0
15,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C4_Restrictions on gatherings,Cuba,CUB,9.9,percent,2018.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C4_Restrictions on gatherings,Cuba,CUB,6.5,Cases,2019.0
18,Health,"Immunization, DPT (% of children ages 12-23 months)",C4_Restrictions on gatherings,Cuba,CUB,99.0,percent,2019.0
19,Governance,Human Development Index,C4_Restrictions on gatherings,Cuba,CUB,0.783,index,2019.0
20,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C4_Restrictions on gatherings,Cuba,CUB,53.4259987,Percentage of total population,2020.0
21,Health,Prevalence of anxiety disorders,C4_Restrictions on gatherings,Cuba,CUB,0.048626,percent,2019.0
22,Environment,"Electricity production from renewable sources, excluding hydroelectric",C4_Restrictions on gatherings,Cuba,CUB,753000000.0,kWh,2015.0
23,Governance,Total freedom in the world score ,C4_Restrictions on gatherings,Cuba,CUB,13.0,score,2021.0
24,Social issues ,Net migration,C4_Restrictions on gatherings,Cuba,CUB,-72000.0,net total / data are 5 year estimates,2019.0
25,Social issues ,Proportion of seats held by women in national parliaments (%),C4_Restrictions on gatherings,Cuba,CUB,53.2231405,proportion,2020.0
26,Health,"Immunization, measles (% of children ages 12-23 months)",C4_Restrictions on gatherings,Cuba,CUB,99.0,percent,2019.0
27,Health,Prevalence of Respiratory infections and tuberculosis,C4_Restrictions on gatherings,Cuba,CUB,0.221632,percent,2019.0
28,Health,"Nurses and midwives (per 1,000 people)",C4_Restrictions on gatherings,Cuba,CUB,7.5614,Ones,2018.0
29,Demographics,Mobile cellular subscriptions,C4_Restrictions on gatherings,Cuba,CUB,53.3166,per 100 people,2019.0
30,Governance,Political stability and absence of violence/terrorism estimate,C4_Restrictions on gatherings,Cuba,CUB,0.613414,score,2019.0
31,Health,Prevalence of COVID-19,C4_Restrictions on gatherings,Cuba,CUB,9893.0,"Number (cumulative total by Dec 26,2020)",2020.0
33,Governance,Aggregate score for the Civil Liberties category,C4_Restrictions on gatherings,Cuba,CUB,12.0,score,2021.0
34,Social issues ,"Intentional homicides (per 100,000 people)",C4_Restrictions on gatherings,Cuba,CUB,5.0462686372,"proportion, pero 100,000 people",2016.0
35,Environment,"Electricity production from oil, gas and coal sources",C4_Restrictions on gatherings,Cuba,CUB,60.50867507886435,percent of total,2015.0
36,Environment,Energy use (kg of oil equivalent per capita),C4_Restrictions on gatherings,Cuba,CUB,1034.686070508084,kg of oil equivalent per capita,2014.0
