rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C4_Restrictions on gatherings,Faroe Islands,FRO,97.582,percent of population,2019.0
4,Demographics,Fixed broadband subscriptions,C4_Restrictions on gatherings,Faroe Islands,FRO,37.328,per 100 people,2019.0
5,Health,Prevalence of COVID-19,C4_Restrictions on gatherings,Faroe Islands,FRO,534.0,"Number (cumulative total by Dec 26,2020)",2020.0
7,Demographics,Secure Internet servers ,C4_Restrictions on gatherings,Faroe Islands,FRO,4991.98816713916,per 1 million people,2019.0
13,Demographics,Mobile cellular subscriptions,C4_Restrictions on gatherings,Faroe Islands,FRO,116.474,per 100 people,2019.0
15,Health,Mortality due to COVID-19,C4_Restrictions on gatherings,Faroe Islands,FRO,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
43,Environment,CO2 emissions (kt),C4_Restrictions on gatherings,Faroe Islands,FRO,630.724,kt,2016.0
46,Demographics,Fixed telephone subscriptions,C4_Restrictions on gatherings,Faroe Islands,FRO,18021.0,number,2019.0
50,Environment,CO2 emissions (metric tons per capita),C4_Restrictions on gatherings,Faroe Islands,FRO,13.09289,metric tons per capita,2016.0
54,Environment,Access to electricity ,C4_Restrictions on gatherings,Faroe Islands,FRO,100.0,percent of population,2018.0
83,Environment,Renewable energy consumption ,C4_Restrictions on gatherings,Faroe Islands,FRO,7.51358049162428,percent of total final energy consumption,2015.0
