rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C4_Restrictions on gatherings,Georgia,GEO,68.8467,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C4_Restrictions on gatherings,Georgia,GEO,56.0,score,2020.0
3,Demographics,Secure Internet servers ,C4_Restrictions on gatherings,Georgia,GEO,2776.327807198293,per 1 million people,2019.0
4,Demographics,Fixed broadband subscriptions,C4_Restrictions on gatherings,Georgia,GEO,23.556,per 100 people,2019.0
6,Social issues ,Press freedom score,C4_Restrictions on gatherings,Georgia,GEO,28.59,score,2020.0
7,Environment,"Adjusted net savings, including particulate emission damage",C4_Restrictions on gatherings,Georgia,GEO,9.55657734469675,percent of GNI,2018.0
8,Governance,Economic Freedom Score,C4_Restrictions on gatherings,Georgia,GEO,8.18,score,2018.0
9,Governance,Fragile States Index Total ,C4_Restrictions on gatherings,Georgia,GEO,71.15229518395927,score,2020.0
10,Environment,CO2 emissions (kt),C4_Restrictions on gatherings,Georgia,GEO,10128.25,kt,2016.0
11,Governance,Voice and accountability estimate,C4_Restrictions on gatherings,Georgia,GEO,0.1960474,score,2019.0
12,Economics,Employment in services (% of total employment) (modeled ILO estimate),C4_Restrictions on gatherings,Georgia,GEO,44.4819984,Percentage of total employment,2020.0
13,Health,Summary exposure value tobacco,C4_Restrictions on gatherings,Georgia,GEO,32.96994,Rate (risk-weighted prevalence),2019.0
14,Economics,Volume of imports,C4_Restrictions on gatherings,Georgia,GEO,4.305,percent change,2020.0
15,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C4_Restrictions on gatherings,Georgia,GEO,2.8,percent,2018.0
16,Governance,Serious assault (rate),C4_Restrictions on gatherings,Georgia,GEO,4.62,rate,2018.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C4_Restrictions on gatherings,Georgia,GEO,74.0,Cases,2019.0
18,Health,"Immunization, DPT (% of children ages 12-23 months)",C4_Restrictions on gatherings,Georgia,GEO,94.0,percent,2019.0
19,Governance,Human Development Index,C4_Restrictions on gatherings,Georgia,GEO,0.812,index,2019.0
20,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C4_Restrictions on gatherings,Georgia,GEO,68.3150024,Percentage of total population,2020.0
21,Health,Prevalence of anxiety disorders,C4_Restrictions on gatherings,Georgia,GEO,0.028094,percent,2019.0
