rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C4_Restrictions on gatherings,Guatemala,GTM,65.0,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C4_Restrictions on gatherings,Guatemala,GTM,25.0,score,2020.0
3,Governance,Regulatory quality estimate,C4_Restrictions on gatherings,Guatemala,GTM,-0.2249926,score,2019.0
4,Demographics,Fixed broadband subscriptions,C4_Restrictions on gatherings,Guatemala,GTM,3.13923,per 100 people,2019.0
5,Health,Prevalence of COVID-19,C4_Restrictions on gatherings,Guatemala,GTM,132062.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Health,Summary exposure value tobacco,C4_Restrictions on gatherings,Guatemala,GTM,10.10445,Rate (risk-weighted prevalence),2019.0
7,Demographics,Secure Internet servers ,C4_Restrictions on gatherings,Guatemala,GTM,93.89289079648515,per 1 million people,2019.0
8,Governance,Human Freedom Score ,C4_Restrictions on gatherings,Guatemala,GTM,7.21,score,2018.0
9,Environment,"Energy imports, net ",C4_Restrictions on gatherings,Guatemala,GTM,32.84420957721554,percent of energy use,2014.0
10,Environment,Electricity production from oil sources,C4_Restrictions on gatherings,Guatemala,GTM,18.24923132573702,percent of total,2015.0
11,Governance,Control of corruption estimate,C4_Restrictions on gatherings,Guatemala,GTM,-0.8984204,score,2019.0
12,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C4_Restrictions on gatherings,Guatemala,GTM,5.1,percent,2020.0
13,Demographics,Mobile cellular subscriptions,C4_Restrictions on gatherings,Guatemala,GTM,118.728,per 100 people,2019.0
14,Social issues ,Press freedom score,C4_Restrictions on gatherings,Guatemala,GTM,35.74,score,2020.0
15,Health,Mortality due to COVID-19,C4_Restrictions on gatherings,Guatemala,GTM,4589.0,"Number (cumulative total by Dec 26,2020)",2020.0
16,Economics,Employment in services (% of total employment) (modeled ILO estimate),C4_Restrictions on gatherings,Guatemala,GTM,50.2929993,Percentage of total employment,2020.0
17,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C4_Restrictions on gatherings,Guatemala,GTM,42.8,percent,2020.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C4_Restrictions on gatherings,Guatemala,GTM,19.375,proportion,2020.0
19,Environment,"PM2.5 air pollution, mean annual exposure",C4_Restrictions on gatherings,Guatemala,GTM,24.07065,micrograms per cubic meter,2017.0
20,Health,Prevalence of obesity,C4_Restrictions on gatherings,Guatemala,GTM,21.2,percent,2016.0
21,Environment,Electricity production from coal sources ,C4_Restrictions on gatherings,Guatemala,GTM,21.36010128413818,percent of total,2015.0
22,Environment,Energy use (kg of oil equivalent per capita),C4_Restrictions on gatherings,Guatemala,GTM,863.5689345496329,kg of oil equivalent per capita,2014.0
23,Health,Prevalence of chronic kidney disease,C4_Restrictions on gatherings,Guatemala,GTM,0.088983,percent,2019.0
24,Environment,"Electricity production from renewable sources, excluding hydroelectric",C4_Restrictions on gatherings,Guatemala,GTM,2803000000.0,kWh,2015.0
25,Social issues ,Net migration,C4_Restrictions on gatherings,Guatemala,GTM,-46073.0,net total / data are 5 year estimates,2019.0
26,Health,"Immunization, measles (% of children ages 12-23 months)",C4_Restrictions on gatherings,Guatemala,GTM,90.0,percent,2019.0
27,Health,"Physicians (per 1,000 people)",C4_Restrictions on gatherings,Guatemala,GTM,0.3549,Ones,2018.0
28,Social issues ,"Intentional homicides (per 100,000 people)",C4_Restrictions on gatherings,Guatemala,GTM,22.501348718,"proportion, pero 100,000 people",2018.0
29,Environment,Energy use ,C4_Restrictions on gatherings,Guatemala,GTM,108.7742918158182,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
30,Health,"Incidence of tuberculosis (per 100,000 people)",C4_Restrictions on gatherings,Guatemala,GTM,26.0,Cases,2019.0
31,Environment,Fossil fuel energy consumption,C4_Restrictions on gatherings,Guatemala,GTM,37.3786,percent of total,2014.0
32,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C4_Restrictions on gatherings,Guatemala,GTM,2.1,percent,2018.0
33,Governance,Fragile States Index Total ,C4_Restrictions on gatherings,Guatemala,GTM,79.17634843834767,score,2020.0
34,Health,Prevalence of anxiety disorders,C4_Restrictions on gatherings,Guatemala,GTM,0.043836,percent,2019.0
35,Health,Prevalence of Depressive disorders,C4_Restrictions on gatherings,Guatemala,GTM,0.034051,percent,2019.0
36,Governance,Aggregate score for the Political Rights category,C4_Restrictions on gatherings,Guatemala,GTM,21.0,score,2021.0
37,Governance,Government effectiveness estimate,C4_Restrictions on gatherings,Guatemala,GTM,-0.6768408,score,2019.0
38,Environment,"Adjusted net savings, including particulate emission damage",C4_Restrictions on gatherings,Guatemala,GTM,1.8211143436748,percent of GNI,2018.0
39,Economics,"Central government debt, total",C4_Restrictions on gatherings,Guatemala,GTM,22.98888606364395,percent of GDP,2016.0
40,Economics,Volume of imports,C4_Restrictions on gatherings,Guatemala,GTM,4.12,percent change,2020.0
41,Health,"Prevalence of HIV, total (% of population ages 15-49)",C4_Restrictions on gatherings,Guatemala,GTM,0.3,percent,2019.0
42,Governance,Human Development Index,C4_Restrictions on gatherings,Guatemala,GTM,0.663,index,2019.0
43,Environment,CO2 emissions (kt),C4_Restrictions on gatherings,Guatemala,GTM,16776.53,kt,2016.0
44,Health,Prevalence of Diabetes,C4_Restrictions on gatherings,Guatemala,GTM,0.065413,percent,2019.0
45,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",C4_Restrictions on gatherings,Guatemala,GTM,81.2858963012695,proportion,2014.0
46,Demographics,Fixed telephone subscriptions,C4_Restrictions on gatherings,Guatemala,GTM,1974010.0,number,2019.0
47,Governance,Political stability and absence of violence/terrorism estimate,C4_Restrictions on gatherings,Guatemala,GTM,-0.5461909,score,2019.0
48,Social issues ,Proportion of women in managerial positions (%),C4_Restrictions on gatherings,Guatemala,GTM,29.72,percent,2017.0
49,Governance,Total freedom in the world score ,C4_Restrictions on gatherings,Guatemala,GTM,52.0,score,2021.0
50,Environment,CO2 emissions (metric tons per capita),C4_Restrictions on gatherings,Guatemala,GTM,1.059948,metric tons per capita,2016.0
