rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C4_Restrictions on gatherings,Hong Kong,HKG,91.7434,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C4_Restrictions on gatherings,Hong Kong,HKG,77.0,score,2020.0
3,Demographics,Secure Internet servers ,C4_Restrictions on gatherings,Hong Kong,HKG,60546.12782055039,per 1 million people,2019.0
4,Demographics,Fixed broadband subscriptions,C4_Restrictions on gatherings,Hong Kong,HKG,37.4903,per 100 people,2019.0
5,Economics,Stock market capitalization (US$ million),C4_Restrictions on gatherings,Hong Kong,HKG,4899234580000.0,US Dollar,2019.0
6,Social issues ,Press freedom score,C4_Restrictions on gatherings,Hong Kong,HKG,30.01,score,2020.0
8,Governance,Economic Freedom Score,C4_Restrictions on gatherings,Hong Kong,HKG,8.94,score,2018.0
10,Environment,CO2 emissions (kt),C4_Restrictions on gatherings,Hong Kong,HKG,43644.63,kt,2016.0
11,Governance,Voice and accountability estimate,C4_Restrictions on gatherings,Hong Kong,HKG,0.2093806,score,2019.0
12,Economics,Employment in services (% of total employment) (modeled ILO estimate),C4_Restrictions on gatherings,Hong Kong,HKG,88.310997,Percentage of total employment,2020.0
14,Economics,Volume of imports,C4_Restrictions on gatherings,Hong Kong,HKG,3.062,percent change,2020.0
16,Governance,Serious assault (rate),C4_Restrictions on gatherings,Hong Kong,HKG,65.05,rate,2018.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C4_Restrictions on gatherings,Hong Kong,HKG,63.0,Cases,2019.0
19,Governance,Human Development Index,C4_Restrictions on gatherings,Hong Kong,HKG,0.949,index,2019.0
20,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C4_Restrictions on gatherings,Hong Kong,HKG,59.6669998,Percentage of total population,2020.0
22,Environment,"Electricity production from renewable sources, excluding hydroelectric",C4_Restrictions on gatherings,Hong Kong,HKG,106000000.0,kWh,2015.0
23,Governance,Total freedom in the world score ,C4_Restrictions on gatherings,Hong Kong,HKG,52.0,score,2021.0
24,Social issues ,Net migration,C4_Restrictions on gatherings,Hong Kong,HKG,146542.0,net total / data are 5 year estimates,2019.0
29,Demographics,Mobile cellular subscriptions,C4_Restrictions on gatherings,Hong Kong,HKG,288.533,per 100 people,2019.0
30,Governance,Political stability and absence of violence/terrorism estimate,C4_Restrictions on gatherings,Hong Kong,HKG,-0.2677673,score,2019.0
33,Governance,Aggregate score for the Civil Liberties category,C4_Restrictions on gatherings,Hong Kong,HKG,37.0,score,2021.0
