rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C4_Restrictions on gatherings,Honduras,HND,31.7,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C4_Restrictions on gatherings,Honduras,HND,24.0,score,2020.0
3,Governance,Regulatory quality estimate,C4_Restrictions on gatherings,Honduras,HND,-0.4927323,score,2019.0
4,Demographics,Fixed broadband subscriptions,C4_Restrictions on gatherings,Honduras,HND,4.00546,per 100 people,2019.0
5,Health,Prevalence of COVID-19,C4_Restrictions on gatherings,Honduras,HND,115474.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Health,Summary exposure value tobacco,C4_Restrictions on gatherings,Honduras,HND,16.77821,Rate (risk-weighted prevalence),2019.0
7,Demographics,Secure Internet servers ,C4_Restrictions on gatherings,Honduras,HND,93.37051874095089,per 1 million people,2019.0
8,Governance,Human Freedom Score ,C4_Restrictions on gatherings,Honduras,HND,6.94,score,2018.0
9,Environment,"Energy imports, net ",C4_Restrictions on gatherings,Honduras,HND,52.99643628878778,percent of energy use,2014.0
10,Environment,Electricity production from oil sources,C4_Restrictions on gatherings,Honduras,HND,56.68711656441717,percent of total,2015.0
11,Governance,Control of corruption estimate,C4_Restrictions on gatherings,Honduras,HND,-0.8084533,score,2019.0
12,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C4_Restrictions on gatherings,Honduras,HND,5.7,percent,2020.0
13,Demographics,Mobile cellular subscriptions,C4_Restrictions on gatherings,Honduras,HND,72.7438,per 100 people,2019.0
14,Social issues ,Press freedom score,C4_Restrictions on gatherings,Honduras,HND,48.2,score,2020.0
15,Health,Mortality due to COVID-19,C4_Restrictions on gatherings,Honduras,HND,3021.0,"Number (cumulative total by Dec 26,2020)",2020.0
16,Economics,Employment in services (% of total employment) (modeled ILO estimate),C4_Restrictions on gatherings,Honduras,HND,50.2070007,Percentage of total employment,2020.0
17,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C4_Restrictions on gatherings,Honduras,HND,19.9,percent,2020.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C4_Restrictions on gatherings,Honduras,HND,21.09375,proportion,2020.0
19,Environment,"PM2.5 air pollution, mean annual exposure",C4_Restrictions on gatherings,Honduras,HND,20.62885,micrograms per cubic meter,2017.0
20,Health,Prevalence of obesity,C4_Restrictions on gatherings,Honduras,HND,21.4,percent,2016.0
21,Environment,Electricity production from coal sources ,C4_Restrictions on gatherings,Honduras,HND,1.037367540435025,percent of total,2015.0
22,Environment,Energy use (kg of oil equivalent per capita),C4_Restrictions on gatherings,Honduras,HND,597.9295164170665,kg of oil equivalent per capita,2014.0
23,Health,Prevalence of chronic kidney disease,C4_Restrictions on gatherings,Honduras,HND,0.080318,percent,2019.0
24,Environment,"Electricity production from renewable sources, excluding hydroelectric",C4_Restrictions on gatherings,Honduras,HND,1450000000.0,kWh,2015.0
25,Social issues ,Net migration,C4_Restrictions on gatherings,Honduras,HND,-34000.0,net total / data are 5 year estimates,2019.0
26,Health,"Immunization, measles (% of children ages 12-23 months)",C4_Restrictions on gatherings,Honduras,HND,87.0,percent,2019.0
27,Health,"Physicians (per 1,000 people)",C4_Restrictions on gatherings,Honduras,HND,0.3089,Ones,2017.0
28,Social issues ,"Intentional homicides (per 100,000 people)",C4_Restrictions on gatherings,Honduras,HND,38.925591104,"proportion, pero 100,000 people",2018.0
29,Environment,Energy use ,C4_Restrictions on gatherings,Honduras,HND,115.4881656783384,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
30,Health,"Incidence of tuberculosis (per 100,000 people)",C4_Restrictions on gatherings,Honduras,HND,31.0,Cases,2019.0
31,Environment,Fossil fuel energy consumption,C4_Restrictions on gatherings,Honduras,HND,52.47931,percent of total,2014.0
32,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C4_Restrictions on gatherings,Honduras,HND,2.8,percent,2018.0
33,Governance,Fragile States Index Total ,C4_Restrictions on gatherings,Honduras,HND,76.78897699605234,score,2020.0
34,Health,Prevalence of anxiety disorders,C4_Restrictions on gatherings,Honduras,HND,0.041832,percent,2019.0
35,Health,Prevalence of Depressive disorders,C4_Restrictions on gatherings,Honduras,HND,0.028605,percent,2019.0
36,Governance,Aggregate score for the Political Rights category,C4_Restrictions on gatherings,Honduras,HND,19.0,score,2021.0
37,Governance,Government effectiveness estimate,C4_Restrictions on gatherings,Honduras,HND,-0.6117631,score,2019.0
38,Environment,"Adjusted net savings, including particulate emission damage",C4_Restrictions on gatherings,Honduras,HND,19.3992860892021,percent of GNI,2018.0
