rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C4_Restrictions on gatherings,Jordan,JOR,66.7903,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C4_Restrictions on gatherings,Jordan,JOR,49.0,score,2020.0
3,Demographics,Secure Internet servers ,C4_Restrictions on gatherings,Jordan,JOR,108.1006809352966,per 1 million people,2019.0
4,Demographics,Fixed broadband subscriptions,C4_Restrictions on gatherings,Jordan,JOR,4.65247,per 100 people,2019.0
6,Social issues ,Press freedom score,C4_Restrictions on gatherings,Jordan,JOR,42.08,score,2020.0
7,Environment,"Adjusted net savings, including particulate emission damage",C4_Restrictions on gatherings,Jordan,JOR,3.29239824018849,percent of GNI,2018.0
8,Governance,Economic Freedom Score,C4_Restrictions on gatherings,Jordan,JOR,7.62,score,2018.0
9,Governance,Fragile States Index Total ,C4_Restrictions on gatherings,Jordan,JOR,75.42853052941282,score,2020.0
10,Environment,CO2 emissions (kt),C4_Restrictions on gatherings,Jordan,JOR,25107.95,kt,2016.0
11,Governance,Voice and accountability estimate,C4_Restrictions on gatherings,Jordan,JOR,-0.6650451,score,2019.0
12,Economics,Employment in services (% of total employment) (modeled ILO estimate),C4_Restrictions on gatherings,Jordan,JOR,72.5999985,Percentage of total employment,2020.0
13,Health,Summary exposure value tobacco,C4_Restrictions on gatherings,Jordan,JOR,37.85658,Rate (risk-weighted prevalence),2019.0
14,Economics,Volume of imports,C4_Restrictions on gatherings,Jordan,JOR,2.242,percent change,2020.0
15,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C4_Restrictions on gatherings,Jordan,JOR,3.8,percent,2018.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C4_Restrictions on gatherings,Jordan,JOR,5.5,Cases,2019.0
18,Health,"Immunization, DPT (% of children ages 12-23 months)",C4_Restrictions on gatherings,Jordan,JOR,89.0,percent,2019.0
19,Governance,Human Development Index,C4_Restrictions on gatherings,Jordan,JOR,0.729,index,2019.0
20,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C4_Restrictions on gatherings,Jordan,JOR,39.1899986,Percentage of total population,2020.0
21,Health,Prevalence of anxiety disorders,C4_Restrictions on gatherings,Jordan,JOR,0.053733,percent,2019.0
22,Environment,"Electricity production from renewable sources, excluding hydroelectric",C4_Restrictions on gatherings,Jordan,JOR,131000000.0,kWh,2015.0
23,Governance,Total freedom in the world score ,C4_Restrictions on gatherings,Jordan,JOR,34.0,score,2021.0
24,Social issues ,Net migration,C4_Restrictions on gatherings,Jordan,JOR,51099.0,net total / data are 5 year estimates,2019.0
25,Social issues ,Proportion of seats held by women in national parliaments (%),C4_Restrictions on gatherings,Jordan,JOR,15.38461538,proportion,2020.0
26,Health,"Immunization, measles (% of children ages 12-23 months)",C4_Restrictions on gatherings,Jordan,JOR,87.0,percent,2019.0
27,Health,Prevalence of Respiratory infections and tuberculosis,C4_Restrictions on gatherings,Jordan,JOR,0.068178,percent,2019.0
28,Health,"Nurses and midwives (per 1,000 people)",C4_Restrictions on gatherings,Jordan,JOR,2.8212,Ones,2018.0
29,Demographics,Mobile cellular subscriptions,C4_Restrictions on gatherings,Jordan,JOR,77.0046,per 100 people,2019.0
30,Governance,Political stability and absence of violence/terrorism estimate,C4_Restrictions on gatherings,Jordan,JOR,-0.3578623,score,2019.0
31,Health,Prevalence of COVID-19,C4_Restrictions on gatherings,Jordan,JOR,271514.0,"Number (cumulative total by Dec 26,2020)",2020.0
32,Economics,"Central government debt, total",C4_Restrictions on gatherings,Jordan,JOR,74.0718607324365,percent of GDP,2016.0
33,Governance,Aggregate score for the Civil Liberties category,C4_Restrictions on gatherings,Jordan,JOR,23.0,score,2021.0
34,Social issues ,"Intentional homicides (per 100,000 people)",C4_Restrictions on gatherings,Jordan,JOR,1.3591066275,"proportion, pero 100,000 people",2017.0
35,Environment,"Electricity production from oil, gas and coal sources",C4_Restrictions on gatherings,Jordan,JOR,99.03229199537184,percent of total,2015.0
36,Environment,Energy use (kg of oil equivalent per capita),C4_Restrictions on gatherings,Jordan,JOR,916.9928326626906,kg of oil equivalent per capita,2014.0
37,Governance,Human Freedom Score ,C4_Restrictions on gatherings,Jordan,JOR,6.92,score,2018.0
38,Governance,Rule of law estimate ,C4_Restrictions on gatherings,Jordan,JOR,0.1439575,score,2019.0
39,Environment,Electricity production from oil sources,C4_Restrictions on gatherings,Jordan,JOR,50.58903965499106,percent of total,2015.0
40,Environment,"Energy imports, net ",C4_Restrictions on gatherings,Jordan,JOR,96.81229729348095,percent of energy use,2014.0
41,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C4_Restrictions on gatherings,Jordan,JOR,7.3,percent,2020.0
42,Health,"Physicians (per 1,000 people)",C4_Restrictions on gatherings,Jordan,JOR,2.3237,Ones,2017.0
43,Environment,Electricity production from coal sources ,C4_Restrictions on gatherings,Jordan,JOR,0.0,percent of total,2015.0
46,Health,Mortality due to COVID-19,C4_Restrictions on gatherings,Jordan,JOR,3518.0,"Number (cumulative total by Dec 26,2020)",2020.0
47,Environment,Fossil fuel energy consumption,C4_Restrictions on gatherings,Jordan,JOR,97.60845,percent of total,2014.0
48,Environment,Access to electricity ,C4_Restrictions on gatherings,Jordan,JOR,99.9,percent of population,2018.0
49,Environment,CO2 emissions (metric tons per capita),C4_Restrictions on gatherings,Jordan,JOR,2.628701,metric tons per capita,2016.0
