rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C4_Restrictions on gatherings,Montenegro,MNE,73.4767,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C4_Restrictions on gatherings,Montenegro,MNE,45.0,score,2020.0
3,Governance,Regulatory quality estimate,C4_Restrictions on gatherings,Montenegro,MNE,0.3652315,score,2019.0
4,Demographics,Fixed broadband subscriptions,C4_Restrictions on gatherings,Montenegro,MNE,28.4689,per 100 people,2019.0
5,Health,Prevalence of COVID-19,C4_Restrictions on gatherings,Montenegro,MNE,43470.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Health,Summary exposure value tobacco,C4_Restrictions on gatherings,Montenegro,MNE,42.78492,Rate (risk-weighted prevalence),2019.0
7,Demographics,Secure Internet servers ,C4_Restrictions on gatherings,Montenegro,MNE,691.1660936417542,per 1 million people,2019.0
8,Governance,Human Freedom Score ,C4_Restrictions on gatherings,Montenegro,MNE,7.46,score,2018.0
9,Environment,"Energy imports, net ",C4_Restrictions on gatherings,Montenegro,MNE,27.56913690214823,percent of energy use,2014.0
10,Environment,Electricity production from oil sources,C4_Restrictions on gatherings,Montenegro,MNE,0.0,percent of total,2015.0
11,Governance,Control of corruption estimate,C4_Restrictions on gatherings,Montenegro,MNE,-0.0301263,score,2019.0
12,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C4_Restrictions on gatherings,Montenegro,MNE,10.2,percent,2020.0
13,Demographics,Mobile cellular subscriptions,C4_Restrictions on gatherings,Montenegro,MNE,183.284,per 100 people,2019.0
14,Social issues ,Press freedom score,C4_Restrictions on gatherings,Montenegro,MNE,33.83,score,2020.0
15,Health,Mortality due to COVID-19,C4_Restrictions on gatherings,Montenegro,MNE,620.0,"Number (cumulative total by Dec 26,2020)",2020.0
16,Economics,Employment in services (% of total employment) (modeled ILO estimate),C4_Restrictions on gatherings,Montenegro,MNE,72.9990005,Percentage of total employment,2020.0
17,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C4_Restrictions on gatherings,Montenegro,MNE,8.1,percent,2020.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C4_Restrictions on gatherings,Montenegro,MNE,29.62962963,proportion,2020.0
19,Environment,"PM2.5 air pollution, mean annual exposure",C4_Restrictions on gatherings,Montenegro,MNE,20.78181,micrograms per cubic meter,2017.0
20,Health,Prevalence of obesity,C4_Restrictions on gatherings,Montenegro,MNE,23.3,percent,2016.0
21,Environment,Electricity production from coal sources ,C4_Restrictions on gatherings,Montenegro,MNE,50.34965034965035,percent of total,2015.0
22,Environment,Energy use (kg of oil equivalent per capita),C4_Restrictions on gatherings,Montenegro,MNE,1538.264099966228,kg of oil equivalent per capita,2014.0
23,Health,Prevalence of chronic kidney disease,C4_Restrictions on gatherings,Montenegro,MNE,0.123401,percent,2019.0
24,Environment,"Electricity production from renewable sources, excluding hydroelectric",C4_Restrictions on gatherings,Montenegro,MNE,0.0,kWh,2015.0
25,Social issues ,Net migration,C4_Restrictions on gatherings,Montenegro,MNE,-2400.0,net total / data are 5 year estimates,2019.0
26,Health,"Immunization, measles (% of children ages 12-23 months)",C4_Restrictions on gatherings,Montenegro,MNE,42.0,percent,2019.0
27,Health,"Physicians (per 1,000 people)",C4_Restrictions on gatherings,Montenegro,MNE,2.7557,Ones,2018.0
28,Social issues ,"Intentional homicides (per 100,000 people)",C4_Restrictions on gatherings,Montenegro,MNE,2.2299989009,"proportion, pero 100,000 people",2018.0
