rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C4_Restrictions on gatherings,Mauritius,MUS,63.9999,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C4_Restrictions on gatherings,Mauritius,MUS,53.0,score,2020.0
3,Demographics,Secure Internet servers ,C4_Restrictions on gatherings,Mauritius,MUS,515.1254907320865,per 1 million people,2019.0
4,Demographics,Fixed broadband subscriptions,C4_Restrictions on gatherings,Mauritius,MUS,21.6385,per 100 people,2019.0
6,Social issues ,Press freedom score,C4_Restrictions on gatherings,Mauritius,MUS,28.0,score,2020.0
7,Environment,"Adjusted net savings, including particulate emission damage",C4_Restrictions on gatherings,Mauritius,MUS,3.04519887841665,percent of GNI,2018.0
8,Governance,Economic Freedom Score,C4_Restrictions on gatherings,Mauritius,MUS,8.21,score,2018.0
9,Governance,Fragile States Index Total ,C4_Restrictions on gatherings,Mauritius,MUS,37.18472003299283,score,2020.0
10,Environment,CO2 emissions (kt),C4_Restrictions on gatherings,Mauritius,MUS,4349.062,kt,2016.0
11,Governance,Voice and accountability estimate,C4_Restrictions on gatherings,Mauritius,MUS,0.8081411,score,2019.0
12,Economics,Employment in services (% of total employment) (modeled ILO estimate),C4_Restrictions on gatherings,Mauritius,MUS,69.0080032,Percentage of total employment,2020.0
13,Health,Summary exposure value tobacco,C4_Restrictions on gatherings,Mauritius,MUS,20.56563,Rate (risk-weighted prevalence),2019.0
14,Economics,Volume of imports,C4_Restrictions on gatherings,Mauritius,MUS,3.746,percent change,2020.0
15,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C4_Restrictions on gatherings,Mauritius,MUS,2.5,percent,2018.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C4_Restrictions on gatherings,Mauritius,MUS,12.0,Cases,2019.0
18,Health,"Immunization, DPT (% of children ages 12-23 months)",C4_Restrictions on gatherings,Mauritius,MUS,96.0,percent,2019.0
19,Governance,Human Development Index,C4_Restrictions on gatherings,Mauritius,MUS,0.804,index,2019.0
20,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C4_Restrictions on gatherings,Mauritius,MUS,58.132,Percentage of total population,2020.0
21,Health,Prevalence of anxiety disorders,C4_Restrictions on gatherings,Mauritius,MUS,0.043671,percent,2019.0
22,Environment,"Electricity production from renewable sources, excluding hydroelectric",C4_Restrictions on gatherings,Mauritius,MUS,559000000.0,kWh,2015.0
23,Governance,Total freedom in the world score ,C4_Restrictions on gatherings,Mauritius,MUS,87.0,score,2021.0
24,Social issues ,Net migration,C4_Restrictions on gatherings,Mauritius,MUS,0.0,net total / data are 5 year estimates,2019.0
25,Social issues ,Proportion of seats held by women in national parliaments (%),C4_Restrictions on gatherings,Mauritius,MUS,20.0,proportion,2020.0
26,Health,"Immunization, measles (% of children ages 12-23 months)",C4_Restrictions on gatherings,Mauritius,MUS,99.0,percent,2019.0
27,Health,Prevalence of Respiratory infections and tuberculosis,C4_Restrictions on gatherings,Mauritius,MUS,0.317767,percent,2019.0
28,Health,"Nurses and midwives (per 1,000 people)",C4_Restrictions on gatherings,Mauritius,MUS,3.5152,Ones,2017.0
29,Demographics,Mobile cellular subscriptions,C4_Restrictions on gatherings,Mauritius,MUS,151.359,per 100 people,2019.0
30,Governance,Political stability and absence of violence/terrorism estimate,C4_Restrictions on gatherings,Mauritius,MUS,0.8220398,score,2019.0
31,Health,Prevalence of COVID-19,C4_Restrictions on gatherings,Mauritius,MUS,524.0,"Number (cumulative total by Dec 26,2020)",2020.0
33,Governance,Aggregate score for the Civil Liberties category,C4_Restrictions on gatherings,Mauritius,MUS,50.0,score,2021.0
34,Social issues ,"Intentional homicides (per 100,000 people)",C4_Restrictions on gatherings,Mauritius,MUS,2.9198600992,"proportion, pero 100,000 people",2018.0
35,Environment,"Electricity production from oil, gas and coal sources",C4_Restrictions on gatherings,Mauritius,MUS,77.27727727727728,percent of total,2015.0
