rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C4_Restrictions on gatherings,Malawi,MWI,13.7822,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C4_Restrictions on gatherings,Malawi,MWI,30.0,score,2020.0
3,Governance,Regulatory quality estimate,C4_Restrictions on gatherings,Malawi,MWI,-0.7011955,score,2019.0
4,Demographics,Fixed broadband subscriptions,C4_Restrictions on gatherings,Malawi,MWI,0.0609703,per 100 people,2019.0
5,Health,Prevalence of COVID-19,C4_Restrictions on gatherings,Malawi,MWI,6148.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Health,Summary exposure value tobacco,C4_Restrictions on gatherings,Malawi,MWI,11.73838,Rate (risk-weighted prevalence),2019.0
7,Demographics,Secure Internet servers ,C4_Restrictions on gatherings,Malawi,MWI,16.37254507777683,per 1 million people,2019.0
8,Governance,Human Freedom Score ,C4_Restrictions on gatherings,Malawi,MWI,6.57,score,2018.0
11,Governance,Control of corruption estimate,C4_Restrictions on gatherings,Malawi,MWI,-0.7811527,score,2019.0
12,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C4_Restrictions on gatherings,Malawi,MWI,4.7,percent,2020.0
13,Demographics,Mobile cellular subscriptions,C4_Restrictions on gatherings,Malawi,MWI,47.7811,per 100 people,2019.0
14,Social issues ,Press freedom score,C4_Restrictions on gatherings,Malawi,MWI,29.32,score,2020.0
15,Health,Mortality due to COVID-19,C4_Restrictions on gatherings,Malawi,MWI,187.0,"Number (cumulative total by Dec 26,2020)",2020.0
16,Economics,Employment in services (% of total employment) (modeled ILO estimate),C4_Restrictions on gatherings,Malawi,MWI,43.0180016,Percentage of total employment,2020.0
17,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C4_Restrictions on gatherings,Malawi,MWI,37.0,percent,2020.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C4_Restrictions on gatherings,Malawi,MWI,22.91666667,proportion,2020.0
19,Environment,"PM2.5 air pollution, mean annual exposure",C4_Restrictions on gatherings,Malawi,MWI,23.56592,micrograms per cubic meter,2017.0
20,Health,Prevalence of obesity,C4_Restrictions on gatherings,Malawi,MWI,5.8,percent,2016.0
23,Health,Prevalence of chronic kidney disease,C4_Restrictions on gatherings,Malawi,MWI,0.053054,percent,2019.0
25,Social issues ,Net migration,C4_Restrictions on gatherings,Malawi,MWI,-80263.0,net total / data are 5 year estimates,2019.0
26,Health,"Immunization, measles (% of children ages 12-23 months)",C4_Restrictions on gatherings,Malawi,MWI,92.0,percent,2019.0
27,Health,"Physicians (per 1,000 people)",C4_Restrictions on gatherings,Malawi,MWI,0.0358,Ones,2018.0
30,Health,"Incidence of tuberculosis (per 100,000 people)",C4_Restrictions on gatherings,Malawi,MWI,146.0,Cases,2019.0
32,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C4_Restrictions on gatherings,Malawi,MWI,2.7,percent,2018.0
33,Governance,Fragile States Index Total ,C4_Restrictions on gatherings,Malawi,MWI,84.01636088313059,score,2020.0
34,Health,Prevalence of anxiety disorders,C4_Restrictions on gatherings,Malawi,MWI,0.035406,percent,2019.0
35,Health,Prevalence of Depressive disorders,C4_Restrictions on gatherings,Malawi,MWI,0.031007,percent,2019.0
36,Governance,Aggregate score for the Political Rights category,C4_Restrictions on gatherings,Malawi,MWI,29.0,score,2021.0
37,Governance,Government effectiveness estimate,C4_Restrictions on gatherings,Malawi,MWI,-0.7494367,score,2019.0
