rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C4_Restrictions on gatherings,Singapore,SGP,88.9493,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C4_Restrictions on gatherings,Singapore,SGP,85.0,score,2020.0
3,Governance,Regulatory quality estimate,C4_Restrictions on gatherings,Singapore,SGP,2.161377,score,2019.0
4,Demographics,Fixed broadband subscriptions,C4_Restrictions on gatherings,Singapore,SGP,25.81,per 100 people,2019.0
5,Health,Prevalence of COVID-19,C4_Restrictions on gatherings,Singapore,SGP,58386.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Health,Summary exposure value tobacco,C4_Restrictions on gatherings,Singapore,SGP,14.78242,Rate (risk-weighted prevalence),2019.0
7,Demographics,Secure Internet servers ,C4_Restrictions on gatherings,Singapore,SGP,122481.379641414,per 1 million people,2019.0
8,Governance,Human Freedom Score ,C4_Restrictions on gatherings,Singapore,SGP,8.21,score,2018.0
9,Environment,"Energy imports, net ",C4_Restrictions on gatherings,Singapore,SGP,97.68200129245712,percent of energy use,2014.0
10,Environment,Electricity production from oil sources,C4_Restrictions on gatherings,Singapore,SGP,0.6982048993355152,percent of total,2015.0
11,Governance,Control of corruption estimate,C4_Restrictions on gatherings,Singapore,SGP,2.159477,score,2019.0
12,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C4_Restrictions on gatherings,Singapore,SGP,4.8,percent,2020.0
13,Demographics,Mobile cellular subscriptions,C4_Restrictions on gatherings,Singapore,SGP,156.378,per 100 people,2019.0
14,Social issues ,Press freedom score,C4_Restrictions on gatherings,Singapore,SGP,55.23,score,2020.0
15,Health,Mortality due to COVID-19,C4_Restrictions on gatherings,Singapore,SGP,29.0,"Number (cumulative total by Dec 26,2020)",2020.0
16,Economics,Employment in services (% of total employment) (modeled ILO estimate),C4_Restrictions on gatherings,Singapore,SGP,84.0930023,Percentage of total employment,2020.0
17,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C4_Restrictions on gatherings,Singapore,SGP,2.8,percent,2020.0
18,Social issues ,Proportion of seats held by women in national parliaments (%),C4_Restrictions on gatherings,Singapore,SGP,29.47368421,proportion,2020.0
19,Environment,"PM2.5 air pollution, mean annual exposure",C4_Restrictions on gatherings,Singapore,SGP,19.07826,micrograms per cubic meter,2017.0
20,Health,Prevalence of obesity,C4_Restrictions on gatherings,Singapore,SGP,6.1,percent,2016.0
21,Environment,Electricity production from coal sources ,C4_Restrictions on gatherings,Singapore,SGP,1.196072597441238,percent of total,2015.0
22,Environment,Energy use (kg of oil equivalent per capita),C4_Restrictions on gatherings,Singapore,SGP,5121.804317731571,kg of oil equivalent per capita,2014.0
23,Health,Prevalence of chronic kidney disease,C4_Restrictions on gatherings,Singapore,SGP,0.138593,percent,2019.0
24,Environment,"Electricity production from renewable sources, excluding hydroelectric",C4_Restrictions on gatherings,Singapore,SGP,918000000.0,kWh,2015.0
25,Social issues ,Net migration,C4_Restrictions on gatherings,Singapore,SGP,135142.0,net total / data are 5 year estimates,2019.0
26,Health,"Immunization, measles (% of children ages 12-23 months)",C4_Restrictions on gatherings,Singapore,SGP,95.0,percent,2019.0
