rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C4_Restrictions on gatherings,Sao Tome and Principe,STP,29.9312,percent of population,2019.0
2,Governance,Corruption Perceptions Index,C4_Restrictions on gatherings,Sao Tome and Principe,STP,47.0,score,2020.0
3,Demographics,Secure Internet servers ,C4_Restrictions on gatherings,Sao Tome and Principe,STP,60.44937132653821,per 1 million people,2019.0
4,Demographics,Fixed broadband subscriptions,C4_Restrictions on gatherings,Sao Tome and Principe,STP,0.763522,per 100 people,2019.0
9,Governance,Fragile States Index Total ,C4_Restrictions on gatherings,Sao Tome and Principe,STP,70.28190046461518,score,2020.0
10,Environment,CO2 emissions (kt),C4_Restrictions on gatherings,Sao Tome and Principe,STP,121.011,kt,2016.0
11,Governance,Voice and accountability estimate,C4_Restrictions on gatherings,Sao Tome and Principe,STP,0.3727669,score,2019.0
12,Economics,Employment in services (% of total employment) (modeled ILO estimate),C4_Restrictions on gatherings,Sao Tome and Principe,STP,62.8540001,Percentage of total employment,2020.0
13,Health,Summary exposure value tobacco,C4_Restrictions on gatherings,Sao Tome and Principe,STP,5.815133,Rate (risk-weighted prevalence),2019.0
14,Economics,Volume of imports,C4_Restrictions on gatherings,Sao Tome and Principe,STP,3.405,percent change,2020.0
15,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C4_Restrictions on gatherings,Sao Tome and Principe,STP,2.8,percent,2018.0
17,Health,"Incidence of tuberculosis (per 100,000 people)",C4_Restrictions on gatherings,Sao Tome and Principe,STP,114.0,Cases,2019.0
18,Health,"Immunization, DPT (% of children ages 12-23 months)",C4_Restrictions on gatherings,Sao Tome and Principe,STP,95.0,percent,2019.0
19,Governance,Human Development Index,C4_Restrictions on gatherings,Sao Tome and Principe,STP,0.625,index,2019.0
20,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C4_Restrictions on gatherings,Sao Tome and Principe,STP,57.5289993,Percentage of total population,2020.0
21,Health,Prevalence of anxiety disorders,C4_Restrictions on gatherings,Sao Tome and Principe,STP,0.03163,percent,2019.0
23,Governance,Total freedom in the world score ,C4_Restrictions on gatherings,Sao Tome and Principe,STP,84.0,score,2021.0
24,Social issues ,Net migration,C4_Restrictions on gatherings,Sao Tome and Principe,STP,-8401.0,net total / data are 5 year estimates,2019.0
25,Social issues ,Proportion of seats held by women in national parliaments (%),C4_Restrictions on gatherings,Sao Tome and Principe,STP,14.54545455,proportion,2020.0
26,Health,"Immunization, measles (% of children ages 12-23 months)",C4_Restrictions on gatherings,Sao Tome and Principe,STP,95.0,percent,2019.0
